dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.529699,9.724803,0.001786,0.178571,8.928571,446.428571,0.001841
0.020000,5.529699,9.724803,0.007143,0.357143,8.928571,0.000000,0.001201
0.020000,5.529699,9.724803,0.016071,0.535714,8.928571,0.000000,0.000133
0.020000,5.541093,9.724795,0.028571,0.714286,8.928571,-0.000000,6.281821
0.020000,5.557164,9.724758,0.044643,0.892857,8.928571,0.000000,6.279892
0.020000,5.576806,9.724670,0.064286,1.071429,8.928571,-0.000000,6.277528
0.020000,5.600019,9.724506,0.087500,1.250000,8.928571,0.000000,6.274724
0.020000,5.626805,9.724236,0.114286,1.428571,8.928571,-0.000000,6.271475
0.020000,5.657159,9.723825,0.144643,1.607143,8.928571,0.000000,6.267777
0.020000,5.691083,9.723231,0.178571,1.785714,8.928571,-0.000000,6.263622
0.020000,5.728573,9.722411,0.216071,1.964286,8.928571,-0.000000,6.259004
0.020000,5.769628,9.721314,0.257143,2.142857,8.928571,0.000000,6.253916
0.020000,5.814249,9.719883,0.301786,2.321429,8.928571,0.000000,6.248349
0.020000,5.862429,9.718058,0.350000,2.500000,8.928571,-0.000000,6.242294
0.020000,5.914164,9.715772,0.401786,2.678571,8.928571,0.000000,6.235742
0.020000,5.969448,9.712952,0.457143,2.857143,8.928571,0.000000,6.228684
0.020000,6.028278,9.709519,0.516071,3.035714,8.928571,0.000000,6.221108
0.020000,6.090641,9.705390,0.578571,3.214286,8.928571,0.000000,6.213004
0.020000,6.156529,9.700472,0.644643,3.392857,8.928571,0.000000,6.204362
0.020000,6.225929,9.694670,0.714286,3.571429,8.928571,-0.000000,6.195170
0.020000,6.298827,9.687879,0.787500,3.750000,8.928571,0.000000,6.185418
0.020000,6.375205,9.679991,0.864286,3.928571,8.928571,0.000000,6.175095
0.020000,6.455045,9.670887,0.944643,4.107143,8.928571,0.000000,6.164189
0.020000,6.538322,9.660445,1.028571,4.285714,8.928571,0.000000,6.152693
0.020000,6.625005,9.648536,1.116071,4.464286,8.928571,0.000000,6.140595
0.020000,6.715069,9.635022,1.207143,4.642857,8.928571,0.000000,6.127890
0.020000,6.808472,9.619762,1.301786,4.821429,8.928571,-0.000000,6.114569
