dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.532336,8.284806,0.001786,0.178571,8.928571,446.428571,0.001831
0.020000,5.531148,8.284804,0.002974,0.059401,-5.958534,-744.355249,0.001006
0.020000,5.531569,8.284803,0.003395,0.021043,-1.917873,202.033041,6.282815
0.020000,5.541288,8.284790,0.013114,0.485952,23.245441,1258.165689,6.280884
0.020000,5.553774,8.284746,0.025600,0.624293,6.917068,-816.418650,6.278393
0.020000,5.569015,8.284649,0.040841,0.762079,6.889284,-1.389207,6.275337
0.020000,5.587002,8.284476,0.058829,0.899390,6.865525,-1.187929,6.271707
0.020000,5.607721,8.284194,0.079550,1.036040,6.832541,-1.649221,6.267495
0.020000,5.631157,8.283770,0.102989,1.171982,6.797080,-1.773052,6.262692
0.020000,5.657291,8.283164,0.129131,1.307087,6.755233,-2.092325,6.257285
0.020000,5.686105,8.282331,0.157957,1.441294,6.710365,-2.243424,6.251262
0.020000,5.717577,8.281221,0.189449,1.574592,6.664892,-2.273630,6.244609
0.020000,5.751683,8.279780,0.223585,1.706804,6.610604,-2.714420,6.237312
0.020000,5.788391,8.277949,0.260338,1.837677,6.543660,-3.347178,6.229354
0.020000,5.827675,8.275663,0.299689,1.967509,6.491603,-2.602882,6.220719
0.020000,5.869502,8.272851,0.341610,2.096091,6.429113,-3.124498,6.211388
0.020000,5.913835,8.269439,0.386074,2.223191,6.354990,-3.706141,6.201343
0.020000,5.960637,8.265347,0.433055,2.349056,6.293223,-3.088368,6.190566
0.020000,6.009867,8.260489,0.482524,2.473452,6.219828,-3.669740,6.179037
0.020000,6.061484,8.254773,0.534456,2.596598,6.157284,-3.127207,6.166738
0.020000,6.115439,8.248104,0.588822,2.718303,6.085258,-3.601271,6.153650
0.020000,6.171689,8.240380,0.645600,2.838867,6.028208,-2.852485,6.139755
0.020000,6.230182,8.231494,0.704764,2.958202,5.966751,-3.072894,6.125038
0.020000,6.290869,8.221332,0.766296,3.076596,5.919666,-2.354252,6.109485
0.020000,6.353698,8.209777,0.830179,3.194147,5.877574,-2.104555,6.093085
0.020000,6.418619,8.196705,0.896403,3.311215,5.853387,-1.209368,6.075831
0.020000,6.485581,8.181984,0.964964,3.428043,5.841407,-0.599002,6.057719
0.020000,6.554536,8.165480,1.035866,3.545111,5.853408,0.600068,6.038753
0.020000,6.625434,8.147050,1.109120,3.662716,5.880248,1.341982,6.018941
0.020000,6.698233,8.126545,1.184753,3.781616,5.944985,3.236866,5.998300
