dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.810473,6.036921,0.001765,0.176523,8.826158,441.307925,1.545154
0.020000,21.810568,6.040590,0.005435,0.183511,0.349407,-423.837587,1.544856
0.020000,21.810818,6.050125,0.014974,0.476916,14.670260,716.042641,1.544361
0.020000,21.811175,6.063468,0.028321,0.667374,9.522898,-257.368065,1.543673
0.020000,21.811648,6.080612,0.045472,0.857523,9.507448,-0.772502,1.542796
0.020000,21.812246,6.101549,0.066417,1.047275,9.487580,-0.993418,1.541735
0.020000,21.812980,6.126269,0.091148,1.236541,9.463275,-1.215244,1.540497
0.020000,21.813863,6.154760,0.119653,1.425231,9.434524,-1.437566,1.539090
0.020000,21.814911,6.187008,0.151918,1.613257,9.401316,-1.660395,1.537523
0.020000,21.816140,6.222998,0.187928,1.800530,9.363642,-1.883714,1.535807
0.020000,21.817567,6.262711,0.227668,1.986960,9.321494,-2.107356,1.533953
0.020000,21.819211,6.306129,0.271117,2.172457,9.274867,-2.331360,1.531975
0.020000,21.821090,6.353230,0.318255,2.356932,9.223739,-2.556426,1.529886
0.020000,21.823224,6.403992,0.369061,2.540295,9.168135,-2.780201,1.527702
0.020000,21.825631,6.458387,0.423510,2.722455,9.108025,-3.005475,1.525440
0.020000,21.828332,6.516391,0.481577,2.903324,9.043439,-3.229288,1.523117
0.020000,21.831344,6.577974,0.543233,3.082811,8.974361,-3.453929,1.520754
0.020000,21.834684,6.643105,0.608450,3.260828,8.900815,-3.677305,1.518369
0.020000,21.838369,6.711751,0.677195,3.437284,8.822806,-3.900416,1.515986
0.020000,21.842413,6.783880,0.749437,3.612091,8.740350,-4.122817,1.513626
0.020000,21.846827,6.859454,0.825140,3.785160,8.653461,-4.344454,1.511315
0.020000,21.851620,6.938437,0.904268,3.956403,8.562154,-4.565329,1.509077
0.020000,21.856799,7.020789,0.986783,4.125732,8.466444,-4.785510,1.506938
0.020000,21.862366,7.106470,1.072644,4.293059,8.366342,-5.005129,1.504928
0.020000,21.868320,7.195437,1.161810,4.458296,8.261853,-5.224440,1.503074
0.020000,21.874653,7.287646,1.254237,4.621355,8.152979,-5.443703,1.501407
0.020000,21.881356,7.383054,1.349880,4.782150,8.039722,-5.662828,1.499958
0.020000,21.888411,7.481614,1.448692,4.940591,7.922058,-5.883231,1.498761
0.020000,21.895796,7.583278,1.550624,5.096591,7.799980,-6.103860,1.497849
0.020000,21.903483,7.687997,1.655625,5.250060,7.673451,-6.326490,1.497257
0.020000,21.911436,7.795722,1.763643,5.400908,7.542439,-6.550573,1.497021
0.020000,21.919611,7.906402,1.874624,5.549047,7.406908,-6.776570,1.497180
0.020000,21.927807,8.017914,1.986438,5.590678,2.081575,-266.266618,1.497757
0.020000,21.935722,8.126774,2.095585,5.457348,-6.666501,-437.403814,1.498731
0.020000,21.943224,8.231613,2.200692,5.255373,-10.098758,-171.612837,1.500059
0.020000,21.950291,8.332488,2.301814,5.056088,-9.964243,6.725713,1.501703
0.020000,21.956911,8.429450,2.399002,4.859405,-9.834144,6.504957,1.503626
0.020000,21.963075,8.522551,2.492307,4.665237,-9.708427,6.285841,1.505795
0.020000,21.968782,8.611839,2.581777,4.473495,-9.587073,6.067738,1.508175
0.020000,21.974037,8.697360,2.667459,4.284094,-9.470065,5.850405,1.510734
0.020000,21.978846,8.779157,2.749397,4.096946,-9.357402,5.633132,1.513440
0.020000,21.983223,8.857274,2.827637,3.911964,-9.249099,5.415170,1.516264
0.020000,21.987180,8.931750,2.902218,3.729061,-9.145162,5.196824,1.519177
0.020000,21.990738,9.002624,2.973181,3.548148,-9.045618,4.977195,1.522150
0.020000,21.993914,9.069932,3.040564,3.369139,-8.950488,4.756531,1.525158
0.020000,21.996731,9.133708,3.104403,3.191943,-8.859797,4.534511,1.528176
0.020000,21.999212,9.193987,3.164732,3.016471,-8.773572,4.311241,1.531179
0.020000,22.001380,9.250798,3.221585,2.842634,-8.691836,4.086835,1.534144
0.020000,22.003260,9.304172,3.274992,2.670342,-8.614607,3.861456,1.537051
0.020000,22.004877,9.354136,3.324982,2.499504,-8.541900,3.635316,1.539879
0.020000,22.006254,9.400716,3.371582,2.330030,-8.473727,3.408658,1.542609
0.020000,22.007416,9.443937,3.414819,2.161828,-8.410092,3.181739,1.545223
0.020000,22.008387,9.483821,3.454715,1.994808,-8.351005,2.954359,1.547705
0.020000,22.009189,9.520390,3.491292,1.828879,-8.296453,2.727588,1.550040
0.020000,22.009844,9.553663,3.524571,1.663950,-8.246414,2.501982,1.552215
0.020000,22.010371,9.583657,3.554570,1.499932,-8.200911,2.275118,1.554215
0.020000,22.010790,9.610388,3.581305,1.336734,-8.159887,2.051200,1.556030
0.020000,22.011118,9.633871,3.604790,1.174268,-8.123341,1.827314,1.557651
0.020000,22.011370,9.654118,3.625039,1.012442,-8.091263,1.603913,1.559067
0.020000,22.011559,9.671141,3.642062,0.851170,-8.063628,1.381748,1.560271
0.020000,22.011698,9.684947,3.655870,0.690362,-8.040391,1.161832,1.561257
0.020000,22.011795,9.695545,3.666468,0.529931,-8.021561,0.941522,1.562019
0.020000,22.011858,9.702941,3.673864,0.369788,-8.007124,0.721849,1.562554
0.020000,22.011892,9.707138,3.678061,0.209847,-7.997044,0.504004,1.562859
0.020000,22.011902,9.708437,3.679360,0.064959,-7.244428,37.630791,1.562953
0.020000,22.011902,9.708437,3.679360,0.000000,-3.247943,199.824257,1.562953
0.020000,22.011902,9.708437,3.679360,0.000000,0.000000,162.397143,1.562953
