dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.250000,6.000000,0.001765,0.176523,8.826158,441.307925,1.545154
0.020000,23.250084,6.003240,0.007061,0.353046,8.826158,0.000000,1.544856
0.020000,23.250315,6.012063,0.015887,0.529570,8.826158,0.000000,1.544361
0.020000,23.250646,6.024415,0.028244,0.706093,8.826158,0.000000,1.543673
0.020000,23.251084,6.040296,0.044131,0.882616,8.826158,0.000000,1.542796
0.020000,23.251638,6.059706,0.063548,1.059139,8.826158,0.000000,1.541735
0.020000,23.252319,6.082644,0.086496,1.235662,8.826158,0.000000,1.540497
0.020000,23.253139,6.109110,0.112975,1.412185,8.826158,0.000000,1.539090
0.020000,23.254114,6.139103,0.142984,1.588709,8.826158,-0.000000,1.537523
0.020000,23.255259,6.172623,0.176523,1.765232,8.826158,0.000000,1.535807
0.020000,23.256590,6.209669,0.213593,1.941755,8.826158,-0.000000,1.533953
0.020000,23.258126,6.250240,0.254193,2.118278,8.826158,0.000000,1.531975
0.020000,23.259885,6.294336,0.298324,2.294801,8.826158,0.000000,1.529886
0.020000,23.261887,6.341955,0.345985,2.471324,8.826158,0.000000,1.527702
0.020000,23.264150,6.393096,0.397177,2.647848,8.826158,0.000000,1.525440
0.020000,23.266695,6.447759,0.451899,2.824371,8.826158,0.000000,1.523117
0.020000,23.269541,6.505942,0.510152,3.000894,8.826158,0.000000,1.520754
0.020000,23.272706,6.567644,0.571935,3.177417,8.826158,-0.000000,1.518369
0.020000,23.276207,6.632864,0.637249,3.353940,8.826158,0.000000,1.515986
0.020000,23.280060,6.701600,0.706093,3.530463,8.826158,-0.000000,1.513626
0.020000,23.284280,6.773852,0.778467,3.706987,8.826158,0.000000,1.511315
0.020000,23.288879,6.849617,0.854372,3.883510,8.826158,0.000000,1.509077
0.020000,23.293864,6.928896,0.933808,4.060033,8.826158,0.000000,1.506938
0.020000,23.299244,7.011687,1.016773,4.236556,8.826158,0.000000,1.504928
0.020000,23.305019,7.097991,1.103270,4.413079,8.826158,0.000000,1.503074
0.020000,23.311188,7.187806,1.193297,4.589602,8.826158,0.000000,1.501407
0.020000,23.317744,7.281133,1.286854,4.766126,8.826158,0.000000,1.499958
0.020000,23.324676,7.377973,1.383942,4.942649,8.826158,0.000000,1.498761
0.020000,23.331967,7.478327,1.484560,5.119172,8.826158,0.000000,1.497849
0.020000,23.339591,7.582196,1.588709,5.295695,8.826158,0.000000,1.497257
0.020000,23.347519,7.689583,1.696388,5.472218,8.826158,0.000000,1.497021
0.020000,23.355711,7.800490,1.807597,5.648741,8.826158,0.000000,1.497180
0.020000,23.363967,7.912832,1.920242,5.615737,-1.650213,-523.818556,1.497757
0.020000,23.371985,8.023090,2.030792,5.439214,-8.826158,-358.797294,1.498731
0.020000,23.379623,8.129837,2.137811,5.262691,-8.826158,-0.000000,1.500059
0.020000,23.386855,8.233072,2.241299,5.086168,-8.826158,-0.000000,1.501703
0.020000,23.393663,8.332798,2.341257,4.909645,-8.826158,0.000000,1.503626
0.020000,23.400034,8.429015,2.437685,4.733121,-8.826158,0.000000,1.505795
0.020000,23.405960,8.521723,2.530582,4.556598,-8.826158,-0.000000,1.508175
0.020000,23.411440,8.610922,2.619949,4.380075,-8.826158,0.000000,1.510734
0.020000,23.416478,8.696610,2.705785,4.203552,-8.826158,-0.000000,1.513440
0.020000,23.421082,8.778787,2.788091,4.027029,-8.826158,0.000000,1.516264
0.020000,23.425262,8.857451,2.866866,3.850505,-8.826158,-0.000000,1.519177
0.020000,23.429034,8.932601,2.942111,3.673982,-8.826158,0.000000,1.522150
0.020000,23.432415,9.004236,3.013826,3.497459,-8.826158,-0.000000,1.525158
0.020000,23.435424,9.072353,3.082010,3.320936,-8.826158,0.000000,1.528176
0.020000,23.438082,9.136952,3.146663,3.144413,-8.826158,0.000000,1.531179
0.020000,23.440413,9.198031,3.207786,2.967890,-8.826158,-0.000000,1.534144
0.020000,23.442440,9.255588,3.265379,2.791366,-8.826158,0.000000,1.537051
0.020000,23.444188,9.309621,3.319441,2.614843,-8.826158,-0.000000,1.539879
0.020000,23.445682,9.360131,3.369972,2.438320,-8.826158,0.000000,1.542609
0.020000,23.446945,9.407115,3.416974,2.261797,-8.826158,-0.000000,1.545223
0.020000,23.448003,9.450573,3.460444,2.085274,-8.826158,0.000000,1.547705
0.020000,23.448879,9.490504,3.500384,1.908751,-8.826158,0.000000,1.550040
0.020000,23.449595,9.526906,3.536794,1.732227,-8.826158,0.000000,1.552215
0.020000,23.450173,9.559781,3.569674,1.555704,-8.826158,-0.000000,1.554215
0.020000,23.450633,9.589126,3.599022,1.379181,-8.826158,0.000000,1.556030
0.020000,23.450994,9.614942,3.624841,1.202658,-8.826158,-0.000000,1.557651
0.020000,23.451271,9.637228,3.647129,1.026135,-8.826158,0.000000,1.559067
0.020000,23.451480,9.655984,3.665886,0.849612,-8.826158,0.000000,1.560271
0.020000,23.451632,9.671210,3.681113,0.673088,-8.826158,-0.000000,1.561257
0.020000,23.451740,9.682906,3.692810,0.496565,-8.826158,0.000000,1.562019
0.020000,23.451809,9.691072,3.700976,0.320042,-8.826158,0.000000,1.562554
0.020000,23.451847,9.695708,3.705611,0.143519,-8.826158,0.000000,1.562859
0.020000,23.451858,9.697143,3.707047,0.000000,-7.175946,82.510631,1.562953
0.020000,23.451858,9.697143,3.707047,0.000000,0.000000,358.797294,1.562953
0.020000,23.451858,9.697143,3.707047,0.000000,0.000000,0.000000,1.562953
