dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.689527,5.963079,0.001765,0.176523,8.826158,441.307925,1.545154
0.020000,24.689599,5.965890,0.004577,0.140605,-1.795927,-531.104269,1.544856
0.020000,24.689812,5.974001,0.012691,0.405699,13.254735,752.533116,1.544361
0.020000,24.690116,5.985363,0.024057,0.568288,8.129423,-256.265621,1.543673
0.020000,24.690519,5.999981,0.038681,0.731185,8.144862,0.771946,1.542796
0.020000,24.691029,6.017863,0.056570,0.894480,8.164734,0.993587,1.541735
0.020000,24.691658,6.039019,0.077736,1.058261,8.189040,1.215302,1.540497
0.020000,24.692416,6.063460,0.102188,1.222616,8.217790,1.437528,1.539090
0.020000,24.693317,6.091198,0.129941,1.387636,8.250996,1.660288,1.537523
0.020000,24.694378,6.122248,0.161009,1.553410,8.288668,1.883575,1.535807
0.020000,24.695613,6.156626,0.195409,1.720026,8.330816,2.107445,1.533953
0.020000,24.697041,6.194351,0.233161,1.887575,8.377451,2.331725,1.531975
0.020000,24.698680,6.235441,0.274284,2.056146,8.428563,2.555607,1.529886
0.020000,24.700550,6.279918,0.318800,2.225830,8.484181,2.780897,1.527702
0.020000,24.702669,6.327806,0.366735,2.396715,8.544279,3.004890,1.525440
0.020000,24.705059,6.379128,0.418113,2.568893,8.608876,3.229877,1.523117
0.020000,24.707738,6.433911,0.472962,2.742452,8.677947,3.453550,1.520754
0.020000,24.710727,6.492184,0.531311,2.917482,8.751497,3.677470,1.518369
0.020000,24.714044,6.553977,0.593193,3.094072,8.829507,3.900511,1.515986
0.020000,24.717708,6.619320,0.658639,3.272311,8.911965,4.122881,1.513626
0.020000,24.721734,6.688249,0.727685,3.452288,8.998855,4.344522,1.511315
0.020000,24.726137,6.760797,0.800366,3.634092,9.090164,4.565426,1.509077
0.020000,24.730929,6.837003,0.876723,3.817809,9.185876,4.785645,1.506938
0.020000,24.736121,6.916905,0.956793,4.003529,9.285982,5.005298,1.504928
0.020000,24.741718,7.000545,1.040620,4.191338,9.390473,5.224529,1.503074
0.020000,24.747722,7.087965,1.128246,4.381325,9.499345,5.443607,1.501407
0.020000,24.754133,7.179212,1.219718,4.573577,9.612610,5.663254,1.499958
0.020000,24.760942,7.274332,1.315082,4.768183,9.730267,5.882850,1.498761
0.020000,24.768137,7.373376,1.414386,4.965230,9.852351,6.104175,1.497849
0.020000,24.775699,7.476395,1.517682,5.164807,9.978876,6.326283,1.497257
0.020000,24.783602,7.583443,1.625023,5.367005,10.109883,6.550349,1.497021
0.020000,24.791811,7.694579,1.736461,5.571913,10.245410,6.776356,1.497180
0.020000,24.800128,7.807750,1.849937,5.673800,5.094363,-257.552386,1.497757
0.020000,24.808247,7.919407,1.961889,5.597603,-3.809884,-445.212333,1.498731
0.020000,24.816022,8.028060,2.070819,5.446531,-7.553577,-187.184669,1.500059
0.020000,24.823420,8.133656,2.176675,5.292769,-7.688093,-6.725807,1.501703
0.020000,24.830416,8.236146,2.279403,5.136405,-7.818191,-6.504893,1.503626
0.020000,24.836992,8.335479,2.378954,4.977527,-7.943905,-6.285711,1.505795
0.020000,24.843137,8.431607,2.475278,4.816222,-8.065261,-6.067793,1.508175
0.020000,24.848843,8.524484,2.568329,4.652577,-8.182266,-5.850251,1.510734
0.020000,24.854110,8.614062,2.658063,4.486678,-8.294922,-5.632770,1.513440
0.020000,24.858941,8.700300,2.744435,4.318614,-8.403226,-5.415229,1.516264
0.020000,24.863344,8.783152,2.827405,4.148471,-8.507157,-5.196532,1.519177
0.020000,24.867331,8.862579,2.906931,3.976337,-8.606699,-4.977103,1.522150
0.020000,24.870915,8.938540,2.982977,3.802300,-8.701825,-4.756315,1.525158
0.020000,24.874116,9.010999,3.055506,3.626450,-8.792513,-4.534371,1.528176
0.020000,24.876952,9.079918,3.124484,3.448875,-8.878736,-4.311186,1.531179
0.020000,24.879446,9.145264,3.189877,3.269666,-8.960473,-4.086832,1.534144
0.020000,24.881620,9.207003,3.251656,3.088912,-9.037702,-3.861460,1.537051
0.020000,24.883500,9.265107,3.309790,2.906704,-9.110408,-3.635270,1.539879
0.020000,24.885110,9.319546,3.364252,2.723132,-9.178578,-3.408501,1.542609
0.020000,24.886474,9.370293,3.415018,2.538288,-9.242206,-3.181411,1.545223
0.020000,24.887619,9.417325,3.462063,2.352262,-9.301302,-2.954814,1.547705
0.020000,24.888569,9.460617,3.505366,2.165145,-9.355862,-2.728004,1.550040
0.020000,24.889347,9.500150,3.544907,1.977027,-9.405879,-2.500817,1.552215
0.020000,24.889975,9.535905,3.580667,1.787999,-9.451410,-2.276569,1.554215
0.020000,24.890476,9.567864,3.612630,1.598150,-9.492422,-2.050624,1.556030
0.020000,24.890869,9.596012,3.640781,1.407571,-9.528956,-1.826693,1.557651
0.020000,24.891172,9.620337,3.665108,1.216350,-9.561044,-1.604401,1.559067
0.020000,24.891400,9.640828,3.685600,1.024576,-9.588702,-1.382894,1.560271
0.020000,24.891567,9.657474,3.702246,0.832338,-9.611920,-1.160880,1.561257
0.020000,24.891684,9.670268,3.715041,0.639723,-9.630747,-0.941375,1.562019
0.020000,24.891760,9.679204,3.723977,0.446819,-9.645205,-0.722891,1.562554
0.020000,24.891801,9.684278,3.729051,0.253713,-9.655278,-0.503653,1.562859
0.020000,24.891814,9.685849,3.730623,0.078560,-8.757662,44.880801,1.562953
0.020000,24.891814,9.685849,3.730623,0.000000,-3.928004,241.482923,1.562953
0.020000,24.891814,9.685849,3.730623,0.000000,0.000000,196.400187,1.562953
