dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.479638,4.581560,0.001772,0.177153,8.857625,442.881254,2.416203
0.020000,23.477617,4.583355,0.004475,0.135153,-2.099996,-547.881032,2.414776
0.020000,23.468443,4.591532,0.016765,0.614521,23.968416,1303.420578,2.412393
0.020000,23.455617,4.603031,0.033990,0.861273,12.337596,-581.540998,2.409042
0.020000,23.439158,4.617900,0.056171,1.109040,12.388345,2.537437,2.404710
0.020000,23.419090,4.636207,0.083335,1.358171,12.456582,3.411849,2.399379
0.020000,23.395445,4.658032,0.115513,1.608916,12.537249,4.033340,2.393027
0.020000,23.368264,4.683469,0.152740,1.861361,12.622231,4.249119,2.385627
0.020000,23.337594,4.712631,0.195061,2.116038,12.733877,5.582296,2.377152
0.020000,23.303497,4.745643,0.242520,2.372956,12.845895,5.600926,2.367568
0.020000,23.266043,4.782649,0.295172,2.632602,12.982299,6.820186,2.356838
0.020000,23.225319,4.823807,0.353073,2.895031,13.121441,6.957106,2.344925
0.020000,23.181430,4.869290,0.416278,3.160266,13.261717,7.013773,2.331788
0.020000,23.134497,4.919286,0.484851,3.428670,13.420224,7.925346,2.317383
0.020000,23.084667,4.973997,0.558853,3.700095,13.571266,7.552128,2.301669
0.020000,23.032111,5.033634,0.638344,3.974534,13.721934,7.533389,2.284603
0.020000,22.977032,5.098421,0.723380,4.251784,13.862509,7.028777,2.266147
0.020000,22.919662,5.168582,0.814010,4.531501,13.985844,6.166715,2.246266
0.020000,22.860275,5.244346,0.910275,4.813270,14.088444,5.129997,2.224933
0.020000,22.799181,5.325931,1.012200,5.096216,14.147304,2.943008,2.202129
0.020000,22.736737,5.413545,1.119789,5.379498,14.164077,0.838663,2.177851
0.020000,22.673342,5.507373,1.233026,5.661829,14.116586,-2.374567,2.152112
0.020000,22.609440,5.607565,1.351862,5.941781,13.997563,-5.951155,2.124945
0.020000,22.545520,5.714228,1.476211,6.217475,13.784744,-10.640936,2.096409
0.020000,22.482104,5.827413,1.605951,6.486974,13.474953,-15.489574,2.066589
0.020000,22.419747,5.947103,1.740911,6.747997,13.051124,-21.191445,2.035605
0.020000,22.359020,6.073206,1.880874,6.998153,12.507800,-27.166192,2.003606
0.020000,22.300497,6.205544,2.025575,7.235057,11.845212,-33.129398,1.970777
0.020000,22.244736,6.343857,2.174705,7.456496,11.071939,-38.663630,1.937333
0.020000,22.192262,6.487798,2.327912,7.660376,10.194024,-43.895751,1.903517
0.020000,22.143548,6.636946,2.484814,7.845107,9.236510,-47.875705,1.869596
0.020000,22.098994,6.790818,2.645006,8.009583,8.223794,-50.635807,1.835850
0.020000,22.058917,6.948881,2.808071,8.153260,7.183871,-51.996174,1.802570
0.020000,22.023538,7.110581,2.973596,8.276238,6.148893,-51.748870,1.770042
0.020000,21.992980,7.275354,3.141179,8.379161,5.146184,-50.135461,1.738546
0.020000,21.967266,7.442653,3.310443,8.463172,4.200533,-47.282552,1.708343
0.020000,21.946326,7.611958,3.481038,8.529759,3.329333,-43.559973,1.679677
0.020000,21.930003,7.782793,3.652650,8.580613,2.542694,-39.331952,1.652765
0.020000,21.918214,7.952150,3.822417,8.488355,-4.612867,-357.778064,1.628160
0.020000,21.910639,8.115493,3.985936,8.175925,-15.621503,-550.431808,1.606461
0.020000,21.906570,8.271180,4.141676,7.787007,-19.445913,-191.220483,1.587703
0.020000,21.905276,8.419485,4.289987,7.415566,-18.572050,43.693142,1.571644
0.020000,21.906135,8.560699,4.431203,7.060808,-17.737909,41.707069,1.558053
