dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.434974,5.659026,0.001772,0.177153,8.857625,442.881254,2.416203
0.020000,24.434489,5.659457,0.007086,0.354305,8.857625,0.000000,2.414776
0.020000,24.427876,5.665351,0.015944,0.531458,8.857625,0.000000,2.412393
0.020000,24.418643,5.673629,0.028344,0.708610,8.857625,-0.000000,2.409042
0.020000,24.406813,5.684317,0.044288,0.885763,8.857625,0.000000,2.404710
0.020000,24.392416,5.697450,0.063775,1.062915,8.857625,0.000000,2.399379
0.020000,24.375493,5.713071,0.086805,1.240068,8.857625,-0.000000,2.393027
0.020000,24.356091,5.731227,0.113378,1.417220,8.857625,0.000000,2.385627
0.020000,24.334266,5.751979,0.143494,1.594373,8.857625,0.000000,2.377152
0.020000,24.310084,5.775391,0.177153,1.771525,8.857625,-0.000000,2.367568
0.020000,24.283621,5.801538,0.214355,1.948678,8.857625,0.000000,2.356838
0.020000,24.254962,5.830502,0.255100,2.125830,8.857625,-0.000000,2.344925
0.020000,24.224210,5.862371,0.299388,2.302983,8.857625,-0.000000,2.331788
0.020000,24.191473,5.897243,0.347219,2.480135,8.857625,0.000000,2.317383
0.020000,24.156880,5.935225,0.398593,2.657288,8.857625,0.000000,2.301669
0.020000,24.120571,5.976426,0.453510,2.834440,8.857625,-0.000000,2.284603
0.020000,24.082705,6.020964,0.511971,3.011593,8.857625,0.000000,2.266147
0.020000,24.043457,6.068962,0.573974,3.188745,8.857625,0.000000,2.246266
0.020000,24.003021,6.120548,0.639521,3.365898,8.857625,0.000000,2.224933
0.020000,23.961609,6.175849,0.708610,3.543050,8.857625,-0.000000,2.202129
0.020000,23.919454,6.234995,0.781243,3.720203,8.857625,0.000000,2.177851
0.020000,23.876809,6.298111,0.857418,3.897355,8.857625,0.000000,2.152112
0.020000,23.833942,6.365321,0.937137,4.074508,8.857625,0.000000,2.124945
0.020000,23.791144,6.436737,1.020398,4.251660,8.857625,-0.000000,2.096409
0.020000,23.748716,6.512463,1.107203,4.428813,8.857625,0.000000,2.066589
0.020000,23.706974,6.592586,1.197551,4.605965,8.857625,-0.000000,2.035605
0.020000,23.666239,6.677176,1.291442,4.783118,8.857625,0.000000,2.003606
0.020000,23.626835,6.766281,1.388876,4.960270,8.857625,-0.000000,1.970777
0.020000,23.589083,6.859930,1.489853,5.137423,8.857625,0.000000,1.937333
0.020000,23.553289,6.958125,1.594373,5.314575,8.857625,-0.000000,1.903517
0.020000,23.519742,7.060843,1.702436,5.491728,8.857625,0.000000,1.869596
0.020000,23.488707,7.168042,1.814042,5.668880,8.857625,0.000000,1.835850
0.020000,23.460412,7.279655,1.929191,5.846033,8.857625,0.000000,1.802570
0.020000,23.435049,7.395600,2.047883,6.023185,8.857625,-0.000000,1.770042
0.020000,23.412767,7.515782,2.170118,6.200338,8.857625,0.000000,1.738546
0.020000,23.393666,7.640097,2.295896,6.377490,8.857625,-0.000000,1.708343
0.020000,23.377798,7.768436,2.425218,6.554643,8.857625,0.000000,1.679677
0.020000,23.365168,7.900695,2.558082,6.731795,8.857625,0.000000,1.652765
0.020000,23.355846,8.034709,2.692423,6.702298,-1.474861,-516.624304,1.628160
0.020000,23.349723,8.166839,2.824697,6.525145,-8.857625,-369.138205,1.606461
0.020000,23.346364,8.295525,2.953429,6.347993,-8.857625,0.000000,1.587703
0.020000,23.345275,8.420707,3.078617,6.170840,-8.857625,-0.000000,1.571644
0.020000,23.346018,8.542349,3.200262,5.993688,-8.857625,0.000000,1.558053
0.020000,23.348211,8.660430,3.318365,5.816535,-8.857625,-0.000000,1.546710
0.020000,23.351518,8.774941,3.432924,5.639383,-8.857625,0.000000,1.537415
0.020000,23.355650,8.885880,3.543940,5.462230,-8.857625,0.000000,1.529979
0.020000,23.360357,8.993250,3.651413,5.285078,-8.857625,0.000000,1.524229
0.020000,23.365425,9.097056,3.755343,5.107925,-8.857625,-0.000000,1.520005
0.020000,23.370675,9.197306,3.855730,4.930773,-8.857625,0.000000,1.517161
0.020000,23.375953,9.294006,3.952574,4.753620,-8.857625,-0.000000,1.515559
0.020000,23.381135,9.387163,4.045875,4.576468,-8.857625,0.000000,1.515072
0.020000,23.386118,9.476782,4.135633,4.399315,-8.857625,0.000000,1.515580
0.020000,23.390823,9.562868,4.221848,4.222163,-8.857625,0.000000,1.516971
0.020000,23.395186,9.645425,4.304519,4.045010,-8.857625,-0.000000,1.519140
0.020000,23.399165,9.724454,4.383648,3.867858,-8.857625,0.000000,1.521984
0.020000,23.402728,9.799955,4.459234,3.690705,-8.857625,0.000000,1.525409
0.020000,23.405859,9.871930,4.531276,3.513553,-8.857625,0.000000,1.529321
0.020000,23.408555,9.940376,4.599776,3.336400,-8.857625,-0.000000,1.533635
0.020000,23.410821,10.005293,4.664732,3.159248,-8.857625,0.000000,1.538264
0.020000,23.412672,10.066678,4.726146,2.982095,-8.857625,-0.000000,1.543129
0.020000,23.414130,10.124530,4.784016,2.804943,-8.857625,0.000000,1.548151
0.020000,23.415223,10.178847,4.838343,2.627790,-8.857625,-0.000000,1.553257
0.020000,23.415985,10.229625,4.889128,2.450638,-8.857625,0.000000,1.558376
0.020000,23.416453,10.276864,4.936369,2.273485,-8.857625,0.000000,1.563442
0.020000,23.416667,10.320562,4.980067,2.096333,-8.857625,-0.000000,1.568389
0.020000,23.416669,10.360717,5.020222,1.919180,-8.857625,0.000000,1.573160
0.020000,23.416500,10.397328,5.056834,1.742028,-8.857625,0.000000,1.577699
0.020000,23.416202,10.430396,5.089903,1.564875,-8.857625,-0.000000,1.581955
0.020000,23.415815,10.459919,5.119429,1.387723,-8.857625,0.000000,1.585880
0.020000,23.415377,10.485899,5.145412,1.210570,-8.857625,-0.000000,1.589433
0.020000,23.414923,10.508334,5.167852,1.033418,-8.857625,0.000000,1.592576
0.020000,23.414486,10.527226,5.186749,0.856265,-8.857625,0.000000,1.595277
0.020000,23.414094,10.542575,5.202103,0.679113,-8.857625,-0.000000,1.597508
