dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.390309,6.736493,0.001772,0.177153,8.857625,442.881254,2.416203
0.020000,25.391360,6.735560,0.003177,0.070282,-5.343514,-710.056979,2.414776
0.020000,25.387310,6.739171,0.008603,0.271307,10.051230,769.737248,2.412393
0.020000,25.381669,6.744228,0.016179,0.378790,5.374147,-233.854182,2.409042
0.020000,25.374467,6.750734,0.025884,0.485267,5.323882,-2.513262,2.404710
0.020000,25.365743,6.758693,0.037694,0.590483,5.260792,-3.154454,2.399379
0.020000,25.355541,6.768109,0.051577,0.694142,5.182926,-3.893337,2.393027
0.020000,25.343919,6.778985,0.067495,0.795888,5.087298,-4.781373,2.385627
0.020000,25.330938,6.791327,0.085406,0.895572,4.984230,-5.153394,2.377152
0.020000,25.316672,6.805139,0.105263,0.992843,4.863536,-6.034705,2.367568
0.020000,25.301199,6.820427,0.127015,1.087581,4.736893,-6.332176,2.356838
0.020000,25.284606,6.837196,0.150605,1.179527,4.597311,-6.979092,2.344925
0.020000,25.266990,6.855452,0.175975,1.268472,4.447250,-7.503042,2.331788
0.020000,25.248449,6.875201,0.203063,1.354422,4.297503,-7.487364,2.317383
0.020000,25.229093,6.896453,0.231809,1.437278,4.142814,-7.734454,2.301669
0.020000,25.209031,6.919217,0.262151,1.517131,3.992647,-7.508339,2.284603
0.020000,25.188379,6.943507,0.294034,1.594160,3.851447,-7.059998,2.266147
0.020000,25.167252,6.969343,0.327408,1.668694,3.726660,-6.239359,2.246266
0.020000,25.145767,6.996751,0.362234,1.741276,3.629110,-4.877504,2.224933
0.020000,25.124037,7.025768,0.398485,1.812569,3.564676,-3.221682,2.202129
0.020000,25.102172,7.056444,0.436157,1.883575,3.550266,-0.720500,2.177851
0.020000,25.080275,7.088850,0.475267,1.955491,3.595835,2.278454,2.152112
0.020000,25.058445,7.123077,0.515863,2.029845,3.717661,6.091290,2.124945
0.020000,25.036768,7.159247,0.558031,2.108380,3.926773,10.455618,2.096409
0.020000,25.015328,7.197513,0.601894,2.193165,4.239256,15.624149,2.066589
0.020000,24.994200,7.238068,0.647623,2.286428,4.663159,21.195136,2.035605
0.020000,24.973458,7.281145,0.695434,2.390532,5.205195,27.101792,2.003606
0.020000,24.953174,7.327018,0.745591,2.507867,5.866730,33.076771,1.970777
0.020000,24.933430,7.376003,0.798406,2.640731,6.643192,38.823104,1.937333
0.020000,24.914315,7.428451,0.854228,2.791119,7.519419,43.811306,1.903517
0.020000,24.895937,7.484740,0.913441,2.960668,8.477443,47.901213,1.869596
0.020000,24.878420,7.545266,0.976451,3.150493,9.491281,50.691929,1.835850
0.020000,24.861907,7.610429,1.043673,3.361114,10.531045,51.988202,1.802570
0.020000,24.846560,7.680620,1.115522,3.592454,11.566972,51.796335,1.770042
0.020000,24.832554,7.756210,1.192400,3.843853,12.569936,50.148216,1.738546
0.020000,24.820065,7.837540,1.274683,4.114174,13.516088,47.307561,1.708343
0.020000,24.809271,7.924915,1.362722,4.401928,14.387701,43.580661,1.679677
0.020000,24.800333,8.018598,1.456830,4.705425,15.174831,39.356505,1.652765
0.020000,24.793477,8.117268,1.555738,4.945395,11.998491,-158.816982,1.628160
0.020000,24.788807,8.218185,1.656763,5.051261,5.293301,-335.259511,1.606461
0.020000,24.786158,8.319869,1.758482,5.085939,1.733928,-177.968631,1.587703
0.020000,24.785274,8.421928,1.860545,5.103132,0.859609,-43.715955,1.571644
0.020000,24.785901,8.523999,1.962617,5.103629,0.024854,-41.737774,1.558053
0.020000,24.787793,8.625750,2.064386,5.088440,-0.759441,-39.214740,1.546710
0.020000,24.790716,8.726881,2.165559,5.058656,-1.489212,-36.488571,1.537415
0.020000,24.794450,8.827119,2.265867,5.015379,-2.163827,-33.730731,1.529979
0.020000,24.798796,8.926217,2.365060,4.959648,-2.786528,-31.135041,1.524229
0.020000,24.803568,9.023949,2.462908,4.892421,-3.361384,-28.742799,1.520005
0.020000,24.808604,9.120108,2.559199,4.814571,-3.892508,-26.556230,1.517161
0.020000,24.813756,9.214505,2.653737,4.726861,-4.385475,-24.648314,1.515559
0.020000,24.818899,9.306961,2.746336,4.629969,-4.844607,-22.956595,1.515072
0.020000,24.823923,9.397311,2.836826,4.524481,-5.274383,-21.488822,1.515580
0.020000,24.828737,9.485398,2.925044,4.410909,-5.678600,-20.210838,1.516971
0.020000,24.833265,9.571072,3.010838,4.289696,-6.060656,-19.102800,1.519140
0.020000,24.837449,9.654192,3.094062,4.161227,-6.423444,-18.139431,1.521984
0.020000,24.841245,9.734619,3.174579,4.025844,-6.769161,-17.285813,1.525409
