dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.985196,2.200000,0.001786,0.178571,8.928571,446.428571,0.000000
0.020000,0.985196,2.200000,0.007143,0.357143,8.928571,0.000000,0.000000
0.020000,0.994077,2.200000,0.016071,0.535714,8.928571,0.000000,0.000000
0.020000,1.006577,2.200000,0.028571,0.714286,8.928571,-0.000000,0.000000
0.020000,1.022648,2.200000,0.044643,0.892857,8.928571,0.000000,0.000000
0.020000,1.042291,2.200000,0.064286,1.071429,8.928571,-0.000000,0.000000
0.020000,1.065505,2.200000,0.087500,1.250000,8.928571,0.000000,0.000000
0.020000,1.092291,2.200000,0.114286,1.428571,8.928571,-0.000000,0.000000
0.020000,1.122648,2.200000,0.144643,1.607143,8.928571,0.000000,0.000000
0.020000,1.156577,2.200000,0.178571,1.785714,8.928571,-0.000000,0.000000
0.020000,1.194077,2.200000,0.216071,1.964286,8.928571,-0.000000,0.000000
0.020000,1.235148,2.200000,0.257143,2.142857,8.928571,0.000000,0.000000
0.020000,1.279791,2.200000,0.301786,2.321429,8.928571,0.000000,0.000000
0.020000,1.328005,2.200000,0.350000,2.500000,8.928571,-0.000000,0.000000
0.020000,1.379791,2.200000,0.401786,2.678571,8.928571,0.000000,0.000000
0.020000,1.435148,2.200000,0.457143,2.857143,8.928571,0.000000,0.000000
0.020000,1.494077,2.200000,0.516071,3.035714,8.928571,0.000000,0.000000
0.020000,1.556577,2.200000,0.578571,3.214286,8.928571,0.000000,0.000000
0.020000,1.622648,2.200000,0.644643,3.392857,8.928571,0.000000,0.000000
0.020000,1.692291,2.200000,0.714286,3.571429,8.928571,-0.000000,0.000000
0.020000,1.765505,2.200000,0.787500,3.750000,8.928571,0.000000,0.000000
0.020000,1.842291,2.200000,0.864286,3.928571,8.928571,0.000000,0.000000
0.020000,1.922648,2.200000,0.944643,4.107143,8.928571,0.000000,0.000000
0.020000,2.006577,2.200000,1.028571,4.285714,8.928571,0.000000,0.000000
0.020000,2.094077,2.200000,1.116071,4.464286,8.928571,0.000000,0.000000
0.020000,2.185148,2.200000,1.207143,4.642857,8.928571,0.000000,0.000000
0.020000,2.279791,2.200000,1.301786,4.821429,8.928571,-0.000000,0.000000
0.020000,2.378005,2.200000,1.400000,5.000000,8.928571,0.000000,0.000000
0.020000,2.479791,2.200000,1.501786,5.178571,8.928571,0.000000,0.000000
0.020000,2.585148,2.200000,1.607143,5.357143,8.928571,-0.000000,0.000000
0.020000,2.694077,2.200000,1.716071,5.535714,8.928571,0.000000,0.000000
0.020000,2.806577,2.200000,1.828571,5.714286,8.928571,-0.000000,0.000000
0.020000,2.922648,2.200000,1.944643,5.892857,8.928571,0.000000,0.000000
0.020000,3.042291,2.200000,2.064286,6.071429,8.928571,-0.000000,0.000000
0.020000,3.165505,2.200000,2.187500,6.250000,8.928571,0.000000,0.000000
0.020000,3.292291,2.200000,2.314286,6.428571,8.928571,0.000000,0.000000
0.020000,3.422648,2.200000,2.444643,6.607143,8.928571,-0.000000,0.000000
0.020000,3.556577,2.200000,2.578571,6.785714,8.928571,0.000000,0.000000
0.020000,3.694077,2.200000,2.716071,6.964286,8.928571,-0.000000,0.000000
0.020000,3.835148,2.200000,2.857143,7.142857,8.928571,0.000000,0.000000
0.020000,3.979791,2.200000,3.001786,7.321429,8.928571,-0.000000,0.000000
0.020000,4.128005,2.200000,3.150000,7.500000,8.928571,0.000000,0.000000
0.020000,4.279791,2.200000,3.301786,7.678571,8.928571,0.000000,0.000000
0.020000,4.435148,2.200000,3.457143,7.857143,8.928571,-0.000000,0.000000
0.020000,4.594077,2.200000,3.616071,8.035714,8.928571,0.000000,0.000000
0.020000,4.756577,2.200000,3.778571,8.214286,8.928571,-0.000000,0.000000
0.020000,4.922648,2.200000,3.944643,8.392857,8.928571,0.000000,0.000000
0.020000,5.092291,2.200000,4.114286,8.571429,8.928571,0.000000,0.000000
0.020000,5.265505,2.200000,4.287500,8.750000,8.928571,0.000000,0.000000
0.020000,5.442291,2.200000,4.464286,8.928571,8.928571,0.000000,0.000000
0.020000,5.622648,2.200000,4.644643,9.107143,8.928571,0.000000,0.000000
0.020000,5.806577,2.200000,4.828571,9.285714,8.928571,0.000000,0.000000
0.020000,5.994077,2.200000,5.016071,9.464286,8.928571,-0.000000,0.000000
0.020000,6.185148,2.200000,5.207143,9.642857,8.928571,0.000000,0.000000
0.020000,6.379791,2.200000,5.401786,9.821429,8.928571,0.000000,0.000000
0.020000,6.578005,2.200000,5.600000,10.000000,8.928571,0.000000,0.000000
0.020000,6.778005,2.200000,5.800000,10.000000,0.000000,-446.428571,0.000000
0.020000,6.978005,2.200000,6.000000,10.000000,0.000000,0.000000,0.000000
0.020000,7.178005,2.200000,6.200000,10.000000,0.000000,0.000000,0.000000
0.020000,7.378005,2.200000,6.400000,10.000000,0.000000,0.000000,0.000000
0.020000,7.578005,2.200000,6.600000,10.000000,0.000000,0.000000,0.000000
0.020000,7.778005,2.200000,6.800000,10.000000,0.000000,0.000000,0.000000
0.020000,7.978005,2.200000,7.000000,10.000000,0.000000,0.000000,0.000000
0.020000,8.176461,2.200000,7.200000,10.000000,0.000000,0.000000,0.000038
0.020000,8.374878,2.199553,7.400000,10.000000,0.000000,0.000000,6.278833
0.020000,8.574874,2.198321,7.600000,10.000000,0.000000,0.000000,6.275372
0.020000,8.774866,2.196490,7.800000,10.000000,0.000000,0.000000,6.272842
0.020000,8.974853,2.194246,8.000000,10.000000,0.000000,0.000000,6.271243
0.020000,9.174838,2.191775,8.200000,10.000000,0.000000,0.000000,6.270574
0.020000,9.374822,2.189264,8.400000,10.000000,0.000000,0.000000,6.270835
0.020000,9.574808,2.186897,8.600000,10.000000,0.000000,0.000000,6.272027
0.020000,9.774798,2.184862,8.800000,10.000000,0.000000,0.000000,6.274149
0.020000,9.974792,2.183345,9.000000,10.000000,0.000000,0.000000,6.277201
0.020000,10.174790,2.182531,9.200000,10.000000,0.000000,0.000000,6.281184
0.020000,10.374790,2.182606,9.400000,10.000000,0.000000,0.000000,0.002913
0.020000,10.574786,2.183758,9.600000,10.000000,0.000000,0.000000,0.008756
0.020000,10.774771,2.186171,9.800000,10.000000,0.000000,0.000000,0.015530
0.020000,10.974733,2.190031,10.000000,10.000000,0.000000,0.000000,0.023230
0.020000,11.174657,2.195523,10.200000,10.000000,0.000000,0.000000,0.031856
0.020000,11.372625,2.202030,10.400000,10.000000,0.000000,0.000000,0.020836
0.020000,11.572613,2.202189,10.600000,10.000000,0.000000,0.000000,6.266879
0.020000,11.771195,2.196720,10.798661,9.866054,-6.697325,-334.866234,6.247274
0.020000,11.966584,2.189170,10.994196,9.687482,-8.928571,-111.562338,6.244582
0.020000,12.158441,2.182787,11.186160,9.508911,-8.928571,0.000000,6.257923
0.020000,12.346813,2.180482,11.374552,9.330339,-8.928571,0.000000,0.003388
0.020000,12.531567,2.184875,11.559373,9.151768,-8.928571,0.000000,0.046663
0.020000,12.712297,2.198266,11.740623,8.973196,-8.928571,0.000000,0.103615
0.020000,12.888273,2.222546,11.918301,8.794625,-8.928571,-0.000000,0.172674
0.020000,13.058466,2.259037,12.092408,8.616054,-8.928571,0.000000,0.251366
0.020000,13.221668,2.308330,12.262943,8.437482,-8.928571,0.000000,0.336303
0.020000,13.380644,2.354051,12.429907,8.258911,-8.928571,0.000000,0.231914
0.020000,13.540626,2.387188,12.593300,8.080339,-8.928571,0.000000,0.185630
0.020000,13.697745,2.416449,12.753121,7.901768,-8.928571,0.000000,0.190736
0.020000,13.850432,2.449539,12.909371,7.723196,-8.928571,0.000000,0.244615
0.020000,13.996533,2.493618,13.062049,7.544625,-8.928571,-0.000000,0.351088
0.020000,14.132067,2.555377,13.211156,7.366054,-8.928571,0.000000,0.513886
0.020000,14.250728,2.639181,13.356691,7.187482,-8.928571,-0.000000,0.722027
0.020000,14.346184,2.743880,13.498655,7.008911,-8.928571,0.000000,0.939913
0.020000,14.416419,2.862884,13.637047,6.830339,-8.928571,0.000000,1.129427
0.020000,14.464448,2.988730,13.771868,6.651768,-8.928571,-0.000000,1.276688
0.020000,14.496032,3.112045,13.903118,6.473196,-8.928571,0.000000,1.352159
0.020000,14.519421,3.237535,14.030796,6.294625,-8.928571,-0.000000,1.423651
0.020000,14.532417,3.360919,14.154903,6.116054,-8.928571,0.000000,1.511523
0.020000,14.533305,3.481393,14.275438,5.937482,-8.928571,-0.000000,1.619491
0.020000,14.520274,3.597545,14.392402,5.758911,-8.928571,0.000000,1.750010
0.020000,14.491918,3.707223,14.505795,5.580339,-8.928571,0.000000,1.901351
0.020000,14.448060,3.807772,14.615616,5.401768,-8.928571,-0.000000,2.064562
0.020000,14.390405,3.896883,14.721866,5.223196,-8.928571,0.000000,2.224589
0.020000,14.322254,3.973566,14.824544,5.044625,-8.928571,-0.000000,2.367170
0.020000,14.247379,4.038408,14.923650,4.866054,-8.928571,0.000000,2.484988
0.020000,14.169023,4.093004,15.019186,4.687482,-8.928571,-0.000000,2.577687
0.020000,14.089556,4.139253,15.111150,4.508911,-8.928571,0.000000,2.648502
0.020000,14.010576,4.178921,15.199542,4.330339,-8.928571,0.000000,2.701495
0.020000,13.933124,4.213489,15.284363,4.151768,-8.928571,-0.000000,2.740309
0.020000,13.857879,4.244136,15.365613,3.973196,-8.928571,0.000000,2.767842
0.020000,13.785289,4.271783,15.443291,3.794625,-8.928571,0.000000,2.786302
0.020000,13.715656,4.297142,15.517398,3.616054,-8.928571,0.000000,2.797348
0.020000,13.649191,4.320755,15.587933,3.437482,-8.928571,0.000000,2.802234
0.020000,13.586040,4.343030,15.654897,3.258911,-8.928571,0.000000,2.801928
0.020000,13.526312,4.364271,15.718290,3.080339,-8.928571,0.000000,2.797194
0.020000,13.470084,4.384689,15.778111,2.901768,-8.928571,-0.000000,2.788667
0.020000,13.417410,4.404425,15.834360,2.723196,-8.928571,0.000000,2.776895
0.020000,13.368329,4.423556,15.887039,2.544625,-8.928571,0.000000,2.762379
0.020000,13.322861,4.442104,15.936145,2.366054,-8.928571,0.000000,2.745602
0.020000,13.281010,4.460047,15.981681,2.187482,-8.928571,0.000000,2.727045
0.020000,13.242767,4.477320,16.023645,2.008911,-8.928571,0.000000,2.707199
0.020000,13.208106,4.493829,16.062037,1.830339,-8.928571,-0.000000,2.686574
0.020000,13.176987,4.509452,16.096858,1.651768,-8.928571,0.000000,2.665694
0.020000,13.149357,4.524050,16.128108,1.473196,-8.928571,0.000000,2.645090
0.020000,13.125151,4.537471,16.155786,1.294625,-8.928571,-0.000000,2.625293
0.020000,13.104297,4.549563,16.179893,1.116054,-8.928571,0.000000,2.606814
0.020000,13.086716,4.560174,16.200428,0.937482,-8.928571,0.000000,2.590133
0.020000,13.072331,4.569166,16.217392,0.758911,-8.928571,0.000000,2.575684
0.020000,13.061069,4.576413,16.230785,0.580339,-8.928571,0.000000,2.563841
0.020000,13.052866,4.581813,16.240606,0.401768,-8.928571,-0.000000,2.554907
0.020000,13.047671,4.585288,16.246855,0.223196,-8.928571,0.000000,2.549112
0.020000,13.045451,4.586786,16.249534,0.044625,-8.928571,-0.000000,2.546602
0.020000,13.045082,4.587037,16.249980,0.000000,-2.231247,334.866234,2.546183
