dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.952777,6.161035,0.001777,0.177692,8.884614,444.230694,0.000245
0.020000,7.952995,6.161035,0.001995,0.010918,-8.338725,-861.166962,0.000094
0.020000,7.958930,6.161035,0.007930,0.296745,14.291357,1131.504131,6.283028
0.020000,7.971867,6.161031,0.020867,0.646846,17.505047,160.684503,6.282682
0.020000,7.988489,6.161019,0.037489,0.831084,9.211898,-414.657476,6.282245
0.020000,8.008787,6.160994,0.057787,1.014901,9.190862,-1.051770,6.281723
0.020000,8.032751,6.160952,0.081751,1.198187,9.164303,-1.327982,6.281123
0.020000,8.060368,6.160886,0.109368,1.380885,9.134874,-1.471461,6.280454
0.020000,8.091625,6.160789,0.140625,1.562861,9.098831,-1.802135,6.279725
0.020000,8.126506,6.160654,0.175507,1.744070,9.060463,-1.918374,6.278948
0.020000,8.164994,6.160475,0.213995,1.924385,9.015714,-2.237454,6.278133
0.020000,8.207068,6.160245,0.256070,2.103765,8.968993,-2.336070,6.277296
0.020000,8.252709,6.159957,0.301712,2.282099,8.916733,-2.612987,6.276449
0.020000,8.301894,6.159604,0.350898,2.459306,8.860344,-2.819472,6.275610
0.020000,8.354599,6.159183,0.403604,2.635317,8.800536,-2.990401,6.274793
0.020000,8.410798,6.158689,0.459805,2.810040,8.736165,-3.218538,6.274018
0.020000,8.470463,6.158121,0.519473,2.983407,8.668356,-3.390459,6.273303
0.020000,8.533566,6.157476,0.582580,3.155322,8.595744,-3.630574,6.272668
0.020000,8.600076,6.156758,0.649094,3.325708,8.519314,-3.821508,6.272135
0.020000,8.669962,6.155971,0.718984,3.494489,8.439031,-4.014151,6.271725
0.020000,8.743188,6.155121,0.792215,3.661561,8.353607,-4.271219,6.271463
0.020000,8.819720,6.154219,0.868752,3.826839,8.263904,-4.485120,6.271374
0.020000,8.899518,6.153279,0.948556,3.990221,8.169062,-4.742120,6.271483
0.020000,8.982545,6.152320,1.031588,4.151597,8.068825,-5.011832,6.271819
0.020000,9.068757,6.151364,1.117805,4.310848,7.962532,-5.314679,6.272410
0.020000,9.158109,6.150438,1.207162,4.467856,7.850416,-5.605761,6.273290
0.020000,9.250554,6.149577,1.299611,4.622459,7.730141,-6.013766,6.274490
0.020000,9.346041,6.148818,1.395101,4.774503,7.602202,-6.396945,6.276045
0.020000,9.444516,6.148208,1.493578,4.923828,7.466260,-6.797138,6.277996
0.020000,9.545919,6.147799,1.594982,5.070195,7.318368,-7.394580,6.280381
0.020000,9.650187,6.147653,1.699250,5.213391,7.159761,-7.930330,0.000060
0.020000,9.757250,6.147836,1.806313,5.353171,6.989037,-8.536230,0.003450
0.020000,9.867032,6.148428,1.916097,5.489197,6.801284,-9.387647,0.007420
0.020000,9.979450,6.149516,2.028520,5.621175,6.598889,-10.119735,0.012024
0.020000,10.094411,6.151197,2.143494,5.748652,6.373873,-11.250796,0.017326
0.020000,10.211811,6.153581,2.260918,5.871228,6.128806,-12.253356,0.023393
0.020000,10.331536,6.156789,2.380685,5.988361,5.856637,-13.608452,0.030301
0.020000,10.453454,6.160954,2.502675,6.099479,5.555869,-15.038389,0.038134
0.020000,10.577420,6.166224,2.626752,6.203874,5.219769,-16.804988,0.046985
0.020000,10.703266,6.172759,2.752768,6.300805,4.846546,-18.661199,0.056958
0.020000,10.830804,6.180736,2.880555,6.389334,4.426440,-21.005297,0.068168
0.020000,10.959816,6.190346,3.009925,6.468500,3.958316,-23.406189,0.080747
0.020000,11.090056,6.201794,3.140667,6.537119,3.430938,-26.368879,0.094841
0.020000,11.221241,6.215300,3.272545,6.593882,2.838173,-29.638280,0.110614
0.020000,11.353046,6.231096,3.405293,6.637401,2.175919,-33.112703,0.128251
0.020000,11.485100,6.249426,3.538613,6.666017,1.430812,-37.255342,0.147957
0.020000,11.616983,6.270541,3.672176,6.678136,0.605969,-41.242144,0.169963
0.020000,11.748217,6.294695,3.805614,6.671898,-0.311921,-45.894489,0.194523
0.020000,11.878267,6.322137,3.938528,6.645712,-1.309289,-49.868416,0.221914
0.020000,12.006542,6.353104,4.070489,6.598015,-2.384835,-53.777299,0.252435
0.020000,12.132402,6.387812,4.201046,6.527858,-3.507876,-56.152025,0.286397
0.020000,12.255169,6.426446,4.329749,6.435139,-4.635931,-56.402770,0.324114
0.020000,12.374160,6.469151,4.456171,6.321107,-5.701623,-53.284597,0.365882
0.020000,12.487431,6.515473,4.578548,6.118839,-10.113393,-220.588488,0.411394
0.020000,12.592710,6.564411,4.694645,5.804865,-15.698685,-279.264626,0.459733
0.020000,12.689514,6.615374,4.804045,5.469987,-16.743891,-52.260292,0.510255
0.020000,12.778348,6.668144,4.907370,5.166290,-15.184844,77.952378,0.562527
0.020000,12.859840,6.722587,5.005375,4.900240,-13.302525,94.115923,0.616026
0.020000,12.934701,6.778659,5.098906,4.676562,-11.183913,105.930605,0.670165
0.020000,13.003666,6.836408,5.188858,4.497563,-8.949920,111.699665,0.724321
0.020000,13.067446,6.895951,5.276112,4.362708,-6.742764,110.357803,0.777883
0.020000,13.126674,6.957440,5.361487,4.268742,-4.698299,102.223236,0.830283
0.020000,13.181881,7.021020,5.445690,4.210155,-2.929327,88.448593,0.881029
0.020000,13.233483,7.086793,5.529289,4.179968,-1.509383,70.997204,0.929727
0.020000,13.281792,7.154792,5.612702,4.170635,-0.466645,52.136923,0.976087
0.020000,13.327029,7.224972,5.696198,4.174796,0.208063,33.735405,1.019922
0.020000,13.369352,7.297200,5.779912,4.185731,0.546723,16.932970,1.061137
0.020000,13.408878,7.371276,5.863874,4.198078,0.617391,3.533399,1.099714
0.020000,13.445697,7.446942,5.948023,4.207441,0.468137,-7.462683,1.135694
0.020000,13.479894,7.523898,6.032234,4.210573,0.156614,-15.576144,1.169162
0.020000,13.511553,7.601822,6.116344,4.205489,-0.254226,-20.542006,1.200233
0.020000,13.540764,7.680381,6.200158,4.190693,-0.739804,-24.278886,1.229041
0.020000,13.567624,7.759248,6.283474,4.165794,-1.244938,-25.256705,1.255728
0.020000,13.592240,7.838104,6.366083,4.130447,-1.767357,-26.120977,1.280439
0.020000,13.614722,7.916646,6.447779,4.084798,-2.282446,-25.754453,1.303316
0.020000,13.635188,7.994589,6.528364,4.029264,-2.776679,-24.711633,1.324496
0.020000,13.653759,8.071674,6.607655,3.964537,-3.236396,-22.985840,1.344107
0.020000,13.670553,8.147663,6.685477,3.891113,-3.671192,-21.739828,1.362271
0.020000,13.685693,8.222334,6.761667,3.809523,-4.079463,-20.413553,1.379100
0.020000,13.699296,8.295495,6.836082,3.720750,-4.438669,-17.960299,1.394695
0.020000,13.711476,8.366962,6.908580,3.624895,-4.792751,-17.704082,1.409151
0.020000,13.722347,8.436583,6.979044,3.523201,-5.084681,-14.596524,1.422554
0.020000,13.732014,8.504210,7.047359,3.415758,-5.372158,-14.373844,1.434980
0.020000,13.740580,8.569720,7.113427,3.303374,-5.619194,-12.351777,1.446500
0.020000,13.748140,8.632994,7.177150,3.186167,-5.860344,-12.057514,1.457179
0.020000,13.754787,8.693932,7.238450,3.064988,-6.058952,-9.930385,1.467072
0.020000,13.760605,8.752444,7.297251,2.940039,-6.247456,-9.425184,1.476234
0.020000,13.765677,8.808450,7.353485,2.811726,-6.415643,-8.409383,1.484710
0.020000,13.770076,8.861878,7.407095,2.680474,-6.562601,-7.347880,1.492544
0.020000,13.773872,8.912658,7.458016,2.546071,-6.720172,-7.878571,1.499772
0.020000,13.777131,8.960739,7.506208,2.409573,-6.824878,-5.235312,1.506430
0.020000,13.779913,9.006071,7.551625,2.270862,-6.935592,-5.535665,1.512548
0.020000,13.782273,9.048600,7.594220,2.129734,-7.056379,-6.039353,1.518154
0.020000,13.784263,9.088296,7.633965,1.987275,-7.122951,-3.328609,1.523274
0.020000,13.785928,9.125118,7.670825,1.843006,-7.213440,-4.524431,1.527929
0.020000,13.787311,9.159038,7.704773,1.697380,-7.281316,-3.393831,1.532139
0.020000,13.788450,9.190025,7.735781,1.550398,-7.349092,-3.388772,1.535922
0.020000,13.789381,9.218058,7.763829,1.402417,-7.399056,-2.498192,1.539294
0.020000,13.790133,9.243112,7.788895,1.253266,-7.457551,-2.924756,1.542267
0.020000,13.790734,9.265170,7.810961,1.103326,-7.496975,-1.971238,1.544855
0.020000,13.791207,9.284222,7.830019,0.952896,-7.521528,-1.227650,1.547067
0.020000,13.791573,9.300246,7.846047,0.801419,-7.573842,-2.615677,1.548912
0.020000,13.791848,9.313238,7.859042,0.649713,-7.585300,-0.572885,1.550397
0.020000,13.792045,9.323187,7.868992,0.497544,-7.608457,-1.157877,1.551529
0.020000,13.792175,9.330083,7.875890,0.344897,-7.632334,-1.193855,1.552309
0.020000,13.792245,9.333929,7.879737,0.192323,-7.628685,0.182454,1.552744
0.020000,13.792266,9.335089,7.880896,0.057979,-6.717201,45.574192,1.552874
0.020000,13.792266,9.335089,7.880896,0.000000,-2.898971,190.911496,1.552874
0.020000,13.792266,9.335089,7.880896,0.000000,0.000000,144.948572,1.552874
