dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.953130,4.721035,0.001777,0.177692,8.884614,444.230694,0.000245
0.020000,7.953130,4.721035,0.007108,0.355385,8.884614,0.000000,0.000094
0.020000,7.958704,4.721035,0.015992,0.533077,8.884614,0.000000,6.283028
0.020000,7.971143,4.721031,0.028431,0.710769,8.884614,-0.000000,6.282682
0.020000,7.987135,4.721019,0.044423,0.888461,8.884614,0.000000,6.282245
0.020000,8.006681,4.720996,0.063969,1.066154,8.884614,0.000000,6.281723
0.020000,8.029781,4.720955,0.087069,1.243846,8.884614,-0.000000,6.281123
0.020000,8.056435,4.720891,0.113723,1.421538,8.884614,0.000000,6.280454
0.020000,8.086643,4.720797,0.143931,1.599231,8.884614,0.000000,6.279725
0.020000,8.120404,4.720667,0.177692,1.776923,8.884614,-0.000000,6.278948
0.020000,8.157719,4.720494,0.215008,1.954615,8.884614,0.000000,6.278133
0.020000,8.198588,4.720270,0.255877,2.132307,8.884614,0.000000,6.277296
0.020000,8.243010,4.719989,0.300300,2.310000,8.884614,-0.000000,6.276449
0.020000,8.290985,4.719646,0.348277,2.487692,8.884614,0.000000,6.275610
0.020000,8.342515,4.719234,0.399808,2.665384,8.884614,0.000000,6.274793
0.020000,8.397597,4.718750,0.454892,2.843076,8.884614,-0.000000,6.274018
0.020000,8.456233,4.718191,0.513531,3.020769,8.884614,0.000000,6.273303
0.020000,8.518422,4.717556,0.575723,3.198461,8.884614,-0.000000,6.272668
0.020000,8.584164,4.716846,0.641469,3.376153,8.884614,0.000000,6.272135
0.020000,8.653460,4.716065,0.710769,3.553846,8.884614,-0.000000,6.271725
0.020000,8.726309,4.715220,0.783623,3.731538,8.884614,0.000000,6.271463
0.020000,8.802711,4.714320,0.860031,3.909230,8.884614,-0.000000,6.271374
0.020000,8.882667,4.713378,0.939992,4.086922,8.884614,0.000000,6.271483
0.020000,8.966177,4.712413,1.023508,4.264615,8.884614,-0.000000,6.271819
0.020000,9.053241,4.711448,1.110577,4.442307,8.884614,0.000000,6.272410
0.020000,9.143859,4.710509,1.201200,4.619999,8.884614,0.000000,6.273290
0.020000,9.238032,4.709631,1.295377,4.797692,8.884614,0.000000,6.274490
0.020000,9.335760,4.708855,1.393107,4.975384,8.884614,-0.000000,6.276045
0.020000,9.437043,4.708227,1.494392,5.153076,8.884614,0.000000,6.277996
0.020000,9.541880,4.707805,1.599231,5.330768,8.884614,-0.000000,6.280381
0.020000,9.650272,4.707653,1.707623,5.508461,8.884614,0.000000,0.000060
0.020000,9.762218,4.707845,1.819569,5.686153,8.884614,0.000000,0.003450
0.020000,9.877716,4.708468,1.935069,5.863845,8.884614,0.000000,0.007420
0.020000,9.996765,4.709620,2.054123,6.041537,8.884614,-0.000000,0.012024
0.020000,10.119359,4.711414,2.176730,6.219230,8.884614,0.000000,0.017326
0.020000,10.245495,4.713975,2.302892,6.396922,8.884614,0.000000,0.023393
0.020000,10.375163,4.717450,2.432607,6.574614,8.884614,0.000000,0.030301
0.020000,10.508354,4.722001,2.565876,6.752307,8.884614,-0.000000,0.038134
0.020000,10.645053,4.727813,2.702700,6.929999,8.884614,0.000000,0.046985
0.020000,10.785241,4.735094,2.843076,7.107691,8.884614,0.000000,0.056958
0.020000,10.928890,4.744081,2.987007,7.285383,8.884614,0.000000,0.068168
0.020000,11.075966,4.755038,3.134492,7.463076,8.884614,-0.000000,0.080747
0.020000,11.226423,4.768265,3.285530,7.640768,8.884614,0.000000,0.094841
0.020000,11.380200,4.784100,3.440122,7.818460,8.884614,0.000000,0.110614
0.020000,11.537221,4.802922,3.598269,7.996153,8.884614,0.000000,0.128251
0.020000,11.697381,4.825159,3.759969,8.173845,8.884614,0.000000,0.147957
0.020000,11.860553,4.851290,3.925222,8.351537,8.884614,-0.000000,0.169963
0.020000,12.026566,4.881853,4.094030,8.529229,8.884614,0.000000,0.194523
0.020000,12.195207,4.917449,4.266392,8.706922,8.884614,0.000000,0.221914
0.020000,12.366201,4.958742,4.442307,8.884614,8.884614,-0.000000,0.252435
0.020000,12.539199,5.006466,4.621776,9.062306,8.884614,0.000000,0.286397
0.020000,12.713765,5.061422,4.804799,9.239998,8.884614,-0.000000,0.324114
0.020000,12.889353,5.124467,4.991376,9.417691,8.884614,0.000000,0.365882
0.020000,13.063268,5.195620,5.179300,9.374713,-2.148888,-551.675090,0.411394
0.020000,13.231650,5.273925,5.365017,9.197021,-8.884614,-336.786299,0.459733
0.020000,13.392810,5.358801,5.547181,9.019328,-8.884614,-0.000000,0.510255
0.020000,13.546337,5.450034,5.725791,8.841636,-8.884614,0.000000,0.562527
0.020000,13.691868,5.547287,5.900846,8.663944,-8.884614,0.000000,0.616026
0.020000,13.829106,5.650103,6.072348,8.486252,-8.884614,-0.000000,0.670165
0.020000,13.957850,5.757921,6.240296,8.308559,-8.884614,0.000000,0.724321
0.020000,14.077999,5.870095,6.404691,8.130867,-8.884614,0.000000,0.777883
0.020000,14.189570,5.985920,6.565531,7.953175,-8.884614,-0.000000,0.830283
0.020000,14.292688,6.104665,6.722818,7.775482,-8.884614,0.000000,0.881029
