dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.953484,3.281035,0.001777,0.177692,8.884614,444.230694,0.000245
0.020000,7.953265,3.281035,0.001995,0.010918,-8.338725,-861.166962,0.000094
0.020000,7.958479,3.281035,0.007209,0.260669,12.487545,1041.313514,6.283028
0.020000,7.970419,3.281031,0.019149,0.597006,16.816850,216.465266,6.282682
0.020000,7.985782,3.281020,0.034512,0.768148,8.557105,-412.987241,6.282245
0.020000,8.004576,3.280997,0.053306,0.939722,8.578704,1.079932,6.281723
0.020000,8.026812,3.280958,0.075542,1.111803,8.604065,1.268056,6.281123
0.020000,8.052502,3.280896,0.101232,1.284513,8.635514,1.572434,6.280454
0.020000,8.081660,3.280806,0.130391,1.457902,8.669423,1.695465,6.279725
0.020000,8.114302,3.280680,0.163032,1.632094,8.709625,2.010078,6.278948
0.020000,8.150444,3.280512,0.199175,1.807138,8.752174,2.127483,6.278133
0.020000,8.190107,3.280295,0.238838,1.983159,8.801048,2.443664,6.277296
0.020000,8.233310,3.280022,0.282043,2.160214,8.852765,2.585864,6.276449
0.020000,8.280077,3.279687,0.328810,2.338385,8.908526,2.788038,6.275610
0.020000,8.330430,3.279285,0.379166,2.517763,8.968926,3.019998,6.274793
0.020000,8.384397,3.278810,0.433134,2.698420,9.032837,3.195581,6.274018
0.020000,8.442003,3.278261,0.490743,2.880447,9.101349,3.425576,6.273303
0.020000,8.503278,3.277636,0.552021,3.063911,9.173227,3.593914,6.272668
0.020000,8.568252,3.276934,0.616999,3.248903,9.249573,3.817288,6.272135
0.020000,8.636958,3.276160,0.685710,3.435515,9.330612,4.051970,6.271725
0.020000,8.709430,3.275319,0.758186,3.623824,9.415438,4.241309,6.271463
0.020000,8.785703,3.274420,0.834465,3.813931,9.505375,4.496852,6.271374
0.020000,8.865816,3.273477,0.914583,4.005935,9.600197,4.741056,6.271483
0.020000,8.949810,3.272506,0.998582,4.199944,9.700431,5.011708,6.271819
0.020000,9.037726,3.271531,1.086504,4.396072,9.806380,5.297450,6.272410
0.020000,9.129610,3.270579,1.178393,4.594461,9.919474,5.654730,6.273290
0.020000,9.225510,3.269686,1.274298,4.795236,10.038748,5.963706,6.274490
0.020000,9.325479,3.268891,1.374269,4.998564,10.166402,6.382660,6.276045
0.020000,9.429569,3.268247,1.478362,5.204647,10.304134,6.886621,6.277996
0.020000,9.537842,3.267811,1.586635,5.413650,10.450183,7.302453,6.280381
0.020000,9.650358,3.267653,1.699151,5.625823,10.608634,7.922528,0.000060
0.020000,9.767187,3.267854,1.815980,5.841450,10.781328,8.634706,0.003450
0.020000,9.888401,3.268508,1.937196,6.060785,10.966784,9.272785,0.007420
0.020000,10.014079,3.269724,2.062881,6.284228,11.172112,10.266412,0.012024
0.020000,10.144307,3.271630,2.193123,6.512102,11.393715,11.080155,0.017326
0.020000,10.279178,3.274369,2.328021,6.744912,11.640533,12.340884,0.023393
0.020000,10.418791,3.278111,2.467684,6.983146,11.911683,13.557518,0.030301
0.020000,10.563255,3.283048,2.612232,7.227418,12.213616,15.096657,0.038134
0.020000,10.712687,3.289402,2.761800,7.478376,12.547894,16.713880,0.046985
0.020000,10.867216,3.297429,2.916536,7.736841,12.923235,18.767073,0.056958
0.020000,11.026976,3.307425,3.076609,8.003644,13.340153,20.845907,0.068168
0.020000,11.192116,3.319730,3.242207,8.279867,13.811126,23.548654,0.080747
0.020000,11.362790,3.334737,3.413539,8.566616,14.337453,26.316325,0.094841
0.020000,11.539160,3.352901,3.590842,8.865167,14.927585,29.506626,0.110614
0.020000,11.721396,3.374749,3.774383,9.177033,15.593295,33.285477,0.128251
0.020000,11.909663,3.400892,3.964457,9.503688,16.332716,36.971057,0.147957
0.020000,12.104123,3.432039,4.161396,9.846958,17.163533,41.540849,0.169963
0.020000,12.304916,3.469012,4.365564,10.208422,18.073185,45.482617,0.194523
0.020000,12.512147,3.512760,4.577363,10.589934,19.075582,50.119836,0.221914
0.020000,12.725859,3.564379,4.797220,10.992834,20.144998,53.470793,0.252435
0.020000,12.945996,3.625120,5.025583,11.418173,21.266968,56.098494,0.286397
0.020000,13.172361,3.696398,5.262905,11.866094,22.396056,56.454383,0.324114
0.020000,13.404546,3.779783,5.509609,12.335203,23.455467,52.970583,0.365882
0.020000,13.639105,3.875768,5.763048,12.671941,16.836890,-330.928849,0.411394
0.020000,13.870591,3.983438,6.018349,12.765044,4.655137,-609.087662,0.459733
0.020000,14.096106,4.102228,6.273237,12.744402,-1.032121,-284.362894,0.510255
0.020000,14.314326,4.231923,6.527089,12.692617,-2.589219,-77.854909,0.562527
0.020000,14.523895,4.371986,6.779154,12.603235,-4.469099,-93.994004,0.616026
0.020000,14.723512,4.521547,7.028584,12.471504,-6.586567,-105.873372,0.670165
0.020000,14.912033,4.679434,7.274487,12.295173,-8.816552,-111.499266,0.724321
0.020000,15.088553,4.844238,7.515982,12.074721,-11.022603,-110.302563,0.777883
0.020000,15.252467,5.014400,7.752250,11.813429,-13.064605,-102.100074,0.830283
0.020000,15.403496,5.188310,7.982586,11.516789,-14.831960,-88.367771,0.881029
0.020000,15.541678,5.364400,8.206421,11.191737,-16.252604,-71.032183,0.929727
0.020000,15.667328,5.541220,8.423338,10.845875,-17.293136,-52.026630,0.976087
0.020000,15.780983,5.717487,8.633070,10.486599,-17.963766,-33.531481,1.019922
0.020000,15.883336,5.892106,8.835476,10.120258,-18.317061,-17.664746,1.061137
0.020000,15.975181,6.064185,9.030531,9.752777,-18.374076,-2.850774,1.099714
0.020000,16.057358,6.233012,9.218297,9.388272,-18.225248,7.441433,1.135694
0.020000,16.130713,6.398038,9.398891,9.029726,-17.927277,14.898556,1.169162
0.020000,16.196069,6.558857,9.572484,8.679623,-17.505154,21.106123,1.200233
0.020000,16.254207,6.715173,9.739261,8.338871,-17.037622,23.376610,1.229041
0.020000,16.305857,6.866790,9.899434,8.008646,-16.511241,26.319053,1.255728
0.020000,16.351688,7.013577,10.053209,7.688758,-15.994366,25.843748,1.280439
0.020000,16.392309,7.155456,10.200789,7.379003,-15.487762,25.330194,1.303316
0.020000,16.428273,7.292393,10.342370,7.079026,-14.998846,24.445787,1.324496
0.020000,16.460076,7.424386,10.478141,6.788550,-14.523815,23.751546,1.344107
0.020000,16.488165,7.551454,10.608275,6.506743,-14.090328,21.674377,1.362271
0.020000,16.512938,7.673623,10.732931,6.232767,-13.698801,19.576338,1.379100
0.020000,16.534754,7.790942,10.852261,5.966512,-13.312762,19.301936,1.394695
0.020000,16.553932,7.903449,10.966391,5.706494,-13.000916,15.592318,1.409151
0.020000,16.570760,8.011205,11.075454,5.453131,-12.668165,16.637533,1.422554
0.020000,16.585493,8.114260,11.179556,5.205109,-12.401080,13.354281,1.434980
0.020000,16.598361,8.212669,11.278803,4.962348,-12.138033,13.152350,1.446500
0.020000,16.609571,8.306478,11.373279,4.723823,-11.926273,10.587969,1.457179
0.020000,16.619308,8.395743,11.463073,4.489708,-11.705750,11.026177,1.467072
0.020000,16.627739,8.480510,11.548259,4.259303,-11.520241,9.275431,1.476234
0.020000,16.635012,8.560828,11.628905,4.032304,-11.349946,8.514751,1.484710
0.020000,16.641262,8.636741,11.705076,3.808510,-11.189689,8.012852,1.492544
0.020000,16.646611,8.708279,11.776814,3.586895,-11.080748,5.447066,1.499772
0.020000,16.651167,8.775491,11.844179,3.368295,-10.930024,7.536175,1.506430
0.020000,16.655029,8.838411,11.907218,3.151934,-10.818048,5.598795,1.512548
0.020000,16.658284,8.897061,11.965958,2.936998,-10.746807,3.562060,1.518154
0.020000,16.661011,8.951483,12.020448,2.724493,-10.625244,6.078161,1.523274
0.020000,16.663282,9.001698,12.070714,2.513308,-10.559240,3.300222,1.527929
0.020000,16.665159,9.047732,12.116787,2.303653,-10.482755,3.824232,1.532139
0.020000,16.666699,9.089607,12.158690,2.095153,-10.424995,2.888006,1.535922
0.020000,16.667952,9.127345,12.196449,1.887942,-10.360535,3.222984,1.539294
0.020000,16.668961,9.160959,12.230078,1.681469,-10.323682,1.842639,1.542267
0.020000,16.669765,9.190467,12.259597,1.475945,-10.276182,2.375030,1.544855
0.020000,16.670397,9.215889,12.285027,1.271486,-10.222964,2.660875,1.547067
0.020000,16.670883,9.237225,12.306369,1.067085,-10.220058,0.145296,1.548912
0.020000,16.671248,9.254493,12.323640,0.863579,-10.175273,2.239247,1.550397
0.020000,16.671510,9.267699,12.336849,0.660416,-10.158182,0.854590,1.551529
0.020000,16.671683,9.276844,12.345995,0.457343,-10.153645,0.226833,1.552309
0.020000,16.671776,9.281940,12.351093,0.254864,-10.123920,1.486269,1.552744
0.020000,16.671804,9.283476,12.352629,0.076811,-8.902669,61.062520,1.552874
0.020000,16.671804,9.283476,12.352629,0.000000,-3.840543,253.106328,1.552874
0.020000,16.671804,9.283476,12.352629,0.000000,0.000000,192.027128,1.552874
