dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.767429,10.477612,0.002000,0.200000,10.000000,500.000000,4.677636
0.020000,26.767383,10.476319,0.003294,0.064712,-6.764395,-838.219769,4.676737
0.020000,26.766952,10.464478,0.015143,0.592414,26.385079,1657.473702,4.675236
0.020000,26.766301,10.447455,0.032178,0.851799,12.969254,-670.791241,4.673128
0.020000,26.765411,10.425552,0.054099,1.096045,12.212330,-37.846189,4.670404
0.020000,26.764241,10.398756,0.080921,1.341063,12.250896,1.928306,4.667057
0.020000,26.762739,10.367056,0.112656,1.586773,12.285501,1.730266,4.663074
0.020000,26.760847,10.330433,0.149328,1.833595,12.341077,2.778799,4.658441
0.020000,26.758492,10.288870,0.190958,2.081483,12.394403,2.666279,4.653142
0.020000,26.755593,10.242346,0.237572,2.330732,12.462467,3.403212,4.647160
0.020000,26.752056,10.190838,0.289202,2.581473,12.537057,3.729466,4.640473
0.020000,26.747774,10.134323,0.345879,2.833841,12.618379,4.066132,4.633058
0.020000,26.742628,10.072775,0.407641,3.088108,12.713359,4.748988,4.624890
0.020000,26.736486,10.006172,0.474527,3.344316,12.810410,4.852530,4.615941
0.020000,26.729198,9.934486,0.546583,3.602778,12.923068,5.632921,4.606180
0.020000,26.720600,9.857694,0.623854,3.863559,13.039084,5.800821,4.595574
0.020000,26.710511,9.775776,0.706391,4.126847,13.164368,6.264181,4.584090
0.020000,26.698731,9.688711,0.794249,4.392904,13.302840,6.923584,4.571688
0.020000,26.685041,9.596485,0.887485,4.661829,13.446253,7.170669,4.558329
0.020000,26.669202,9.499093,0.986157,4.933593,13.588221,7.098387,4.543973
0.020000,26.650953,9.396533,1.090328,5.208549,13.747804,7.979174,4.528576
0.020000,26.630010,9.288818,1.200060,5.486586,13.901847,7.702129,4.512094
0.020000,26.606067,9.175975,1.315416,5.767777,14.059567,7.886026,4.494485
0.020000,26.578795,9.058046,1.436457,6.052053,14.213796,7.711449,4.475706
0.020000,26.547839,8.935098,1.563243,6.339299,14.362259,7.423147,4.455714
0.020000,26.512823,8.807219,1.695829,6.629302,14.500165,6.895291,4.434471
0.020000,26.473350,8.674532,1.834262,6.921693,14.619563,5.969883,4.411946
0.020000,26.429003,8.537193,1.978583,7.216039,14.717300,4.886866,4.388110
0.020000,26.379352,8.395404,2.128815,7.511565,14.776320,2.950983,4.362946
0.020000,26.323954,8.249408,2.284968,7.807649,14.804183,1.393149,4.336448
0.020000,26.262365,8.099504,2.447030,8.103142,14.774631,-1.477598,4.308623
0.020000,26.194146,7.946045,2.614970,8.396963,14.691080,-4.177561,4.279494
0.020000,26.118871,7.789444,2.788723,8.687660,14.534835,-7.812227,4.249105
0.020000,26.036142,7.630172,2.968199,8.973788,14.306397,-11.421904,4.217520
0.020000,25.945599,7.468760,3.153271,9.253643,13.992767,-15.681505,4.184825
0.020000,25.846930,7.305791,3.343783,9.525563,13.595964,-19.840123,4.151130
0.020000,25.739888,7.141892,3.539540,9.787857,13.114739,-24.061272,4.116569
0.020000,25.624297,6.977725,3.740318,10.038927,12.553495,-28.062193,4.081299
0.020000,25.500063,6.813970,3.945866,10.277400,11.923656,-31.491960,4.045494
