dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.889161,10.577466,0.001000,0.100000,5.000000,250.000000,4.677785
0.020000,23.889183,10.578112,0.001647,0.032343,-3.382867,-419.143373,4.677336
0.020000,23.889197,10.578504,0.002039,0.019607,-0.636765,137.305113,4.676587
0.020000,23.888997,10.573021,0.007526,0.274369,12.738093,668.742899,4.675537
0.020000,23.888733,10.565975,0.014577,0.352529,3.907966,-441.506361,4.674183
0.020000,23.888397,10.557370,0.023188,0.430573,3.902239,-0.286303,4.672524
0.020000,23.887982,10.547212,0.033355,0.508310,3.886817,-0.771107,4.670556
0.020000,23.887478,10.535505,0.045073,0.585900,3.879517,-0.365030,4.668277
0.020000,23.886876,10.522256,0.058335,0.663142,3.862086,-0.871523,4.665681
0.020000,23.886164,10.507472,0.073137,0.740075,3.846662,-0.771222,4.662766
0.020000,23.885327,10.491159,0.089471,0.816692,3.830838,-0.791195,4.659525
0.020000,23.884352,10.473329,0.107328,0.892847,3.807775,-1.153153,4.655954
0.020000,23.883221,10.453991,0.126699,0.968575,3.786396,-1.068933,4.652045
0.020000,23.881918,10.433155,0.147575,1.043802,3.761331,-1.253255,4.647793
0.020000,23.880423,10.410834,0.169946,1.118550,3.737406,-1.196259,4.643189
0.020000,23.878714,10.387042,0.193800,1.192668,3.705906,-1.574992,4.638226
0.020000,23.876771,10.361793,0.219124,1.266210,3.677085,-1.441074,4.632896
0.020000,23.874568,10.335102,0.245905,1.339068,3.642926,-1.707938,4.627188
0.020000,23.872081,10.306987,0.274130,1.411237,3.608439,-1.724340,4.621094
0.020000,23.869282,10.277467,0.303783,1.482644,3.570362,-1.903846,4.614603
0.020000,23.866143,10.246560,0.334848,1.553281,3.531841,-1.926066,4.607704
0.020000,23.862633,10.214290,0.367309,1.623039,3.487905,-2.196816,4.600386
0.020000,23.858721,10.180677,0.401149,1.691987,3.447378,-2.026349,4.592636
0.020000,23.854373,10.145747,0.436348,1.759955,3.398392,-2.449279,4.584441
0.020000,23.849554,10.109527,0.472887,1.826956,3.350060,-2.416574,4.575788
0.020000,23.844228,10.072043,0.510748,1.893044,3.304411,-2.282493,4.566663
0.020000,23.838356,10.033325,0.549908,1.958015,3.248532,-2.793922,4.557052
0.020000,23.831898,9.993405,0.590347,2.021941,3.196339,-2.609661,4.546941
0.020000,23.824813,9.952316,0.632043,2.084809,3.143364,-2.648736,4.536313
0.020000,23.817058,9.910091,0.674974,2.146543,3.086723,-2.832070,4.525154
0.020000,23.808588,9.866767,0.719118,2.207195,3.032579,-2.707171,4.513449
0.020000,23.799357,9.822383,0.764452,2.266693,2.974932,-2.882369,4.501181
0.020000,23.789318,9.776977,0.810955,2.325132,2.921935,-2.649876,4.488336
0.020000,23.778420,9.730591,0.858604,2.382449,2.865864,-2.803548,4.474898
0.020000,23.766613,9.683266,0.907379,2.438769,2.815972,-2.494575,4.460853
0.020000,23.753846,9.635047,0.957260,2.494066,2.764871,-2.555055,4.446188
0.020000,23.740063,9.585976,1.008230,2.548486,2.721002,-2.193451,4.430889
0.020000,23.725209,9.536099,1.060271,2.602068,2.679102,-2.094997,4.414946
0.020000,23.709227,9.485461,1.113372,2.655016,2.647377,-1.586236,4.398350
0.020000,23.692058,9.434107,1.167520,2.707429,2.620657,-1.336000,4.381092
0.020000,23.673641,9.382081,1.222710,2.759472,2.602149,-0.925415,4.363169
0.020000,23.653913,9.329427,1.278938,2.811415,2.597168,-0.249034,4.344578
0.020000,23.632808,9.276188,1.336208,2.863489,2.603694,0.326297,4.325321
0.020000,23.610259,9.222405,1.394527,2.915938,2.622419,0.936242,4.305405
0.020000,23.586194,9.168117,1.453909,2.969136,2.659918,1.874920,4.284838
0.020000,23.560541,9.113360,1.514377,3.023381,2.712276,2.617916,4.263636
0.020000,23.533222,9.058170,1.575959,3.079087,2.785268,3.649608,4.241818
0.020000,23.504155,9.002578,1.638691,3.136622,2.876749,4.574075,4.219411
0.020000,23.473257,8.946612,1.702620,3.196428,2.990325,5.678785,4.196446
0.020000,23.440437,8.890300,1.767798,3.258909,3.124043,6.685903,4.172960
0.020000,23.405604,8.833665,1.834288,3.324510,3.280039,7.799776,4.148995
0.020000,23.368658,8.776728,1.902161,3.393634,3.456191,8.807605,4.124603
0.020000,23.329499,8.719512,1.971495,3.466693,3.652976,9.839239,4.099836
