dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.723315,10.988735,0.001996,0.199582,9.979083,498.954150,4.691387
0.020000,26.723124,10.980492,0.010241,0.412241,10.632978,32.694768,4.687816
0.020000,26.722614,10.961972,0.028768,0.926357,25.705781,753.640133,4.681880
0.020000,26.721717,10.936096,0.054659,1.294573,18.410813,-364.748403,4.673602
0.020000,26.720254,10.902924,0.087863,1.660209,18.281817,-6.449818,4.663017
0.020000,26.717998,10.862543,0.128308,2.022229,18.100981,-9.041790,4.650176
0.020000,26.714682,10.815072,0.175894,2.379324,17.854725,-12.312792,4.635147
0.020000,26.710003,10.760673,0.230494,2.729993,17.533475,-16.062492,4.618020
0.020000,26.703627,10.699556,0.291943,3.072434,17.122067,-20.570391,4.598908
0.020000,26.695207,10.631985,0.360037,3.404680,16.612260,-25.490353,4.577954
0.020000,26.684386,10.558283,0.434528,3.724577,15.994888,-30.868615,4.555328
0.020000,26.670818,10.478836,0.515126,4.029888,15.265509,-36.468960,4.531234
0.020000,26.654179,10.394085,0.601494,4.318416,14.426448,-41.953048,4.505904
0.020000,26.634182,10.304528,0.693257,4.588128,13.485580,-47.043412,4.479599
0.020000,26.610589,10.210704,0.790002,4.837273,12.457225,-51.417717,4.452606
0.020000,26.583225,10.113180,0.891293,5.064529,11.362799,-54.721321,4.425229
0.020000,26.551984,10.012535,0.996674,5.269082,10.227674,-56.756251,4.397783
0.020000,26.516834,9.909345,1.105687,5.450632,9.077477,-57.509849,4.370586
0.020000,26.477813,9.804160,1.217877,5.609479,7.942377,-56.755001,4.343956
0.020000,26.435030,9.697493,1.332804,5.746356,6.843824,-54.927616,4.318197
0.020000,26.388656,9.589806,1.450051,5.862362,5.800342,-52.174124,4.293598
0.020000,26.338917,9.481505,1.569228,5.958848,4.824262,-48.803988,4.270432
0.020000,26.286086,9.372933,1.689972,6.037182,3.916729,-45.376670,4.248950
0.020000,26.230476,9.264375,1.811944,6.098625,3.072124,-42.230232,4.229387
0.020000,26.172437,9.156061,1.934828,6.144203,2.278933,-39.659576,4.211963
0.020000,26.112349,9.048176,2.058318,6.174492,1.514416,-38.225846,4.196890
