dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.283632,11.018975,0.001996,0.199582,9.979083,498.954150,4.691387
0.020000,25.283559,11.015874,0.007983,0.399163,9.979083,0.000000,4.687816
0.020000,25.283284,11.005898,0.017962,0.598745,9.979083,0.000000,4.681880
0.020000,25.282800,10.991936,0.031933,0.798327,9.979083,-0.000000,4.673602
0.020000,25.282009,10.973991,0.049895,0.997908,9.979083,0.000000,4.663017
0.020000,25.280784,10.952072,0.071849,1.197490,9.979083,-0.000000,4.650176
0.020000,25.278976,10.926189,0.097795,1.397072,9.979083,0.000000,4.635147
0.020000,25.276410,10.896363,0.127732,1.596653,9.979083,0.000000,4.618020
0.020000,25.272889,10.862618,0.161661,1.796235,9.979083,0.000000,4.598908
0.020000,25.268200,10.824989,0.199582,1.995817,9.979083,0.000000,4.577954
0.020000,25.262111,10.783522,0.241494,2.195398,9.979083,-0.000000,4.555328
0.020000,25.254382,10.738275,0.287398,2.394980,9.979083,0.000000,4.531234
0.020000,25.244769,10.689316,0.337293,2.594562,9.979083,0.000000,4.505904
0.020000,25.233023,10.636726,0.391180,2.794143,9.979083,0.000000,4.479599
0.020000,25.218906,10.580597,0.449059,2.993725,9.979083,0.000000,4.452606
0.020000,25.202190,10.521030,0.510929,3.193307,9.979083,-0.000000,4.425229
0.020000,25.182662,10.458132,0.576791,3.392888,9.979083,0.000000,4.397783
0.020000,25.160135,10.392013,0.646645,3.592470,9.979083,-0.000000,4.370586
0.020000,25.134447,10.322782,0.720490,3.792052,9.979083,0.000000,4.343956
0.020000,25.105468,10.250543,0.798327,3.991633,9.979083,0.000000,4.318197
0.020000,25.073099,10.175391,0.880155,4.191215,9.979083,-0.000000,4.293598
0.020000,25.037278,10.097407,0.965975,4.390797,9.979083,0.000000,4.270432
0.020000,24.997977,10.016652,1.055787,4.590378,9.979083,0.000000,4.248950
0.020000,24.955206,9.933169,1.149590,4.789960,9.979083,0.000000,4.229387
0.020000,24.909013,9.846972,1.247385,4.989541,9.979083,0.000000,4.211963
0.020000,24.859482,9.758051,1.349172,5.189123,9.979083,0.000000,4.196890
0.020000,24.806738,9.666361,1.454950,5.388705,9.979083,0.000000,4.184380
0.020000,24.750948,9.571826,1.564720,5.588286,9.979083,0.000000,4.174653
0.020000,24.692326,9.474333,1.678482,5.787868,9.979083,0.000000,4.167945
0.020000,24.631134,9.373727,1.796235,5.987450,9.979083,-0.000000,4.164526
0.020000,24.567699,9.269815,1.917980,6.187031,9.979083,0.000000,4.164711
0.020000,24.502414,9.162355,2.043716,6.386613,9.979083,-0.000000,4.168876
0.020000,24.435763,9.051059,2.173444,6.586195,9.979083,0.000000,4.177476
0.020000,24.368334,8.935586,2.307164,6.785776,9.979083,0.000000,4.191070
0.020000,24.300850,8.815545,2.444875,6.985358,9.979083,-0.000000,4.210343
0.020000,24.234204,8.690498,2.586578,7.184940,9.979083,0.000000,4.236124
0.020000,24.170846,8.562807,2.729130,7.070220,-5.735984,-785.753347,4.268613
0.020000,24.113362,8.435811,2.868538,6.870638,-9.979083,-212.154953,4.307243
0.020000,24.062698,8.310241,3.003955,6.671057,-9.979083,0.000000,4.351722
0.020000,24.019344,8.186186,3.135381,6.471475,-9.979083,0.000000,4.401792
0.020000,23.983698,8.063857,3.262814,6.271893,-9.979083,0.000000,4.456988
0.020000,23.956030,7.943574,3.386257,6.072312,-9.979083,-0.000000,4.516589
0.020000,23.936448,7.825760,3.505707,5.872730,-9.979083,0.000000,4.579600
0.020000,23.924865,7.710904,3.621166,5.673148,-9.979083,0.000000,4.644790
0.020000,23.920987,7.599525,3.732633,5.473567,-9.979083,0.000000,4.710783
0.020000,23.924317,7.492121,3.840108,5.273985,-9.979083,0.000000,4.776187
0.020000,23.934190,7.389127,3.943592,5.074403,-9.979083,-0.000000,4.839731
0.020000,23.949817,7.290884,4.043085,4.874822,-9.979083,0.000000,4.900376
0.020000,23.970339,7.197629,4.138585,4.675240,-9.979083,0.000000,4.957373
0.020000,23.994885,7.109485,4.230094,4.475659,-9.979083,0.000000,5.010265
0.020000,24.022607,7.026483,4.317611,4.276077,-9.979083,-0.000000,5.058854
0.020000,24.052714,6.948580,4.401137,4.076495,-9.979083,-0.000000,5.103144
0.020000,24.084488,6.875674,4.480671,3.876914,-9.979083,0.000000,5.143278
0.020000,24.117287,6.807627,4.556214,3.677332,-9.979083,0.000000,5.179488
0.020000,24.150549,6.744282,4.627765,3.477750,-9.979083,0.000000,5.212052
0.020000,24.183787,6.685468,4.695324,3.278169,-9.979083,-0.000000,5.241265
0.020000,24.216581,6.631015,4.758891,3.078587,-9.979083,0.000000,5.267418
0.020000,24.248569,6.580756,4.818467,2.879005,-9.979083,-0.000000,5.290788
0.020000,24.279442,6.534536,4.874052,2.679424,-9.979083,0.000000,5.311627
0.020000,24.308937,6.492206,4.925644,2.479842,-9.979083,0.000000,5.330167
0.020000,24.336828,6.453633,4.973245,2.280260,-9.979083,0.000000,5.346609
0.020000,24.362925,6.418695,5.016855,2.080679,-9.979083,0.000000,5.361134
0.020000,24.387063,6.387280,5.056472,1.881097,-9.979083,-0.000000,5.373898
0.020000,24.409105,6.359292,5.092098,1.681515,-9.979083,0.000000,5.385037
0.020000,24.428935,6.334643,5.123733,1.481934,-9.979083,0.000000,5.394667
0.020000,24.446454,6.313261,5.151376,1.282352,-9.979083,-0.000000,5.402886
0.020000,24.461581,6.295080,5.175027,1.082770,-9.979083,0.000000,5.409777
0.020000,24.474248,6.280047,5.194687,0.883189,-9.979083,-0.000000,5.415407
0.020000,24.484404,6.268116,5.210355,0.683607,-9.979083,0.000000,5.419832
0.020000,24.492007,6.259255,5.222031,0.484025,-9.979083,-0.000000,5.423095
0.020000,24.497026,6.253436,5.229716,0.284444,-9.979083,0.000000,5.425226
0.020000,24.499444,6.250642,5.233409,0.084862,-9.979083,-0.000000,5.426246
0.020000,24.500000,6.250000,5.234257,0.000000,-4.243099,286.799197,5.426480
0.020000,24.500000,6.250000,5.234257,0.000000,0.000000,212.154953,5.426480
