dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.843932,11.048344,0.000981,0.098140,4.907010,245.350516,4.691993
0.020000,23.843986,11.050874,0.003512,0.126537,1.419857,-174.357656,4.690235
0.020000,23.843991,11.051134,0.003772,0.013010,-5.676370,-354.811338,4.687310
0.020000,23.843964,11.050151,0.004756,0.049188,1.808908,374.263871,4.683223
0.020000,23.843923,11.048868,0.006040,0.064194,0.750292,-52.930815,4.677981
0.020000,23.843863,11.047269,0.007639,0.079974,0.788989,1.934890,4.671594
0.020000,23.843777,11.045336,0.009575,0.096753,0.838971,2.499086,4.664078
0.020000,23.843656,11.043043,0.011871,0.114804,0.902535,3.178198,4.655450
0.020000,23.843490,11.040360,0.014559,0.134429,0.981270,3.936757,4.645731
0.020000,23.843265,11.037248,0.017679,0.155973,1.077173,4.795125,4.634948
0.020000,23.842966,11.033664,0.021275,0.179826,1.192670,5.774851,4.623134
0.020000,23.842571,11.029555,0.025403,0.206415,1.329432,6.838101,4.610326
0.020000,23.842057,11.024859,0.030128,0.236210,1.489784,8.017627,4.596568
0.020000,23.841394,11.019505,0.035522,0.269711,1.675025,9.262014,4.581913
0.020000,23.840546,11.013415,0.041671,0.307442,1.886574,10.577461,4.566419
0.020000,23.839471,11.006500,0.048670,0.349946,2.125162,11.929434,4.550152
0.020000,23.838118,10.998660,0.056625,0.397762,2.390831,13.283443,4.533186
0.020000,23.836430,10.989791,0.065653,0.451421,2.682945,14.605676,4.515602
0.020000,23.834338,10.979779,0.075882,0.511423,3.000083,15.856928,4.497489
0.020000,23.831765,10.968504,0.087446,0.578221,3.339933,16.992492,4.478940
0.020000,23.828626,10.955843,0.100490,0.652210,3.699424,17.974528,4.460056
0.020000,23.824824,10.941670,0.115165,0.733716,4.075297,18.793647,4.440941
0.020000,23.820256,10.925857,0.131624,0.822964,4.462386,19.354471,4.421702
0.020000,23.814809,10.908280,0.150026,0.920103,4.856956,19.728518,4.402450
0.020000,23.808365,10.888815,0.170530,1.025185,5.254107,19.857538,4.383294
0.020000,23.800801,10.867346,0.193293,1.138159,5.648686,19.728939,4.364344
0.020000,23.791989,10.843760,0.218471,1.258899,6.037041,19.417739,4.345708
0.020000,23.781802,10.817954,0.246215,1.387194,6.414723,18.884100,4.327490
0.020000,23.770113,10.789831,0.276670,1.522775,6.779039,18.215815,4.309793
0.020000,23.756796,10.759302,0.309977,1.665352,7.128844,17.490251,4.292713
0.020000,23.741732,10.726285,0.346269,1.814564,7.460626,16.589092,4.276342
0.020000,23.724806,10.690704,0.385670,1.970093,7.776424,15.789928,4.260769
0.020000,23.705913,10.652487,0.428303,2.131611,8.075911,14.974320,4.246075
0.020000,23.684953,10.611565,0.474279,2.298831,8.361013,14.255119,4.232341
0.020000,23.661840,10.567871,0.523710,2.471525,8.634685,13.683583,4.219643
0.020000,23.636496,10.521335,0.576700,2.649506,8.899038,13.217648,4.208053
0.020000,23.608853,10.471882,0.633354,2.832724,9.160920,13.094110,4.197645
0.020000,23.578858,10.419429,0.693778,3.021179,9.422778,13.092914,4.188491
0.020000,23.546465,10.363885,0.758078,3.214995,9.690757,13.398916,4.180666
0.020000,23.511643,10.305141,0.826367,3.414442,9.972388,14.081543,4.174248
0.020000,23.474374,10.243073,0.898765,3.619905,10.273110,15.036101,4.169321
0.020000,23.434650,10.177533,0.975403,3.831931,10.601333,16.411178,4.165975
0.020000,23.392480,10.108347,1.056428,4.051242,10.965549,18.210775,4.164313
0.020000,23.347885,10.035310,1.142003,4.278744,11.375080,20.476575,4.164447
