dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.501483,2.060001,0.001000,0.100000,5.000000,250.000000,3.142623
0.020000,24.500577,2.060000,0.001906,0.045310,-2.734513,-386.725646,3.141994
0.020000,24.495980,2.060001,0.006503,0.229844,9.226725,598.061897,3.140946
0.020000,24.486871,2.060014,0.015613,0.455490,11.282275,102.777503,3.139480
0.020000,24.475163,2.060050,0.027321,0.585408,6.495915,-239.317996,3.137600
0.020000,24.460860,2.060123,0.041624,0.715152,6.487188,-0.436380,3.135306
0.020000,24.443966,2.060252,0.058518,0.844696,6.477224,-0.498170,3.132602
0.020000,24.424488,2.060458,0.077997,0.973963,6.463335,-0.694479,3.129491
0.020000,24.402431,2.060763,0.100056,1.102941,6.448891,-0.722178,3.125978
0.020000,24.377804,2.061196,0.124687,1.231547,6.430302,-0.929468,3.122068
0.020000,24.350615,2.061786,0.151882,1.359769,6.411115,-0.959353,3.117765
0.020000,24.320875,2.062564,0.181632,1.487499,6.386511,-1.230187,3.113078
0.020000,24.288597,2.063567,0.213927,1.614709,6.360490,-1.301033,3.108013
0.020000,24.253793,2.064831,0.248753,1.741326,6.330824,-1.483311,3.102577
0.020000,24.216481,2.066395,0.286099,1.867277,6.297547,-1.663869,3.096782
0.020000,24.176676,2.068303,0.325948,1.992492,6.260797,-1.837496,3.090636
0.020000,24.134401,2.070597,0.368286,2.116880,6.219384,-2.070647,3.084152
0.020000,24.089676,2.073322,0.413094,2.240378,6.174903,-2.224030,3.077341
0.020000,24.042527,2.076524,0.460351,2.362890,6.125565,-2.466890,3.070217
0.020000,23.992981,2.080252,0.510038,2.484312,6.071147,-2.720911,3.062796
0.020000,23.941067,2.084552,0.562129,2.604576,6.013186,-2.898080,3.055094
0.020000,23.886819,2.089475,0.616601,2.723571,5.949741,-3.172224,3.047127
0.020000,23.830271,2.095067,0.673425,2.841197,5.881315,-3.421312,3.038916
0.020000,23.771461,2.101378,0.732572,2.957364,5.808313,-3.650076,3.030480
0.020000,23.710431,2.108455,0.794011,3.071962,5.729937,-3.918812,3.021842
0.020000,23.647223,2.116345,0.857709,3.184903,5.647034,-4.145133,3.013023
0.020000,23.581884,2.125091,0.923631,3.296074,5.558566,-4.423422,3.004050
0.020000,23.514463,2.134737,0.991738,3.405389,5.465720,-4.642286,2.994947
