dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.500000,3.500000,0.001000,0.100000,5.000000,250.000000,3.142623
0.020000,24.500000,3.500000,0.004000,0.200000,5.000000,0.000000,3.141994
0.020000,24.496912,3.500001,0.009000,0.300000,5.000000,-0.000000,3.140946
0.020000,24.489912,3.500011,0.016000,0.400000,5.000000,0.000000,3.139480
0.020000,24.480912,3.500038,0.025000,0.500000,5.000000,-0.000000,3.137600
0.020000,24.469912,3.500095,0.036000,0.600000,5.000000,0.000000,3.135306
0.020000,24.456913,3.500194,0.049000,0.700000,5.000000,0.000000,3.132602
0.020000,24.441914,3.500352,0.064000,0.800000,5.000000,0.000000,3.129491
0.020000,24.424915,3.500588,0.081000,0.900000,5.000000,-0.000000,3.125978
0.020000,24.405918,3.500922,0.100000,1.000000,5.000000,0.000000,3.122068
0.020000,24.384923,3.501377,0.121000,1.100000,5.000000,-0.000000,3.117765
0.020000,24.361931,3.501979,0.144000,1.200000,5.000000,0.000000,3.113078
0.020000,24.336943,3.502755,0.169000,1.300000,5.000000,-0.000000,3.108013
0.020000,24.309961,3.503735,0.196000,1.400000,5.000000,0.000000,3.102577
0.020000,24.280986,3.504950,0.225000,1.500000,5.000000,0.000000,3.096782
0.020000,24.250022,3.506434,0.256000,1.600000,5.000000,0.000000,3.090636
0.020000,24.217071,3.508222,0.289000,1.700000,5.000000,-0.000000,3.084152
0.020000,24.182135,3.510350,0.324000,1.800000,5.000000,0.000000,3.077341
0.020000,24.145221,3.512858,0.361000,1.900000,5.000000,-0.000000,3.070217
0.020000,24.106331,3.515784,0.400000,2.000000,5.000000,0.000000,3.062796
0.020000,24.065471,3.519169,0.441000,2.100000,5.000000,0.000000,3.055094
0.020000,24.022647,3.523054,0.484000,2.200000,5.000000,-0.000000,3.047127
0.020000,23.977865,3.527483,0.529000,2.300000,5.000000,0.000000,3.038916
0.020000,23.931134,3.532499,0.576000,2.400000,5.000000,0.000000,3.030480
0.020000,23.882460,3.538143,0.625000,2.500000,5.000000,0.000000,3.021842
0.020000,23.831853,3.544459,0.676000,2.600000,5.000000,-0.000000,3.013023
0.020000,23.779322,3.551491,0.729000,2.700000,5.000000,0.000000,3.004050
0.020000,23.724876,3.559281,0.784000,2.800000,5.000000,0.000000,2.994947
0.020000,23.668528,3.567871,0.841000,2.900000,5.000000,0.000000,2.985742
0.020000,23.610286,3.577300,0.900000,3.000000,5.000000,-0.000000,2.976464
0.020000,23.550164,3.587609,0.961000,3.100000,5.000000,0.000000,2.967141
0.020000,23.488172,3.598835,1.024000,3.200000,5.000000,0.000000,2.957804
0.020000,23.424324,3.611013,1.089000,3.300000,5.000000,-0.000000,2.948487
0.020000,23.358630,3.624177,1.156000,3.400000,5.000000,0.000000,2.939220
0.020000,23.291103,3.638358,1.225000,3.500000,5.000000,0.000000,2.930039
0.020000,23.221755,3.653583,1.296000,3.600000,5.000000,0.000000,2.920977
0.020000,23.150597,3.669877,1.369000,3.700000,5.000000,-0.000000,2.912070
0.020000,23.077640,3.687262,1.444000,3.800000,5.000000,0.000000,2.903353
0.020000,23.002893,3.705753,1.521000,3.900000,5.000000,0.000000,2.894864
0.020000,22.926367,3.725366,1.600000,4.000000,5.000000,-0.000000,2.886640
0.020000,22.848068,3.746107,1.681000,4.100000,5.000000,0.000000,2.878717
0.020000,22.768003,3.767983,1.764000,4.200000,5.000000,0.000000,2.871133
0.020000,22.686176,3.790992,1.849000,4.300000,5.000000,-0.000000,2.863927
0.020000,22.602591,3.815127,1.936000,4.400000,5.000000,0.000000,2.857138
0.020000,22.517249,3.840379,2.025000,4.500000,5.000000,0.000000,2.850804
0.020000,22.430147,3.866728,2.116000,4.600000,5.000000,-0.000000,2.844965
0.020000,22.341283,3.894152,2.209000,4.700000,5.000000,0.000000,2.839661
0.020000,22.250649,3.922622,2.304000,4.800000,5.000000,-0.000000,2.834933
