dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.498517,4.939999,0.001000,0.100000,5.000000,250.000000,3.142623
0.020000,24.499423,4.940000,0.001906,0.045310,-2.734513,-386.725646,3.141994
0.020000,24.497844,4.940001,0.003485,0.078949,1.681949,220.823094,3.140946
0.020000,24.492954,4.940007,0.008375,0.244507,8.277894,329.797275,3.139480
0.020000,24.486662,4.940027,0.014667,0.314589,3.504125,-238.688491,3.137600
0.020000,24.478965,4.940066,0.022364,0.384840,3.512570,0.422245,3.135306
0.020000,24.469859,4.940136,0.031470,0.455312,3.523588,0.550946,3.132602
0.020000,24.459339,4.940247,0.041991,0.526031,3.535918,0.616482,3.129491
0.020000,24.447399,4.940412,0.053932,0.597062,3.551592,0.783717,3.125978
0.020000,24.434032,4.940647,0.067301,0.668441,3.568915,0.866127,3.122068
0.020000,24.419231,4.940968,0.082106,0.740242,3.590077,1.058079,3.117765
0.020000,24.402987,4.941393,0.098356,0.812497,3.612749,1.133624,3.113078
0.020000,24.385289,4.941943,0.116061,0.885286,3.639413,1.333202,3.108013
0.020000,24.366129,4.942639,0.135235,0.958669,3.669178,1.488221,3.102577
0.020000,24.345492,4.943504,0.155889,1.032717,3.702388,1.660502,3.096782
0.020000,24.323368,4.944565,0.178039,1.107506,3.739452,1.853223,3.090636
0.020000,24.299740,4.945847,0.201701,1.183107,3.780037,2.029271,3.084152
0.020000,24.274595,4.947379,0.226894,1.259614,3.825352,2.265723,3.077341
0.020000,24.247914,4.949191,0.253636,1.337108,3.874702,2.467512,3.070217
0.020000,24.219680,4.951316,0.281949,1.415672,3.928232,2.676484,3.062796
0.020000,24.189874,4.953785,0.311857,1.495414,3.987064,2.941592,3.055094
0.020000,24.158475,4.956634,0.343386,1.576420,4.050307,3.162149,3.047127
0.020000,24.125460,4.959900,0.376562,1.658788,4.118404,3.404888,3.038916
0.020000,24.090807,4.963619,0.411414,1.742622,4.191708,3.665194,3.030480
0.020000,24.054490,4.967830,0.447974,1.828018,4.269806,3.904906,3.021842
0.020000,24.016483,4.972574,0.486276,1.915082,4.353192,4.169303,3.013023
0.020000,23.976759,4.977892,0.526354,2.003905,4.441172,4.398957,3.004050
0.020000,23.935290,4.983825,0.568246,2.094592,4.534314,4.657126,2.994947
0.020000,23.892045,4.990418,0.611991,2.187232,4.632010,4.884806,2.985742
0.020000,23.846993,4.997712,0.657629,2.281921,4.734442,5.121590,2.976464
0.020000,23.800103,5.005752,0.705204,2.378741,4.841022,5.328986,2.967141
0.020000,23.751340,5.014583,0.754759,2.477779,4.951904,5.544124,2.957804
0.020000,23.700671,5.024248,0.806342,2.579109,5.066484,5.729011,2.948487
0.020000,23.648061,5.034791,0.859998,2.682804,5.184737,5.912643,2.939220
0.020000,23.593474,5.046254,0.915776,2.788926,5.306103,6.068272,2.930039
0.020000,23.536871,5.058682,0.973727,2.897535,5.430479,6.218814,2.920977
0.020000,23.478216,5.072113,1.033901,3.008684,5.557438,6.347965,2.912070
0.020000,23.417468,5.086589,1.096349,3.122419,5.686742,6.465208,2.903353
0.020000,23.354588,5.102145,1.161125,3.238781,5.818095,6.567635,2.894864
0.020000,23.289535,5.118818,1.228281,3.357806,5.951246,6.657525,2.886640
0.020000,23.222264,5.136639,1.297871,3.479527,6.086066,6.741029,2.878717
0.020000,23.152734,5.155636,1.369951,3.603974,6.222362,6.814784,2.871133
0.020000,23.080896,5.175837,1.444574,3.731175,6.360037,6.883747,2.863927
0.020000,23.006704,5.197261,1.521797,3.861159,6.499174,6.956861,2.857138
0.020000,22.930108,5.219925,1.601676,3.993954,6.639751,7.028843,2.850804
0.020000,22.851054,5.243840,1.684268,4.129591,6.781859,7.105413,2.844965
0.020000,22.769488,5.269012,1.769630,4.268109,6.925890,7.201524,2.839661
0.020000,22.685351,5.295441,1.857821,4.409548,7.071971,7.304046,2.834933
0.020000,22.598579,5.323120,1.948901,4.553956,7.220423,7.422642,2.830821
0.020000,22.509107,5.352034,2.042928,4.701395,7.371938,7.575715,2.827368
0.020000,22.416863,5.382159,2.139967,4.851930,7.526753,7.740762,2.824617
0.020000,22.321771,5.413466,2.240080,5.005640,7.685478,7.936245,2.822612
0.020000,22.223749,5.445912,2.343332,5.162616,7.848833,8.167748,2.821398
0.020000,22.122710,5.479447,2.449791,5.322962,8.017272,8.421947,2.821023
0.020000,22.018558,5.514006,2.559527,5.486792,8.191481,8.710479,2.821534
0.020000,21.911193,5.549516,2.672612,5.654232,8.372043,9.028060,2.822982
