dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.213146,3.348329,0.000990,0.098989,4.949447,247.472337,0.432728
0.020000,20.212733,3.348138,0.001445,0.022745,-3.812212,-438.082917,0.433044
0.020000,20.212044,3.347820,0.002203,0.037923,0.758938,228.557460,0.433571
0.020000,20.214106,3.348776,0.004476,0.113620,3.784836,151.294917,0.434309
0.020000,20.220944,3.351952,0.012016,0.376996,13.168783,469.197375,0.435259
0.020000,20.229297,3.355842,0.021230,0.460706,4.185524,-449.162982,0.436422
0.020000,20.239158,3.360449,0.032114,0.544209,4.175126,-0.519887,0.437800
0.020000,20.250522,3.365780,0.044667,0.627634,4.171247,-0.193938,0.439394
0.020000,20.263386,3.371840,0.058886,0.710991,4.167847,-0.169994,0.441206
0.020000,20.277739,3.378637,0.074767,0.794045,4.152700,-0.757356,0.443238
0.020000,20.293578,3.386178,0.092310,0.877137,4.154618,0.095863,0.445492
0.020000,20.310892,3.394472,0.111508,0.959901,4.138208,-0.820500,0.447971
0.020000,20.329673,3.403528,0.132358,1.042510,4.130441,-0.388307,0.450677
0.020000,20.349910,3.413358,0.154856,1.124902,4.119591,-0.542536,0.453614
0.020000,20.371592,3.423971,0.178997,1.207015,4.105672,-0.695933,0.456784
0.020000,20.394711,3.435381,0.204777,1.289033,4.100868,-0.240228,0.460192
0.020000,20.419248,3.447600,0.232189,1.370581,4.077402,-1.173284,0.463841
0.020000,20.445194,3.460642,0.261228,1.451945,4.068193,-0.460422,0.467734
0.020000,20.472532,3.474522,0.291888,1.533008,4.053193,-0.750019,0.471877
0.020000,20.501248,3.489256,0.324163,1.613760,4.037587,-0.780300,0.476273
0.020000,20.531323,3.504860,0.358046,1.694135,4.018740,-0.942362,0.480929
0.020000,20.562740,3.521351,0.393527,1.774073,3.996908,-1.091582,0.485847
0.020000,20.595480,3.538749,0.430603,1.853793,3.985986,-0.546083,0.491034
0.020000,20.629523,3.557072,0.469263,1.933014,3.961076,-1.245505,0.496496
0.020000,20.664846,3.576339,0.509500,2.011827,3.940633,-1.022182,0.502238
0.020000,20.701427,3.596573,0.551304,2.090193,3.918310,-1.116125,0.508265
0.020000,20.739243,3.617797,0.594669,2.168246,3.902626,-0.784195,0.514585
0.020000,20.778266,3.640031,0.639582,2.245647,3.870063,-1.628144,0.521203
0.020000,20.818473,3.663301,0.686036,2.322737,3.854478,-0.779253,0.528126
0.020000,20.859833,3.687631,0.734022,2.399261,3.826226,-1.412639,0.535360
