dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.817008,2.041061,0.000990,0.098989,4.949447,247.472337,0.432728
0.020000,20.817008,2.041061,0.003960,0.197978,4.949447,0.000000,0.433044
0.020000,20.817008,2.041061,0.008909,0.296967,4.949447,0.000000,0.433571
0.020000,20.820034,2.042464,0.015838,0.395956,4.949447,-0.000000,0.434309
0.020000,20.828113,2.046216,0.024747,0.494945,4.949447,0.000000,0.435259
0.020000,20.837984,2.050813,0.035636,0.593934,4.949447,0.000000,0.436422
0.020000,20.849643,2.056260,0.048505,0.692923,4.949447,-0.000000,0.437800
0.020000,20.863086,2.062566,0.063353,0.791911,4.949447,0.000000,0.439394
0.020000,20.878310,2.069739,0.080181,0.890900,4.949447,0.000000,0.441206
0.020000,20.895307,2.077787,0.098989,0.989889,4.949447,-0.000000,0.443238
0.020000,20.914077,2.086724,0.119777,1.088878,4.949447,0.000000,0.445492
0.020000,20.934610,2.096560,0.142544,1.187867,4.949447,-0.000000,0.447971
0.020000,20.956901,2.107309,0.167291,1.286856,4.949447,0.000000,0.450677
0.020000,20.980942,2.118986,0.194018,1.385845,4.949447,0.000000,0.453614
0.020000,21.006725,2.131606,0.222725,1.484834,4.949447,0.000000,0.456784
0.020000,21.034244,2.145188,0.253412,1.583823,4.949447,0.000000,0.460192
0.020000,21.063484,2.159749,0.286078,1.682812,4.949447,0.000000,0.463841
0.020000,21.094439,2.175309,0.320724,1.781801,4.949447,-0.000000,0.467734
0.020000,21.127097,2.191890,0.357350,1.880790,4.949447,0.000000,0.471877
0.020000,21.161445,2.209514,0.395956,1.979779,4.949447,0.000000,0.476273
0.020000,21.197471,2.228205,0.436541,2.078768,4.949447,0.000000,0.480929
0.020000,21.235159,2.247988,0.479106,2.177757,4.949447,0.000000,0.485847
0.020000,21.274495,2.268891,0.523651,2.276746,4.949447,-0.000000,0.491034
0.020000,21.315463,2.290941,0.570176,2.375734,4.949447,0.000000,0.496496
0.020000,21.358045,2.314168,0.618681,2.474723,4.949447,-0.000000,0.502238
0.020000,21.402220,2.338604,0.669165,2.573712,4.949447,0.000000,0.508265
0.020000,21.447973,2.364281,0.721629,2.672701,4.949447,0.000000,0.514585
0.020000,21.495276,2.391233,0.776073,2.771690,4.949447,-0.000000,0.521203
0.020000,21.544111,2.419496,0.832497,2.870679,4.949447,0.000000,0.528126
0.020000,21.594450,2.449109,0.890900,2.969668,4.949447,-0.000000,0.535360
0.020000,21.646268,2.480109,0.951284,3.068657,4.949447,0.000000,0.542914
0.020000,21.699537,2.512538,1.013647,3.167646,4.949447,-0.000000,0.550793
0.020000,21.754225,2.546436,1.077990,3.266635,4.949447,0.000000,0.559005
0.020000,21.810301,2.581849,1.144312,3.365624,4.949447,0.000000,0.567556
0.020000,21.867731,2.618822,1.212614,3.464613,4.949447,-0.000000,0.576455
0.020000,21.926478,2.657401,1.282897,3.563602,4.949447,0.000000,0.585708
0.020000,21.986503,2.697636,1.355159,3.662591,4.949447,0.000000,0.595322
0.020000,22.047764,2.739574,1.429400,3.761580,4.949447,-0.000000,0.605304
0.020000,22.110218,2.783268,1.505622,3.860568,4.949447,0.000000,0.615661
0.020000,22.173817,2.828770,1.583823,3.959557,4.949447,-0.000000,0.626399
0.020000,22.238514,2.876135,1.664004,4.058546,4.949447,0.000000,0.637524
0.020000,22.304253,2.925416,1.746165,4.157535,4.949447,-0.000000,0.649043
0.020000,22.370981,2.976670,1.830305,4.256524,4.949447,0.000000,0.660959
0.020000,22.438638,3.029954,1.916426,4.355513,4.949447,0.000000,0.673278
0.020000,22.507162,3.085325,2.004526,4.454502,4.949447,0.000000,0.686003
0.020000,22.576488,3.142841,2.094606,4.553491,4.949447,-0.000000,0.699136
0.020000,22.646547,3.202561,2.186666,4.652480,4.949447,0.000000,0.712679
0.020000,22.717268,3.264544,2.280705,4.751469,4.949447,-0.000000,0.726634
0.020000,22.788574,3.328848,2.376724,4.850458,4.949447,0.000000,0.740998
0.020000,22.860387,3.395531,2.474723,4.949447,4.949447,-0.000000,0.755770
0.020000,22.932623,3.464650,2.574702,5.048436,4.949447,0.000000,0.770945
0.020000,23.005198,3.536262,2.676661,5.147425,4.949447,-0.000000,0.786519
0.020000,23.078021,3.610422,2.780599,5.246414,4.949447,0.000000,0.802482
0.020000,23.151001,3.687183,2.886517,5.345402,4.949447,0.000000,0.818827
0.020000,23.224042,3.766598,2.994415,5.444391,4.949447,0.000000,0.835541
0.020000,23.297047,3.848715,3.104293,5.543380,4.949447,-0.000000,0.852610
0.020000,23.369914,3.933580,3.216150,5.642369,4.949447,0.000000,0.870019
