dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.421011,0.733857,0.002000,0.200000,10.000000,500.000000,0.432835
0.020000,21.421845,0.734243,0.002919,0.045966,-7.701695,-885.084735,0.433474
0.020000,21.428224,0.737201,0.009951,0.351560,15.279719,1149.070681,0.434539
0.020000,21.442870,0.744012,0.026102,0.807590,22.801468,376.087456,0.436033
0.020000,21.461691,0.752803,0.046875,1.038654,11.553213,-562.412738,0.437960
0.020000,21.484686,0.763605,0.072281,1.270280,11.581314,1.405058,0.440324
0.020000,21.511843,0.776447,0.102322,1.502046,11.588270,0.347759,0.443131
0.020000,21.543157,0.791372,0.137010,1.734406,11.618023,1.487693,0.446386
0.020000,21.578613,0.808422,0.176353,1.967146,11.636990,0.948330,0.450097
0.020000,21.618203,0.827653,0.220366,2.200670,11.676197,1.960359,0.454273
0.020000,21.661910,0.849123,0.269062,2.434805,11.706738,1.527021,0.458923
0.020000,21.709717,0.872897,0.322454,2.669587,11.739123,1.619275,0.464056
0.020000,21.761604,0.899050,0.380560,2.905288,11.785023,2.294974,0.469685
0.020000,21.817549,0.927661,0.443396,3.141807,11.825981,2.047896,0.475822
0.020000,21.877526,0.958821,0.510984,3.379412,11.880212,2.711594,0.482480
0.020000,21.941503,0.992624,0.583343,3.617930,11.925943,2.286534,0.489674
0.020000,22.009449,1.029175,0.660496,3.857658,11.986370,3.021345,0.497419
0.020000,22.081323,1.068586,0.742466,4.098490,12.041614,2.762212,0.505732
0.020000,22.157081,1.110979,0.829279,4.340655,12.108243,3.331417,0.514629
0.020000,22.236671,1.156483,0.920959,4.583993,12.166898,2.932772,0.524130
0.020000,22.320038,1.205238,1.017536,4.828840,12.242347,3.772451,0.534253
0.020000,22.407117,1.257391,1.119037,5.075078,12.311914,3.478328,0.545018
0.020000,22.497831,1.313098,1.225491,5.322664,12.379298,3.369238,0.556445
0.020000,22.592098,1.372525,1.336926,5.571795,12.456526,3.861366,0.568553
0.020000,22.689823,1.435848,1.453373,5.822352,12.527873,3.567355,0.581365
0.020000,22.790900,1.503250,1.574863,6.074453,12.605065,3.859624,0.594899
0.020000,22.895209,1.574921,1.701422,6.327951,12.674906,3.492039,0.609177
0.020000,23.002614,1.651063,1.833078,6.582825,12.743682,3.438816,0.624217
0.020000,23.112965,1.731878,1.969856,6.838919,12.804714,3.051577,0.640037
0.020000,23.226094,1.817581,2.111783,7.096322,12.870134,3.271031,0.656653
0.020000,23.341810,1.908385,2.258874,7.354551,12.911444,2.065470,0.674079
0.020000,23.459908,2.004510,2.411147,7.613660,12.955453,2.200452,0.692326
0.020000,23.580155,2.106173,2.568610,7.873152,12.974612,0.957954,0.711400
0.020000,23.702300,2.213591,2.731269,8.132949,12.989834,0.761088,0.731303
0.020000,23.826063,2.326973,2.899117,8.392397,12.972406,-0.871405,0.752033
0.020000,23.951145,2.446524,3.072143,8.651279,12.944114,-1.414582,0.773581
0.020000,24.077219,2.572433,3.250322,8.908944,12.883257,-3.042865,0.795930
0.020000,24.203936,2.704875,3.433620,9.164904,12.797982,-4.263748,0.819057
0.020000,24.330926,2.844005,3.621991,9.418553,12.682443,-5.776927,0.842928
0.020000,24.457797,2.989954,3.815374,9.669174,12.531066,-7.568850,0.867504
0.020000,24.584141,3.142825,4.013698,9.916206,12.351561,-8.975245,0.892733
0.020000,24.709538,3.302690,4.216876,10.158863,12.132869,-10.934602,0.918554
0.020000,24.833556,3.469586,4.424805,10.396482,11.880970,-12.594964,0.944898
0.020000,24.955763,3.643514,4.637374,10.628464,11.599078,-14.094603,0.971687
0.020000,25.075730,3.824438,4.854458,10.854194,11.286495,-15.629135,0.998833
0.020000,25.191777,4.010203,5.073492,10.951659,4.873258,-320.661840,1.025944
0.020000,25.302482,4.198510,5.291930,10.921909,-1.487520,-318.038941,1.052642
0.020000,25.407832,4.389077,5.509678,10.887433,-1.723756,-11.811801,1.078861
0.020000,25.507844,4.581626,5.726652,10.848674,-1.937982,-10.711291,1.104541
0.020000,25.602563,4.775887,5.942775,10.806143,-2.126556,-9.428684,1.129630
0.020000,25.692060,4.971602,6.157982,10.760348,-2.289728,-8.158602,1.154083
0.020000,25.776429,5.168526,6.372218,10.711825,-2.426150,-6.821088,1.177862
0.020000,25.855784,5.366431,6.585440,10.661088,-2.536866,-5.535824,1.200936
0.020000,25.930256,5.565104,6.797612,10.608615,-2.623643,-4.338821,1.223281
0.020000,25.999990,5.764351,7.008710,10.554889,-2.686319,-3.133839,1.244880
0.020000,26.065142,5.963996,7.218717,10.500341,-2.727353,-2.051657,1.265721
0.020000,26.125876,6.163880,7.427624,10.445356,-2.749252,-1.094957,1.285797
0.020000,26.182362,6.363861,7.635430,10.390281,-2.753788,-0.226826,1.305109
0.020000,26.234338,6.562084,7.840353,10.246171,-7.205475,-222.584349,1.323501
0.020000,26.281558,6.756223,8.040153,9.989980,-12.809556,-280.204042,1.340806
0.020000,26.324295,6.945714,8.234402,9.712495,-13.874277,-53.236044,1.357035
0.020000,26.362930,7.130501,8.423185,9.439141,-13.667651,10.331303,1.372244
0.020000,26.397816,7.310548,8.606581,9.169804,-13.466879,10.038608,1.386490
0.020000,26.429277,7.485835,8.784669,8.904389,-13.270723,9.807791,1.399828
0.020000,26.457617,7.656352,8.957525,8.642797,-13.079611,9.555606,1.412310
0.020000,26.483110,7.822099,9.125222,8.384822,-12.898746,9.043257,1.423986
0.020000,26.506013,7.983084,9.287828,8.130301,-12.726052,8.634660,1.434906
0.020000,26.526559,8.139321,9.445409,7.879084,-12.560862,8.259507,1.445114
0.020000,26.544963,8.290826,9.598028,7.630953,-12.406564,7.714928,1.454653
0.020000,26.561423,8.437622,9.745744,7.385777,-12.258805,7.387943,1.463565
0.020000,26.576119,8.579731,9.888611,7.143365,-12.120572,6.911643,1.471887
