dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.211916,3.347760,0.001963,0.196330,9.816505,490.825248,0.433669
0.020000,20.214350,3.348889,0.004646,0.134145,-3.109239,-646.287208,0.434504
0.020000,20.221448,3.352189,0.012473,0.391353,12.860381,798.481001,0.435885
0.020000,20.231404,3.356838,0.023462,0.549437,7.904216,-247.808225,0.437798
0.020000,20.244241,3.362866,0.037643,0.709061,7.981177,3.848044,0.440221
0.020000,20.259983,3.370309,0.055057,0.870666,8.080253,4.953773,0.443125
0.020000,20.278663,3.379214,0.075750,1.034687,8.201074,6.041070,0.446479
0.020000,20.300319,3.389631,0.099782,1.201561,8.343699,7.131230,0.450242
0.020000,20.324994,3.401621,0.127216,1.371720,8.507924,8.211262,0.454368
0.020000,20.352739,3.415250,0.158128,1.545587,8.693366,9.272095,0.458806
0.020000,20.383610,3.430590,0.192599,1.723588,8.900053,10.334341,0.463499
0.020000,20.417668,3.447718,0.230722,1.906134,9.127281,11.361432,0.468383
0.020000,20.454983,3.466716,0.272595,2.093631,9.374858,12.378826,0.473390
0.020000,20.495630,3.487669,0.318324,2.286478,9.642365,13.375347,0.478445
0.020000,20.539692,3.510664,0.368026,2.485062,9.929202,14.341881,0.483469
0.020000,20.587259,3.535790,0.421821,2.689764,10.235082,15.294008,0.488377
0.020000,20.638430,3.563135,0.479840,2.900958,10.559722,16.231982,0.493078
0.020000,20.693313,3.592786,0.542220,3.119014,10.902780,17.152907,0.497477
0.020000,20.752026,3.624825,0.609106,3.344299,11.264274,18.074710,0.501474
0.020000,20.814698,3.659331,0.680650,3.577188,11.644438,19.008194,0.504964
0.020000,20.881473,3.696374,0.757011,3.818064,12.043809,19.968548,0.507835
0.020000,20.952508,3.736013,0.838358,4.067327,12.463154,20.967227,0.509971
0.020000,21.027979,3.778296,0.924866,4.325402,12.903735,22.029056,0.511249
0.020000,21.108078,3.823257,1.016721,4.592746,13.367175,23.171979,0.511541
0.020000,21.193023,3.870907,1.114118,4.869855,13.855477,24.415112,0.510710
0.020000,21.283054,3.921240,1.217263,5.157275,14.370971,25.774727,0.508615
0.020000,21.378442,3.974216,1.326375,5.455599,14.916195,27.261184,0.505103
0.020000,21.479487,4.029769,1.441685,5.765472,15.493688,28.874633,0.500014
0.020000,21.586526,4.087789,1.563437,6.087586,16.105669,30.599066,0.493178
0.020000,21.699929,4.148121,1.691890,6.422657,16.753559,32.394499,0.484415
0.020000,21.820108,4.210552,1.827318,6.771402,17.437275,34.185823,0.473535
0.020000,21.945287,4.273698,1.967522,7.010204,11.940082,-274.859687,0.460584
0.020000,22.071556,4.335225,2.107983,7.023055,0.642571,-564.875532,0.445971
0.020000,22.196902,4.393950,2.246403,6.921012,-5.102158,-287.236436,0.430050
0.020000,22.321107,4.449660,2.382530,6.806362,-5.732527,-31.518480,0.412993
0.020000,22.443929,4.502181,2.516111,6.679013,-6.367446,-31.745930,0.394979
0.020000,22.565101,4.551378,2.646889,6.538907,-7.005303,-31.892853,0.376183
0.020000,22.684336,4.597155,2.774610,6.386058,-7.642440,-31.856869,0.356784
0.020000,22.801335,4.639458,2.899022,6.220584,-8.273713,-31.563613,0.336956
0.020000,22.915787,4.678274,3.019876,6.042726,-8.892897,-30.959224,0.316871
0.020000,23.027376,4.713631,3.136933,5.852863,-9.493163,-30.013279,0.296697
0.020000,23.135793,4.745594,3.249963,5.651507,-10.067796,-28.731684,0.276592
0.020000,23.240733,4.774264,3.358750,5.439309,-10.609862,-27.103277,0.256708
0.020000,23.341908,4.799773,3.463090,5.217025,-11.114197,-25.216748,0.237185
0.020000,23.439044,4.822281,3.562800,4.985499,-11.576333,-23.106828,0.218150
0.020000,23.531892,4.841970,3.657713,4.745632,-11.993317,-20.849194,0.199721
0.020000,23.620225,4.859039,3.747680,4.498359,-12.363679,-18.518084,0.181999
0.020000,23.703842,4.873698,3.832572,4.244611,-12.687388,-16.185435,0.165074
0.020000,23.782567,4.886165,3.912278,3.985297,-12.965711,-13.916180,0.149024
0.020000,23.856249,4.896660,3.986704,3.721277,-13.201009,-11.764875,0.133915
0.020000,23.924761,4.905398,4.055771,3.453347,-13.396485,-9.773804,0.119800
0.020000,23.987998,4.912592,4.119415,3.182228,-13.555934,-7.972448,0.106724
0.020000,24.045874,4.918441,4.177586,2.908556,-13.683595,-6.383061,0.094723
0.020000,24.098322,4.923136,4.230244,2.632884,-13.783630,-5.001743,0.083823
0.020000,24.145289,4.926851,4.277358,2.355687,-13.859845,-3.810756,0.074046
0.020000,24.186735,4.929746,4.318905,2.077349,-13.916902,-2.852851,0.065409
0.020000,24.222630,4.931962,4.354868,1.798184,-13.958262,-2.068009,0.057922
0.020000,24.252953,4.933624,4.385237,1.518434,-13.987472,-1.460487,0.051593
0.020000,24.277689,4.934838,4.410003,1.238284,-14.007487,-1.000758,0.046429
0.020000,24.296828,4.935689,4.429161,0.957890,-14.019732,-0.612255,0.042433
0.020000,24.310364,4.936244,4.442707,0.677344,-14.027312,-0.378991,0.039606
0.020000,24.318292,4.936552,4.450642,0.396715,-14.031444,-0.206580,0.037950
0.020000,24.320854,4.936648,4.453205,0.128170,-13.427222,30.211094,0.037415
0.020000,24.320854,4.936648,4.453205,0.000000,-6.408513,350.935433,0.037415
0.020000,24.320854,4.936648,4.453205,0.000000,0.000000,320.425651,0.037415
