dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.817008,2.041061,0.001963,0.196330,9.816505,490.825248,0.433669
0.020000,20.820533,2.042695,0.007853,0.392660,9.816505,0.000000,0.434504
0.020000,20.829434,2.046834,0.017670,0.588990,9.816505,0.000000,0.435885
0.020000,20.841887,2.052648,0.031413,0.785320,9.816505,-0.000000,0.437798
0.020000,20.857881,2.060159,0.049083,0.981650,9.816505,0.000000,0.440221
0.020000,20.877405,2.069390,0.070679,1.177981,9.816505,0.000000,0.443125
0.020000,20.900444,2.080372,0.096202,1.374311,9.816505,-0.000000,0.446479
0.020000,20.926983,2.093139,0.125651,1.570641,9.816505,0.000000,0.450242
0.020000,20.957002,2.107726,0.159027,1.766971,9.816505,0.000000,0.454368
0.020000,20.990484,2.124172,0.196330,1.963301,9.816505,-0.000000,0.458806
0.020000,21.027406,2.142519,0.237559,2.159631,9.816505,0.000000,0.463499
0.020000,21.067748,2.162807,0.282715,2.355961,9.816505,0.000000,0.468383
0.020000,21.111488,2.185076,0.331798,2.552291,9.816505,0.000000,0.473390
0.020000,21.158605,2.209364,0.384807,2.748621,9.816505,-0.000000,0.478445
0.020000,21.209081,2.235705,0.441743,2.944951,9.816505,0.000000,0.483469
0.020000,21.262897,2.264132,0.502605,3.141282,9.816505,0.000000,0.488377
0.020000,21.320039,2.294667,0.567394,3.337612,9.816505,0.000000,0.493078
0.020000,21.380495,2.327329,0.636110,3.533942,9.816505,0.000000,0.497477
0.020000,21.444261,2.362126,0.708752,3.730272,9.816505,-0.000000,0.501474
0.020000,21.511336,2.399055,0.785320,3.926602,9.816505,0.000000,0.504964
0.020000,21.581726,2.438102,0.865816,4.122932,9.816505,0.000000,0.507835
0.020000,21.655447,2.479240,0.950238,4.319262,9.816505,0.000000,0.509971
0.020000,21.732523,2.522423,1.038586,4.515592,9.816505,0.000000,0.511249
0.020000,21.812988,2.567589,1.130861,4.711922,9.816505,0.000000,0.511541
0.020000,21.896890,2.614655,1.227063,4.908252,9.816505,0.000000,0.510710
0.020000,21.984288,2.663515,1.327191,5.104583,9.816505,0.000000,0.508615
0.020000,22.075255,2.714037,1.431246,5.300913,9.816505,-0.000000,0.505103
0.020000,22.169878,2.766060,1.539228,5.497243,9.816505,0.000000,0.500014
0.020000,22.268262,2.819390,1.651136,5.693573,9.816505,0.000000,0.493178
0.020000,22.370524,2.873797,1.766971,5.889903,9.816505,0.000000,0.484415
0.020000,22.476799,2.929007,1.886732,6.086233,9.816505,0.000000,0.473535
0.020000,22.585325,2.983756,2.008287,6.069214,-0.850930,-533.371762,0.460584
0.020000,22.692678,3.036068,2.127708,5.872884,-9.816505,-448.278734,0.445971
0.020000,22.797261,3.085069,2.243202,5.676554,-9.816505,0.000000,0.430050
0.020000,22.899055,3.130730,2.354770,5.480224,-9.816505,-0.000000,0.412993
0.020000,22.998025,3.173054,2.462411,5.283894,-9.816505,0.000000,0.394979
0.020000,23.094118,3.212072,2.566126,5.087564,-9.816505,0.000000,0.376183
0.020000,23.187275,3.247839,2.665914,4.891234,-9.816505,0.000000,0.356784
0.020000,23.277422,3.280435,2.761775,4.694904,-9.816505,0.000000,0.336956
0.020000,23.364484,3.309965,2.853710,4.498574,-9.816505,0.000000,0.316871
0.020000,23.448379,3.336549,2.941718,4.302244,-9.816505,0.000000,0.296697
0.020000,23.529027,3.360326,3.025800,4.105913,-9.816505,0.000000,0.276592
0.020000,23.606347,3.381451,3.105954,3.909583,-9.816505,0.000000,0.256708
0.020000,23.680261,3.400088,3.182183,3.713253,-9.816505,-0.000000,0.237185
0.020000,23.750695,3.416410,3.254485,3.516923,-9.816505,0.000000,0.218150
0.020000,23.817582,3.430594,3.322860,3.320593,-9.816505,0.000000,0.199721
0.020000,23.880859,3.442822,3.387308,3.124263,-9.816505,0.000000,0.181999
0.020000,23.940471,3.453273,3.447830,2.927933,-9.816505,-0.000000,0.165074
0.020000,23.996369,3.462126,3.504426,2.731603,-9.816505,0.000000,0.149024
0.020000,24.048511,3.469552,3.557094,2.535273,-9.816505,0.000000,0.133915
0.020000,24.096861,3.475720,3.605837,2.338943,-9.816505,0.000000,0.119800
0.020000,24.141389,3.480785,3.650652,2.142612,-9.816505,0.000000,0.106724
0.020000,24.182070,3.484897,3.691541,1.946282,-9.816505,0.000000,0.094723
0.020000,24.218885,3.488192,3.728503,1.749952,-9.816505,0.000000,0.083823
0.020000,24.251818,3.490797,3.761539,1.553622,-9.816505,-0.000000,0.074046
0.020000,24.280856,3.492825,3.790648,1.357292,-9.816505,0.000000,0.065409
0.020000,24.305991,3.494377,3.815831,1.160962,-9.816505,0.000000,0.057922
0.020000,24.327215,3.495541,3.837087,0.964632,-9.816505,-0.000000,0.051593
0.020000,24.344523,3.496390,3.854416,0.768302,-9.816505,0.000000,0.046429
0.020000,24.357913,3.496985,3.867819,0.571972,-9.816505,0.000000,0.042433
0.020000,24.367381,3.497373,3.877295,0.375642,-9.816505,-0.000000,0.039606
0.020000,24.372926,3.497589,3.882845,0.179311,-9.816505,0.000000,0.037950
0.020000,24.374718,3.497656,3.884638,0.000000,-8.965575,42.546514,0.037415
0.020000,24.374718,3.497656,3.884638,0.000000,0.000000,448.278734,0.037415
0.020000,24.374718,3.497656,3.884638,0.000000,0.000000,0.000000,0.037415
