dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.421919,0.734278,0.000992,0.099227,4.961332,248.066604,0.433531
0.020000,21.422473,0.734534,0.001603,0.030517,-3.435466,-419.839881,0.433954
0.020000,21.427892,0.737047,0.007575,0.298638,13.406027,842.074648,0.434656
0.020000,21.435467,0.740569,0.015929,0.417701,5.953147,-372.644013,0.435634
0.020000,21.445190,0.745102,0.026657,0.536367,5.933309,-0.991889,0.436882
0.020000,21.457047,0.750650,0.039747,0.654530,5.908143,-1.258301,0.438393
0.020000,21.471022,0.757217,0.055189,0.772071,5.877071,-1.553637,0.440158
0.020000,21.487098,0.764807,0.072966,0.888885,5.840694,-1.818838,0.442167
0.020000,21.505252,0.773427,0.093064,1.004854,5.798428,-2.113297,0.444409
0.020000,21.525462,0.783082,0.115461,1.119872,5.750902,-2.376320,0.446871
0.020000,21.547701,0.793775,0.140137,1.233822,5.697526,-2.668798,0.449537
0.020000,21.571941,0.805513,0.167069,1.346601,5.638953,-2.928620,0.452391
0.020000,21.598150,0.818300,0.196231,1.458094,5.574610,-3.217169,0.455415
0.020000,21.626295,0.832140,0.227595,1.568196,5.505148,-3.473092,0.458591
0.020000,21.656341,0.847036,0.261131,1.676797,5.430046,-3.755116,0.461896
0.020000,21.688251,0.862989,0.296807,1.783796,5.349912,-4.006702,0.465310
0.020000,21.721986,0.880001,0.334589,1.889082,5.264324,-4.279372,0.468808
0.020000,21.757505,0.898071,0.374440,1.992558,5.173787,-4.526880,0.472365
0.020000,21.794767,0.917194,0.416322,2.094119,5.078037,-4.787454,0.475954
0.020000,21.833727,0.937367,0.460196,2.193666,4.977394,-5.032184,0.479548
0.020000,21.874343,0.958581,0.506018,2.291103,4.871821,-5.278641,0.483117
0.020000,21.916568,0.980827,0.553744,2.386330,4.761358,-5.523124,0.486630
0.020000,21.960356,1.004092,0.603329,2.479255,4.646251,-5.755366,0.490056
0.020000,22.005663,1.028358,0.654725,2.569779,4.526215,-6.001827,0.493361
0.020000,22.052439,1.053607,0.707881,2.657813,4.401703,-6.225592,0.496510
0.020000,22.100640,1.079815,0.762746,2.743259,4.272275,-6.471402,0.499468
