dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.939976,6.008305,0.001976,0.197621,9.881034,494.051698,4.718156
0.020000,15.939984,6.007134,0.003147,0.058557,-6.953184,-841.710909,4.719325
0.020000,15.940040,6.000064,0.010218,0.353520,14.748175,1085.067972,4.721277
0.020000,15.940142,5.990178,0.020104,0.494316,7.039762,-385.420683,4.724018
0.020000,15.940312,5.977489,0.032794,0.634506,7.009491,-1.513518,4.727557
0.020000,15.940580,5.962013,0.048272,0.773913,6.970358,-1.956662,4.731904
0.020000,15.940983,5.943770,0.066520,0.912373,6.923026,-2.366621,4.737073
0.020000,15.941564,5.922784,0.087514,1.049701,6.866375,-2.832524,4.743079
0.020000,15.942373,5.899083,0.111229,1.185743,6.802099,-3.213788,4.749940
0.020000,15.943466,5.872698,0.137636,1.320358,6.730781,-3.565894,4.757677
0.020000,15.944907,5.843667,0.166703,1.453339,6.649052,-4.086480,4.766311
0.020000,15.946766,5.812030,0.198395,1.584612,6.563646,-4.270314,4.775867
0.020000,15.949120,5.777831,0.232675,1.713995,6.469157,-4.724435,4.786371
0.020000,15.952052,5.741120,0.269503,1.841396,6.370010,-4.957316,4.797850
0.020000,15.955653,5.701950,0.308837,1.966723,6.266387,-5.181180,4.810332
0.020000,15.960021,5.660381,0.350636,2.089922,6.159932,-5.322761,4.823849
0.020000,15.965259,5.616473,0.394855,2.210974,6.052578,-5.367706,4.838429
0.020000,15.971477,5.570292,0.441453,2.329873,5.944961,-5.380820,4.854102
0.020000,15.978794,5.521907,0.490387,2.446732,5.842971,-5.099522,4.870897
0.020000,15.987333,5.471391,0.541621,2.561667,5.746765,-4.810285,4.888840
0.020000,15.997225,5.418815,0.595119,2.674922,5.662714,-4.202547,4.907954
0.020000,16.008608,5.364254,0.650855,2.786779,5.592881,-3.491647,4.928260
0.020000,16.021628,5.307782,0.708808,2.897691,5.545586,-2.364733,4.949770
0.020000,16.036437,5.249470,0.768971,3.008138,5.522338,-1.162410,4.972491
0.020000,16.053197,5.189388,0.831347,3.118795,5.532836,0.524880,4.996419
0.020000,16.072078,5.127600,0.895956,3.230422,5.581368,2.426610,5.021542
0.020000,16.093261,5.064165,0.962834,3.343903,5.674064,4.634782,5.047832
0.020000,16.116935,4.999135,1.032039,3.460266,5.818120,7.202800,5.075252
0.020000,16.143304,4.932555,1.103651,3.580586,6.016022,9.895107,5.103745
0.020000,16.172585,4.864463,1.177772,3.706057,6.273550,12.876407,5.133239
0.020000,16.205006,4.794888,1.254529,3.837871,6.590709,15.857948,5.163648
0.020000,16.240811,4.723858,1.334074,3.977222,6.967547,18.841915,5.194865
0.020000,16.280255,4.651393,1.416578,4.125231,7.400459,21.645607,5.226772
0.020000,16.323608,4.577516,1.502236,4.282893,7.883059,24.129969,5.259233
