dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.500000,6.000000,0.000995,0.099456,4.972799,248.639953,4.717963
0.020000,14.500000,6.000000,0.003978,0.198912,4.972799,0.000000,4.718551
0.020000,14.500026,5.996100,0.008951,0.298368,4.972799,0.000000,4.719532
0.020000,14.500081,5.989138,0.015913,0.397824,4.972799,0.000000,4.720907
0.020000,14.500165,5.980188,0.024864,0.497280,4.972799,0.000000,4.722678
0.020000,14.500289,5.969248,0.035804,0.596736,4.972799,0.000000,4.724849
0.020000,14.500467,5.956320,0.048733,0.696192,4.972799,0.000000,4.727423
0.020000,14.500714,5.941403,0.063652,0.795648,4.972799,-0.000000,4.730403
0.020000,14.501047,5.924500,0.080559,0.895104,4.972799,0.000000,4.733794
0.020000,14.501487,5.905608,0.099456,0.994560,4.972799,-0.000000,4.737602
0.020000,14.502058,5.884730,0.120342,1.094016,4.972799,0.000000,4.741832
0.020000,14.502785,5.861866,0.143217,1.193472,4.972799,0.000000,4.746491
0.020000,14.503696,5.837019,0.168081,1.292928,4.972799,-0.000000,4.751585
0.020000,14.504822,5.810190,0.194934,1.392384,4.972799,0.000000,4.757121
0.020000,14.506198,5.781381,0.223776,1.491840,4.972799,-0.000000,4.763109
0.020000,14.507860,5.750594,0.254607,1.591296,4.972799,0.000000,4.769556
0.020000,14.509848,5.717834,0.287428,1.690752,4.972799,0.000000,4.776471
0.020000,14.512206,5.683104,0.322237,1.790208,4.972799,0.000000,4.783864
0.020000,14.514978,5.646410,0.359036,1.889664,4.972799,-0.000000,4.791744
0.020000,14.518215,5.607758,0.397824,1.989120,4.972799,0.000000,4.800122
0.020000,14.521968,5.567154,0.438601,2.088576,4.972799,-0.000000,4.809008
0.020000,14.526293,5.524608,0.481367,2.188032,4.972799,0.000000,4.818413
0.020000,14.531250,5.480128,0.526122,2.287488,4.972799,0.000000,4.828347
0.020000,14.536901,5.433727,0.572866,2.386944,4.972799,0.000000,4.838821
0.020000,14.543312,5.385417,0.621600,2.486400,4.972799,0.000000,4.849846
0.020000,14.550552,5.335214,0.672322,2.585856,4.972799,-0.000000,4.861431
0.020000,14.558696,5.283136,0.725034,2.685311,4.972799,0.000000,4.873587
0.020000,14.567818,5.229201,0.779735,2.784767,4.972799,-0.000000,4.886323
0.020000,14.578000,5.173434,0.836425,2.884223,4.972799,-0.000000,4.899647
0.020000,14.589324,5.115858,0.895104,2.983679,4.972799,0.000000,4.913567
0.020000,14.601878,5.056504,0.955772,3.083135,4.972799,0.000000,4.928089
0.020000,14.615750,4.995402,1.018429,3.182591,4.972799,-0.000000,4.943217
0.020000,14.631034,4.932589,1.083076,3.282047,4.972799,0.000000,4.958954
0.020000,14.647825,4.868104,1.149711,3.381503,4.972799,0.000000,4.975300
0.020000,14.666220,4.801992,1.218336,3.480959,4.972799,-0.000000,4.992253
0.020000,14.686320,4.734300,1.288950,3.580415,4.972799,0.000000,5.009810
0.020000,14.708225,4.665082,1.361552,3.679871,4.972799,-0.000000,5.027962
0.020000,14.732037,4.594394,1.436144,3.779327,4.972799,-0.000000,5.046697
0.020000,14.757861,4.522300,1.512725,3.878783,4.972799,0.000000,5.066002
0.020000,14.785799,4.448866,1.591296,3.978239,4.972799,0.000000,5.085858
0.020000,14.815953,4.374164,1.671855,4.077695,4.972799,0.000000,5.106241
0.020000,14.848425,4.298272,1.754404,4.177151,4.972799,-0.000000,5.127126
0.020000,14.883313,4.221271,1.838941,4.276607,4.972799,0.000000,5.148480
0.020000,14.920714,4.143247,1.925468,4.376063,4.972799,-0.000000,5.170270
0.020000,14.960720,4.064290,2.013984,4.475519,4.972799,0.000000,5.192454
0.020000,15.003421,3.984494,2.104489,4.574975,4.972799,-0.000000,5.214991
0.020000,15.048899,3.903955,2.196983,4.674431,4.972799,0.000000,5.237832
0.020000,15.096709,3.823631,2.290460,4.673349,-0.054098,-251.344854,5.260684
0.020000,15.145788,3.745260,2.382933,4.573893,-4.972799,-245.935052,5.283025
0.020000,15.195484,3.669647,2.473416,4.474437,-4.972799,0.000000,5.304602
0.020000,15.245643,3.596743,2.561910,4.374981,-4.972799,-0.000000,5.325404
0.020000,15.296119,3.526494,2.648415,4.275525,-4.972799,0.000000,5.345432
0.020000,15.346774,3.458841,2.732931,4.176069,-4.972799,-0.000000,5.364685
0.020000,15.397474,3.393726,2.815458,4.076613,-4.972799,0.000000,5.383173
0.020000,15.448094,3.331087,2.895996,3.977157,-4.972799,-0.000000,5.400903
0.020000,15.498517,3.270860,2.974544,3.877701,-4.972799,0.000000,5.417890
0.020000,15.548633,3.212984,3.051104,3.778245,-4.972799,-0.000000,5.434149
0.020000,15.598336,3.157395,3.125674,3.678789,-4.972799,0.000000,5.449696
