dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.060022,5.991974,0.000995,0.099456,4.972799,248.639953,4.717963
0.020000,13.060027,5.991127,0.001841,0.042332,-2.856191,-391.449485,4.718551
0.020000,13.060063,5.985814,0.007154,0.265631,11.164929,701.055976,4.719532
0.020000,13.060133,5.976873,0.016096,0.447095,9.073232,-104.584837,4.720907
0.020000,13.060241,5.965371,0.027598,0.575102,6.400317,-133.645751,4.722678
0.020000,13.060401,5.951306,0.041664,0.703315,6.410684,0.518350,4.724849
0.020000,13.060630,5.934672,0.058300,0.831774,6.422916,0.611576,4.727423
0.020000,13.060947,5.915465,0.077509,0.960497,6.436143,0.661384,4.730403
0.020000,13.061377,5.893678,0.099300,1.089540,6.452147,0.800180,4.733794
0.020000,13.061945,5.869305,0.123680,1.219009,6.473449,1.065086,4.737602
0.020000,13.062682,5.842338,0.150657,1.348832,6.491195,0.887314,4.741832
0.020000,13.063622,5.812769,0.180241,1.479171,6.516931,1.286807,4.746491
0.020000,13.064802,5.780592,0.212440,1.609955,6.539203,1.113604,4.751585
0.020000,13.066262,5.745797,0.247265,1.741275,6.565998,1.339738,4.757121
0.020000,13.068050,5.708375,0.284730,1.873223,6.597405,1.570368,4.763109
0.020000,13.070212,5.668319,0.324844,2.005735,6.625609,1.410206,4.769556
0.020000,13.072804,5.625619,0.367623,2.138918,6.659148,1.676927,4.776471
0.020000,13.075882,5.580268,0.413078,2.272755,6.691855,1.635351,4.783864
0.020000,13.079510,5.532259,0.461224,2.407332,6.728823,1.848428,4.791744
0.020000,13.083753,5.481584,0.512076,2.542603,6.763545,1.736089,4.800122
0.020000,13.088684,5.428239,0.565649,2.678623,6.801032,1.874340,4.809008
0.020000,13.094379,5.372219,0.621958,2.815439,6.840755,1.986133,4.818413
0.020000,13.100920,5.313522,0.681018,2.952995,6.877846,1.854585,4.828347
0.020000,13.108395,5.252149,0.742844,3.091327,6.916556,1.935454,4.838821
0.020000,13.116894,5.188102,0.807453,3.230434,6.955392,1.941843,4.849846
0.020000,13.126517,5.121387,0.874858,3.370250,6.990768,1.768794,4.861431
0.020000,13.137364,5.052014,0.945074,3.510806,7.027811,1.852152,4.873587
0.020000,13.149546,4.979997,1.018114,3.652003,7.059863,1.602586,4.886323
0.020000,13.163174,4.905355,1.093990,3.793808,7.090226,1.518125,4.899647
0.020000,13.178367,4.828112,1.172713,3.936163,7.117774,1.377416,4.913567
0.020000,13.195247,4.748299,1.254292,4.078923,7.137968,1.009697,4.928089
0.020000,13.213943,4.665954,1.338733,4.222033,7.155534,0.878310,4.943217
0.020000,13.234585,4.581123,1.426039,4.365317,7.164199,0.433276,4.958954
0.020000,13.257307,4.493860,1.516212,4.508647,7.166498,0.114920,4.975300
0.020000,13.282246,4.404228,1.609249,4.651841,7.159713,-0.339233,4.992253
0.020000,13.309542,4.312301,1.705142,4.794689,7.142385,-0.866403,5.009810
0.020000,13.339333,4.218162,1.803882,4.936996,7.115360,-1.351277,5.027962
0.020000,13.371759,4.121908,1.905452,5.078483,7.074349,-2.050511,5.046697
0.020000,13.406957,4.023643,2.009831,5.218932,7.022419,-2.596536,5.066002
0.020000,13.445062,3.923486,2.116991,5.358022,6.954492,-3.396330,5.085858
