dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.939994,6.004174,0.002000,0.200000,10.000000,500.000000,4.715288
0.020000,15.939997,6.002976,0.003199,0.059928,-7.003577,-850.178857,4.714455
0.020000,15.940011,5.992122,0.014052,0.542682,24.137692,1557.063447,4.713064
0.020000,15.940006,5.975302,0.030872,0.841012,14.916487,-461.060253,4.711107
0.020000,15.939951,5.953654,0.052521,1.082414,12.070122,-142.318237,4.708573
0.020000,15.939808,5.927158,0.079016,1.324782,12.118359,2.411856,4.705451
0.020000,15.939532,5.895790,0.110386,1.568489,12.185370,3.350562,4.701722
0.020000,15.939067,5.859524,0.146655,1.813447,12.247894,3.126180,4.697368
0.020000,15.938345,5.818327,0.187858,2.060153,12.335307,4.370643,4.692366
0.020000,15.937290,5.772162,0.234035,2.308841,12.434372,4.953254,4.686688
0.020000,15.935811,5.720991,0.285228,2.559653,12.540647,5.313745,4.680303
0.020000,15.933806,5.664762,0.341492,2.813205,12.677592,6.847245,4.673176
0.020000,15.931158,5.603429,0.402882,3.069505,12.814993,6.870055,4.665265
0.020000,15.927731,5.536931,0.469468,3.329299,12.989668,8.733779,4.656526
0.020000,15.923376,5.465211,0.541321,3.592622,13.166198,8.826470,4.646905
0.020000,15.917918,5.388196,0.618529,3.860395,13.388614,11.120795,4.636344
0.020000,15.911164,5.305820,0.701181,4.132627,13.611589,11.148782,4.624780
0.020000,15.902894,5.218004,0.789386,4.410221,13.879733,13.407203,4.612137
0.020000,15.892857,5.124670,0.883258,4.693644,14.171165,14.571580,4.598336
0.020000,15.880772,5.025732,0.982931,4.983652,14.500374,16.460437,4.583285
0.020000,15.866321,4.921111,1.088546,5.280712,14.852985,17.630568,4.566885
0.020000,15.849141,4.810723,1.200263,5.585868,15.257841,20.242820,4.549024
0.020000,15.828825,4.694490,1.318258,5.899758,15.694459,21.830864,4.529582
0.020000,15.804913,4.572349,1.442718,6.222981,16.161184,23.336263,4.508428
0.020000,15.776885,4.444246,1.573851,6.556660,16.683924,26.136987,4.485417
0.020000,15.744155,4.310160,1.711874,6.901139,17.223981,27.002872,4.460399
0.020000,15.706070,4.170104,1.857016,7.257101,17.798100,28.705924,4.433213
0.020000,15.661900,4.024142,2.009514,7.624926,18.391220,29.656001,4.403697
0.020000,15.610841,3.872416,2.169601,8.004340,18.970723,28.975176,4.371687
0.020000,15.552020,3.715161,2.337497,8.394793,19.522613,27.594473,4.337031
0.020000,15.484498,3.552739,2.513395,8.794922,20.006484,24.193566,4.299595
0.020000,15.407296,3.385666,2.697442,9.202345,20.371127,18.232170,4.259276
0.020000,15.319425,3.214653,2.889710,9.613385,20.552012,9.044223,4.216023
0.020000,15.219927,3.040622,3.090176,10.023303,20.495913,-2.804944,4.169854
0.020000,15.107944,2.864735,3.298686,10.425478,20.108716,-19.359872,4.120875
0.020000,14.982782,2.688391,3.514933,10.812362,19.344229,-38.224306,4.069297
