dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.500000,6.000000,0.002000,0.200000,10.000000,500.000000,4.715288
0.020000,14.500000,6.000000,0.008000,0.400000,10.000000,0.000000,4.714455
0.020000,14.500011,5.991149,0.018000,0.600000,10.000000,-0.000000,4.713064
0.020000,14.500007,5.977148,0.032000,0.800000,10.000000,0.000000,4.711107
0.020000,14.499961,5.959148,0.050000,1.000000,10.000000,-0.000000,4.708573
0.020000,14.499843,5.937149,0.072000,1.200000,10.000000,0.000000,4.705451
0.020000,14.499614,5.911150,0.098000,1.400000,10.000000,0.000000,4.701722
0.020000,14.499229,5.881153,0.128000,1.600000,10.000000,0.000000,4.697368
0.020000,14.498634,5.847158,0.162000,1.800000,10.000000,-0.000000,4.692366
0.020000,14.497765,5.809168,0.200000,2.000000,10.000000,0.000000,4.686688
0.020000,14.496552,5.767186,0.242000,2.200000,10.000000,-0.000000,4.680303
0.020000,14.494913,5.721215,0.288000,2.400000,10.000000,0.000000,4.673176
0.020000,14.492756,5.671262,0.338000,2.600000,10.000000,-0.000000,4.665265
0.020000,14.489978,5.617333,0.392000,2.800000,10.000000,0.000000,4.656526
0.020000,14.486462,5.559441,0.450000,3.000000,10.000000,0.000000,4.646905
0.020000,14.482080,5.497595,0.512000,3.200000,10.000000,0.000000,4.636344
0.020000,14.476687,5.431816,0.578000,3.400000,10.000000,-0.000000,4.624780
0.020000,14.470124,5.362125,0.648000,3.600000,10.000000,0.000000,4.612137
0.020000,14.462213,5.288550,0.722000,3.800000,10.000000,-0.000000,4.598336
0.020000,14.452757,5.211126,0.800000,4.000000,10.000000,0.000000,4.583285
0.020000,14.441537,5.129899,0.882000,4.200000,10.000000,0.000000,4.566885
0.020000,14.428314,5.044923,0.968000,4.400000,10.000000,-0.000000,4.549024
0.020000,14.412820,4.956267,1.058000,4.600000,10.000000,0.000000,4.529582
0.020000,14.394762,4.864021,1.152000,4.800000,10.000000,0.000000,4.508428
0.020000,14.373817,4.768286,1.250000,5.000000,10.000000,0.000000,4.485417
0.020000,14.349633,4.669198,1.352000,5.200000,10.000000,-0.000000,4.460399
0.020000,14.321822,4.566915,1.458000,5.400000,10.000000,0.000000,4.433213
0.020000,14.289966,4.461633,1.568000,5.600000,10.000000,0.000000,4.403697
0.020000,14.253612,4.353590,1.682000,5.800000,10.000000,0.000000,4.371687
0.020000,14.212278,4.243073,1.800000,6.000000,10.000000,-0.000000,4.337031
0.020000,14.165453,4.130424,1.922000,6.200000,10.000000,0.000000,4.299595
0.020000,14.112608,4.016051,2.048000,6.400000,10.000000,0.000000,4.259276
0.020000,14.053205,3.900429,2.178000,6.600000,10.000000,-0.000000,4.216023
0.020000,13.986707,3.784106,2.312000,6.800000,10.000000,0.000000,4.169854
