dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.060007,5.995626,0.000999,0.099930,4.996496,249.824784,4.715426
0.020000,13.060005,5.996225,0.001598,0.029924,-3.500295,-424.839543,4.715011
0.020000,13.060003,5.997223,0.002596,0.049925,1.000026,225.016063,4.714317
0.020000,13.060010,5.991784,0.008036,0.271969,11.102243,505.110871,4.713344
0.020000,13.060013,5.984597,0.015222,0.359330,4.368021,-336.711147,4.712089
0.020000,13.060003,5.975824,0.023996,0.438673,3.967175,-20.042280,4.710549
0.020000,13.059975,5.965466,0.034353,0.517858,3.959229,-0.397276,4.708720
0.020000,13.059918,5.953536,0.046283,0.596511,3.932653,-1.328843,4.706596
0.020000,13.059824,5.940038,0.059782,0.674953,3.922122,-0.526550,4.704173
0.020000,13.059680,5.924982,0.074838,0.752814,3.893007,-1.455732,4.701444
0.020000,13.059473,5.908378,0.091444,0.830284,3.873549,-0.972903,4.698401
0.020000,13.059189,5.890240,0.109584,0.906998,3.835651,-1.894873,4.695038
0.020000,13.058811,5.870579,0.129248,0.983216,3.810921,-1.236517,4.691344
0.020000,13.058323,5.849413,0.150421,1.058612,3.769793,-2.056402,4.687311
0.020000,13.057705,5.826757,0.173085,1.133198,3.729299,-2.024720,4.682926
0.020000,13.056937,5.802628,0.197226,1.207066,3.693394,-1.795216,4.678177
0.020000,13.055996,5.777050,0.222822,1.279781,3.635769,-2.881274,4.673051
0.020000,13.054859,5.750043,0.249852,1.351530,3.587447,-2.416098,4.667534
0.020000,13.053499,5.721633,0.278295,1.422121,3.529538,-2.895425,4.661609
0.020000,13.051891,5.691848,0.308123,1.491412,3.464557,-3.249073,4.655259
0.020000,13.050005,5.660717,0.339311,1.559408,3.399811,-3.237287,4.648466
0.020000,13.047811,5.628274,0.371829,1.625890,3.324109,-3.785131,4.641208
0.020000,13.045275,5.594552,0.405646,1.690843,3.247614,-3.824736,4.633462
0.020000,13.042366,5.559595,0.440724,1.753896,3.152658,-4.747780,4.625207
0.020000,13.039047,5.523442,0.477028,1.815229,3.066649,-4.300471,4.616414
0.020000,13.035281,5.486143,0.514517,1.874459,2.961521,-5.256386,4.607057
0.020000,13.031029,5.447747,0.553148,1.931542,2.854129,-5.369622,4.597104
0.020000,13.026252,5.408310,0.592872,1.986220,2.733920,-6.010442,4.586522
0.020000,13.020908,5.367894,0.633640,2.038386,2.608275,-6.282247,4.575278
0.020000,13.014956,5.326565,0.675397,2.087820,2.471741,-6.826710,4.563333
0.020000,13.008350,5.284391,0.718085,2.134397,2.328821,-7.146000,4.550646
0.020000,13.001048,5.241450,0.761642,2.177864,2.173348,-7.773637,4.537175
0.020000,12.993006,5.197824,0.806003,2.218049,2.009258,-8.204513,4.522874
0.020000,12.984177,5.153603,0.851097,2.254701,1.832607,-8.832543,4.507694
0.020000,12.974519,5.108880,0.896851,2.287690,1.649424,-9.159154,4.491585
0.020000,12.963988,5.063755,0.943188,2.316876,1.459336,-9.504365,4.474493
0.020000,12.952540,5.018335,0.990029,2.342034,1.257883,-10.072670,4.456363
0.020000,12.940137,4.972730,1.037290,2.363068,1.051693,-10.309503,4.437138
0.020000,12.926737,4.927055,1.084890,2.380013,0.847244,-10.222433,4.416759
0.020000,12.912306,4.881428,1.132745,2.392743,0.636507,-10.536871,4.395170
0.020000,12.896809,4.835969,1.180773,2.401376,0.431681,-10.241288,4.372313
0.020000,12.880215,4.790796,1.228897,2.406199,0.241141,-9.526983,4.348134
0.020000,12.862494,4.746028,1.277045,2.407416,0.060830,-9.015569,4.322585
0.020000,12.843618,4.701772,1.325158,2.405648,-0.088411,-7.462064,4.295624
0.020000,12.823558,4.658131,1.373189,2.401529,-0.205942,-5.876527,4.267217
0.020000,12.802285,4.615192,1.421108,2.395985,-0.277170,-3.561421,4.237346
0.020000,12.779763,4.573026,1.468913,2.390235,-0.287500,-0.516492,4.206007
0.020000,12.755945,4.531683,1.516626,2.385625,-0.230505,2.849765,4.173216
0.020000,12.730775,4.491191,1.564304,2.383896,-0.086453,7.202571,4.139013
0.020000,12.704174,4.451551,1.612042,2.386914,0.150908,11.868077,4.103465
0.020000,12.676040,4.412740,1.659977,2.396772,0.492863,17.097712,4.066666
0.020000,12.646242,4.374711,1.708290,2.415651,0.943988,22.556267,4.028741
0.020000,12.614616,4.337396,1.757204,2.445706,1.502723,27.936736,3.989846
0.020000,12.580962,4.300716,1.806984,2.488986,2.164023,33.065025,3.950164
0.020000,12.545046,4.264584,1.857929,2.547245,2.912942,37.445926,3.909903
0.020000,12.506605,4.228921,1.910366,2.621839,3.729697,40.837751,3.869291
0.020000,12.465348,4.193660,1.964638,2.713620,4.589063,42.968294,3.828565
0.020000,12.420974,4.158755,2.021095,2.822846,5.461281,43.610912,3.787969
0.020000,12.373177,4.124193,2.080079,2.949171,6.316245,42.748199,3.747740
0.020000,12.321664,4.089992,2.141912,3.091679,7.125427,40.459127,3.708102
0.020000,12.266161,4.056203,2.206891,3.248958,7.863924,36.924859,3.669260
0.020000,12.206429,4.022910,2.275275,3.419194,8.511785,32.393049,3.631395
0.020000,12.142267,3.990223,2.347283,3.600378,9.059212,27.371338,3.594658
0.020000,12.073523,3.958273,2.423089,3.790312,9.496710,21.874887,3.559172
0.020000,12.000087,3.927203,2.502827,3.986882,9.828513,16.590150,3.525027
0.020000,11.921899,3.897163,2.586588,4.188049,10.058321,11.490425,3.492289
0.020000,11.838937,3.868300,2.674427,4.391960,10.195559,6.861893,3.460994
0.020000,11.751220,3.840757,2.766367,4.596999,10.251945,2.819285,3.431159
0.020000,11.658796,3.814664,2.862402,4.801784,10.239270,-0.633745,3.402781
0.020000,11.561743,3.790140,2.962507,5.005213,10.171452,-3.390925,3.375840
0.020000,11.460153,3.767286,3.066635,5.206420,10.060337,-5.555714,3.350305
0.020000,11.354138,3.746188,3.174730,5.404734,9.915721,-7.230809,3.326137
0.020000,11.243815,3.726915,3.286723,5.599684,9.747468,-8.412654,3.303288
0.020000,11.129310,3.709522,3.402542,5.790912,9.561410,-9.302890,3.281707
0.020000,11.010749,3.694049,3.522108,5.978323,9.370571,-9.541959,3.261341
0.020000,10.888258,3.680519,3.645344,6.161804,9.174014,-9.827830,3.242135
0.020000,10.761960,3.668949,3.772171,6.341350,8.977311,-9.835161,3.224035
0.020000,10.631974,3.659339,3.902512,6.517021,8.783531,-9.689032,3.206987
0.020000,10.498413,3.651683,4.036292,6.689000,8.598990,-9.227032,3.190940
0.020000,10.361384,3.645967,4.173440,6.857407,8.420331,-8.932969,3.175843
0.020000,10.220988,3.642168,4.313887,7.022363,8.247810,-8.626037,3.161650
0.020000,10.077318,3.640258,4.457570,7.184166,8.090145,-7.883245,3.148315
0.020000,9.930114,3.640000,4.604774,7.360195,8.801441,35.564809,3.141593
0.020000,9.763231,3.640000,4.771657,8.344148,49.197646,2019.810262,3.141593
0.020000,9.594350,3.640000,4.940539,8.444078,4.996496,-2210.057533,3.141593
0.020000,9.423469,3.640000,5.111419,8.544008,4.996496,0.000000,3.141593
0.020000,9.252399,3.640000,5.282489,8.553500,0.474607,-226.094430,3.141593
0.020000,9.083138,3.640000,5.451750,8.463062,-4.521889,-249.824784,3.141593
0.020000,8.915876,3.640000,5.619013,8.363132,-4.996496,-23.730354,3.141593
0.020000,8.750611,3.640000,5.784277,8.263202,-4.996496,0.000000,3.141593
0.020000,8.587346,3.640000,5.947542,8.163272,-4.996496,-0.000000,3.141593
0.020000,8.426079,3.640000,6.108809,8.063342,-4.996496,0.000000,3.141593
0.020000,8.266811,3.640000,6.268077,7.963412,-4.996496,-0.000000,3.141593
0.020000,8.109541,3.640000,6.425347,7.863483,-4.996496,0.000000,3.141593
0.020000,7.954270,3.640000,6.580618,7.763553,-4.996496,0.000000,3.141593
0.020000,7.800998,3.640000,6.733891,7.663623,-4.996496,0.000000,3.141593
0.020000,7.649724,3.640000,6.885164,7.563693,-4.996496,0.000000,3.141593
