dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.191965,0.863209,0.000989,0.098858,4.942877,247.143827,2.528639
0.020000,16.191749,0.863362,0.001253,0.013236,-4.281064,-461.197034,2.528455
0.020000,16.188262,0.865816,0.005518,0.213214,9.998880,713.997229,2.528148
0.020000,16.182095,0.870160,0.013060,0.377129,8.195764,-90.155805,2.527715
0.020000,16.174166,0.875751,0.022763,0.485137,5.400379,-139.769281,2.527156
0.020000,16.164472,0.882596,0.034630,0.593332,5.409772,0.469684,2.526467
0.020000,16.153013,0.890700,0.048665,0.701771,5.421926,0.607676,2.525645
0.020000,16.139786,0.900071,0.064875,0.810478,5.435358,0.671615,2.524686
0.020000,16.124792,0.910718,0.083265,0.919511,5.451673,0.815739,2.523585
0.020000,16.108027,0.922652,0.103843,1.028919,5.470368,0.934765,2.522338
0.020000,16.089491,0.935884,0.126618,1.138737,5.490894,1.026286,2.520939
0.020000,16.069180,0.950427,0.151598,1.249016,5.513988,1.154716,2.519382
0.020000,16.047095,0.966297,0.178794,1.359812,5.539776,1.289382,2.517658
0.020000,16.023231,0.983510,0.208218,1.471172,5.568020,1.412205,2.515761
0.020000,15.997589,1.002084,0.239881,1.583134,5.598075,1.502762,2.513682
0.020000,15.970165,1.022038,0.273796,1.695770,5.631816,1.687020,2.511411
0.020000,15.940959,1.043396,0.309979,1.809130,5.667987,1.808585,2.508939
0.020000,15.909968,1.066182,0.348444,1.923257,5.706350,1.918111,2.506255
0.020000,15.877193,1.090421,0.389208,2.038226,5.748439,2.104468,2.503347
0.020000,15.842633,1.116143,0.432290,2.154092,5.793327,2.244408,2.500203
0.020000,15.806286,1.143378,0.477708,2.270922,5.841471,2.407195,2.496810
0.020000,15.768155,1.172162,0.525484,2.388776,5.892701,2.561490,2.493152
0.020000,15.728240,1.202531,0.575639,2.507737,5.948082,2.769046,2.489216
0.020000,15.686543,1.234525,0.628196,2.627862,6.006254,2.908597,2.484983
0.020000,15.643067,1.268189,0.683181,2.749244,6.069088,3.141702,2.480438
0.020000,15.597817,1.303568,0.740620,2.871946,6.135123,3.301742,2.475562
0.020000,15.550799,1.340714,0.800541,2.996073,6.206315,3.559612,2.470335
0.020000,15.502019,1.379682,0.862975,3.121689,6.280804,3.724464,2.464736
0.020000,15.451487,1.420531,0.927953,3.248900,6.360557,3.987653,2.458744
0.020000,15.399215,1.463327,0.995509,3.377806,6.445321,4.238213,2.452334
0.020000,15.345216,1.508137,1.065679,3.508492,6.534272,4.447546,2.445482
0.020000,15.289508,1.555036,1.138501,3.641080,6.629399,4.756350,2.438161
0.020000,15.232110,1.604104,1.214014,3.775657,6.728848,4.972415,2.430345
0.020000,15.173046,1.655428,1.292261,3.912342,6.834251,5.270153,2.422003
0.020000,15.112346,1.709099,1.373286,4.051251,6.945474,5.561183,2.413104
0.020000,15.050043,1.765216,1.457135,4.192494,7.062121,5.832346,2.403617
0.020000,14.986177,1.823884,1.543859,4.336169,7.183739,6.080874,2.393508
0.020000,14.920793,1.885217,1.633507,4.482398,7.311483,6.387230,2.382740
0.020000,14.853946,1.949334,1.726132,4.631282,7.444186,6.635143,2.371278
0.020000,14.785698,2.016362,1.821791,4.782911,7.581454,6.863410,2.359083
0.020000,14.716123,2.086436,1.920538,4.937371,7.722976,7.076094,2.346115
