dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.020377,2.041061,0.001988,0.198802,9.940121,497.006052,2.528577
0.020000,17.018025,2.042716,0.007952,0.397605,9.940121,0.000000,2.528206
0.020000,17.009899,2.048441,0.017892,0.596407,9.940121,-0.000000,2.527585
0.020000,16.998528,2.056464,0.031808,0.795210,9.940121,0.000000,2.526707
0.020000,16.983919,2.066793,0.049701,0.994012,9.940121,-0.000000,2.525563
0.020000,16.966079,2.079441,0.071569,1.192815,9.940121,0.000000,2.524144
0.020000,16.945020,2.094422,0.097413,1.391617,9.940121,0.000000,2.522435
0.020000,16.920752,2.111753,0.127234,1.590419,9.940121,-0.000000,2.520421
0.020000,16.893292,2.131454,0.161030,1.789222,9.940121,0.000000,2.518082
0.020000,16.862657,2.153550,0.198802,1.988024,9.940121,0.000000,2.515398
0.020000,16.828867,2.178068,0.240551,2.186827,9.940121,0.000000,2.512345
0.020000,16.791946,2.205042,0.286275,2.385629,9.940121,0.000000,2.508895
0.020000,16.751922,2.234509,0.335976,2.584431,9.940121,0.000000,2.505018
0.020000,16.708828,2.266509,0.389653,2.783234,9.940121,0.000000,2.500680
0.020000,16.662699,2.301092,0.447305,2.982036,9.940121,-0.000000,2.495844
0.020000,16.613579,2.338311,0.508934,3.180839,9.940121,0.000000,2.490469
0.020000,16.561515,2.378227,0.574539,3.379641,9.940121,0.000000,2.484509
0.020000,16.506562,2.420908,0.644120,3.578444,9.940121,-0.000000,2.477917
0.020000,16.448782,2.466429,0.717677,3.777246,9.940121,0.000000,2.470638
0.020000,16.388249,2.514875,0.795210,3.976048,9.940121,0.000000,2.462614
0.020000,16.325043,2.566340,0.876719,4.174851,9.940121,0.000000,2.453781
0.020000,16.259256,2.620928,0.962204,4.373653,9.940121,0.000000,2.444070
0.020000,16.190995,2.678752,1.051665,4.572456,9.940121,0.000000,2.433405
0.020000,16.120380,2.739939,1.145102,4.771258,9.940121,0.000000,2.421707
0.020000,16.047547,2.804627,1.242515,4.970061,9.940121,0.000000,2.408887
0.020000,15.972652,2.872967,1.343904,5.168863,9.940121,0.000000,2.394853
0.020000,15.895871,2.945122,1.449270,5.367665,9.940121,0.000000,2.379505
0.020000,15.817405,3.021269,1.558611,5.566468,9.940121,-0.000000,2.362738
0.020000,15.737481,3.101597,1.671928,5.765270,9.940121,0.000000,2.344440
0.020000,15.656358,3.186310,1.789222,5.964073,9.940121,-0.000000,2.324498
0.020000,15.574326,3.275621,1.910491,6.162875,9.940121,0.000000,2.302796
0.020000,15.491713,3.369754,2.035737,6.361677,9.940121,0.000000,2.279217
0.020000,15.408891,3.468939,2.164958,6.560480,9.940121,0.000000,2.253651
0.020000,15.326270,3.573410,2.298156,6.759282,9.940121,0.000000,2.225994
0.020000,15.244310,3.683400,2.435330,6.958085,9.940121,0.000000,2.196160
0.020000,15.165419,3.796317,2.573082,6.817119,-7.048300,-849.421035,2.164872
0.020000,15.091983,3.908819,2.707436,6.618316,-9.940121,-144.591070,2.133146
0.020000,15.024227,4.020202,2.837814,6.419514,-9.940121,0.000000,2.101304
0.020000,14.962006,4.130224,2.964217,6.220711,-9.940121,0.000000,2.069540
0.020000,14.905143,4.238638,3.086643,6.021909,-9.940121,0.000000,2.038041
0.020000,14.853436,4.345201,3.205093,5.823107,-9.940121,0.000000,2.006988
0.020000,14.806655,4.449675,3.319567,5.624304,-9.940121,-0.000000,1.976545
0.020000,14.764552,4.551832,3.430065,5.425502,-9.940121,0.000000,1.946862
0.020000,14.726861,4.651459,3.536587,5.226699,-9.940121,0.000000,1.918067
0.020000,14.693305,4.748357,3.639133,5.027897,-9.940121,0.000000,1.890270
0.020000,14.663602,4.842341,3.737703,4.829095,-9.940121,0.000000,1.863559
0.020000,14.637463,4.933249,3.832297,4.630292,-9.940121,-0.000000,1.838003
0.020000,14.614604,5.020934,3.922915,4.431490,-9.940121,0.000000,1.813652
0.020000,14.594744,5.105267,4.009556,4.232687,-9.940121,0.000000,1.790540
0.020000,14.577609,5.186136,4.092222,4.033885,-9.940121,0.000000,1.768684
0.020000,14.562936,5.263444,4.170912,3.835082,-9.940121,0.000000,1.748090
0.020000,14.550472,5.337109,4.245625,3.636280,-9.940121,-0.000000,1.728755
0.020000,14.539978,5.407063,4.316363,3.437478,-9.940121,0.000000,1.710665
0.020000,14.531230,5.473248,4.383125,3.238675,-9.940121,-0.000000,1.693801
0.020000,14.524016,5.535617,4.445910,3.039873,-9.940121,0.000000,1.678139
0.020000,14.518140,5.594132,4.504720,2.841070,-9.940121,0.000000,1.663652
0.020000,14.513420,5.648761,4.559553,2.642268,-9.940121,-0.000000,1.650310
0.020000,14.509691,5.699481,4.610410,2.443465,-9.940121,0.000000,1.638084
0.020000,14.506800,5.746273,4.657292,2.244663,-9.940121,0.000000,1.626944
0.020000,14.504609,5.789122,4.700197,2.045861,-9.940121,-0.000000,1.616860
0.020000,14.502993,5.828018,4.739126,1.847058,-9.940121,0.000000,1.607805
0.020000,14.501840,5.862952,4.774079,1.648256,-9.940121,-0.000000,1.599751
0.020000,14.501053,5.893919,4.805056,1.449453,-9.940121,0.000000,1.592676
0.020000,14.500545,5.920915,4.832057,1.250651,-9.940121,-0.000000,1.586556
0.020000,14.500242,5.943938,4.855082,1.051849,-9.940121,0.000000,1.581373
0.020000,14.500081,5.962986,4.874131,0.853046,-9.940121,0.000000,1.577109
0.020000,14.500011,5.978059,4.889204,0.654244,-9.940121,0.000000,1.573752
0.020000,14.499992,5.989156,4.900301,0.455441,-9.940121,0.000000,1.571289
0.020000,14.499994,5.996276,4.907422,0.256639,-9.940121,-0.000000,1.569713
0.020000,14.499999,5.999421,4.910566,0.057836,-9.940121,0.000000,1.569017
0.020000,14.500000,6.000000,4.911145,0.000000,-2.891821,352.414982,1.568890
0.020000,14.500000,6.000000,4.911145,0.000000,0.000000,144.591070,1.568890
