dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.848789,3.218912,0.000989,0.098858,4.942877,247.143827,2.528639
0.020000,17.849006,3.218760,0.001253,0.013236,-4.281064,-461.197034,2.528455
0.020000,17.846243,3.220705,0.004632,0.168954,7.785906,603.348521,2.528148
0.020000,17.841094,3.224331,0.010930,0.314871,7.295825,-24.504077,2.527715
0.020000,17.834481,3.228994,0.019021,0.404581,4.485527,-140.514867,2.527156
0.020000,17.826409,3.234694,0.028903,0.494097,4.475799,-0.486424,2.526467
0.020000,17.816883,3.241431,0.040571,0.583385,4.464386,-0.570649,2.525645
0.020000,17.805910,3.249205,0.054019,0.672385,4.450006,-0.719006,2.524686
0.020000,17.793499,3.258018,0.069240,0.761064,4.433932,-0.803686,2.523585
0.020000,17.779660,3.267869,0.086228,0.849377,4.415674,-0.912929,2.522338
0.020000,17.764403,3.278760,0.104973,0.937271,4.394694,-1.048988,2.520939
0.020000,17.747740,3.290692,0.125467,1.024701,4.371509,-1.159227,2.519382
0.020000,17.729685,3.303665,0.147700,1.111624,4.346112,-1.269843,2.517658
0.020000,17.710253,3.317681,0.171659,1.197987,4.318186,-1.396304,2.515761
0.020000,17.689460,3.332742,0.197334,1.283729,4.287075,-1.555572,2.513682
0.020000,17.667324,3.348850,0.224710,1.368812,4.254152,-1.646128,2.511411
0.020000,17.643864,3.366005,0.253774,1.453177,4.218230,-1.796110,2.508939
0.020000,17.619102,3.384212,0.284509,1.536755,4.178941,-1.964437,2.506255
0.020000,17.593060,3.403471,0.316899,1.619502,4.137321,-2.081032,2.503347
0.020000,17.565763,3.423787,0.350926,1.701350,4.092405,-2.245791,2.500203
0.020000,17.537238,3.445162,0.386570,1.782236,4.044325,-2.403993,2.496810
0.020000,17.507514,3.467599,0.423812,1.862090,3.992697,-2.581393,2.493152
0.020000,17.476622,3.491103,0.462629,1.940852,3.938081,-2.730787,2.489216
0.020000,17.444595,3.515677,0.502998,2.018435,3.879132,-2.947461,2.484983
0.020000,17.411469,3.541327,0.544894,2.094774,3.816993,-3.106967,2.480438
0.020000,17.377282,3.568056,0.588289,2.169779,3.750221,-3.338606,2.475562
0.020000,17.342076,3.595870,0.633157,2.243378,3.679971,-3.512485,2.470335
0.020000,17.305894,3.624773,0.679466,2.315468,3.604499,-3.773626,2.464736
0.020000,17.268783,3.654773,0.727185,2.385967,3.524936,-3.978110,2.458744
0.020000,17.230795,3.685874,0.776281,2.454782,3.440736,-4.210024,2.452334
0.020000,17.191982,3.718081,0.826717,2.521801,3.350967,-4.488451,2.445482
0.020000,17.152402,3.751402,0.878456,2.586936,3.256756,-4.710562,2.438161
0.020000,17.112115,3.785842,0.931457,2.650066,3.156488,-5.013388,2.430345
0.020000,17.071186,3.821407,0.985679,2.711088,3.051105,-5.269166,2.422003
0.020000,17.029684,3.858102,1.041077,2.769895,2.940336,-5.538420,2.413104
0.020000,16.987682,3.895933,1.097604,2.826372,2.823843,-5.824651,2.403617
0.020000,16.945257,3.934904,1.155212,2.880400,2.701401,-6.122114,2.393508
0.020000,16.902490,3.975021,1.213850,2.931880,2.574020,-6.369055,2.382740
0.020000,16.859466,4.016286,1.273464,2.980707,2.441355,-6.633221,2.371278
0.020000,16.816276,4.058703,1.334000,3.026784,2.303868,-6.874349,2.359083
0.020000,16.773013,4.102273,1.395400,3.070032,2.162392,-7.073808,2.346115
0.020000,16.729776,4.146998,1.457608,3.110386,2.017690,-7.235104,2.332335
0.020000,16.686666,4.192878,1.520564,3.147800,1.870703,-7.349367,2.317701
0.020000,16.643788,4.239913,1.584209,3.182275,1.723753,-7.347481,2.302173
0.020000,16.601250,4.288100,1.648486,3.213830,1.577732,-7.301070,2.285711
0.020000,16.559162,4.337438,1.713337,3.242540,1.435501,-7.111543,2.268274
0.020000,16.517635,4.387924,1.778708,3.268544,1.300192,-6.765440,2.249826
0.020000,16.476782,4.439558,1.844549,3.292051,1.175373,-6.240929,2.230331
0.020000,16.436714,4.492339,1.910816,3.313344,1.064662,-5.535595,2.209759
0.020000,16.398051,4.545549,1.976589,3.288655,-1.234470,-114.956555,2.188378
0.020000,16.361572,4.598101,2.040561,3.198594,-4.503048,-163.428909,2.166653
0.020000,16.327445,4.649626,2.102363,3.090114,-5.423997,-46.047481,2.144794
0.020000,16.295563,4.700131,2.162089,2.986313,-5.190071,11.696325,2.122867
0.020000,16.265817,4.749624,2.219833,2.887204,-4.955448,11.731126,2.100936
0.020000,16.238099,4.798116,2.275688,2.792744,-4.722961,11.624351,2.079066
0.020000,16.212305,4.845622,2.329745,2.702831,-4.495693,11.363423,2.057321
0.020000,16.188328,4.892154,2.382091,2.617312,-4.275916,10.988856,2.035760
0.020000,16.166069,4.937728,2.432811,2.535980,-4.066597,10.465914,2.014443
0.020000,16.145430,4.982359,2.481982,2.458592,-3.869425,9.858614,1.993424
0.020000,16.126316,5.026059,2.529680,2.384859,-3.686656,9.138475,1.972754
0.020000,16.108638,5.068840,2.575969,2.314479,-3.518982,8.383668,1.952480
0.020000,16.092312,5.110712,2.620911,2.247109,-3.368509,7.523645,1.932643
