dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.500000,2.200000,0.001000,0.100000,5.000000,250.000000,0.000000
0.020000,0.500000,2.200000,0.004000,0.200000,5.000000,0.000000,0.000000
0.020000,0.500000,2.200000,0.009000,0.300000,5.000000,-0.000000,0.000000
0.020000,0.505331,2.200000,0.016000,0.400000,5.000000,0.000000,0.000000
0.020000,0.514331,2.200000,0.025000,0.500000,5.000000,-0.000000,0.000000
0.020000,0.525331,2.200000,0.036000,0.600000,5.000000,0.000000,0.000000
0.020000,0.538331,2.200000,0.049000,0.700000,5.000000,0.000000,0.000000
0.020000,0.553331,2.200000,0.064000,0.800000,5.000000,0.000000,0.000000
0.020000,0.570331,2.200000,0.081000,0.900000,5.000000,-0.000000,0.000000
0.020000,0.589331,2.200000,0.100000,1.000000,5.000000,0.000000,0.000000
0.020000,0.610331,2.200000,0.121000,1.100000,5.000000,-0.000000,0.000000
0.020000,0.633331,2.200000,0.144000,1.200000,5.000000,0.000000,0.000000
0.020000,0.658331,2.200000,0.169000,1.300000,5.000000,-0.000000,0.000000
0.020000,0.685331,2.200000,0.196000,1.400000,5.000000,0.000000,0.000000
0.020000,0.714331,2.200000,0.225000,1.500000,5.000000,0.000000,0.000000
0.020000,0.745331,2.200000,0.256000,1.600000,5.000000,0.000000,0.000000
0.020000,0.778331,2.200000,0.289000,1.700000,5.000000,-0.000000,0.000000
0.020000,0.813331,2.200000,0.324000,1.800000,5.000000,0.000000,0.000000
0.020000,0.850331,2.200000,0.361000,1.900000,5.000000,-0.000000,0.000000
0.020000,0.889331,2.200000,0.400000,2.000000,5.000000,0.000000,0.000000
0.020000,0.930331,2.200000,0.441000,2.100000,5.000000,0.000000,0.000000
0.020000,0.973331,2.200000,0.484000,2.200000,5.000000,-0.000000,0.000000
0.020000,1.018331,2.200000,0.529000,2.300000,5.000000,0.000000,0.000000
0.020000,1.065331,2.200000,0.576000,2.400000,5.000000,0.000000,0.000000
0.020000,1.114331,2.200000,0.625000,2.500000,5.000000,0.000000,0.000000
0.020000,1.165331,2.200000,0.676000,2.600000,5.000000,-0.000000,0.000000
0.020000,1.218331,2.200000,0.729000,2.700000,5.000000,0.000000,0.000000
0.020000,1.273331,2.200000,0.784000,2.800000,5.000000,0.000000,0.000000
0.020000,1.330331,2.200000,0.841000,2.900000,5.000000,0.000000,0.000000
0.020000,1.389331,2.200000,0.900000,3.000000,5.000000,-0.000000,0.000000
0.020000,1.450331,2.200000,0.961000,3.100000,5.000000,0.000000,0.000000
0.020000,1.513331,2.200000,1.024000,3.200000,5.000000,0.000000,0.000000
0.020000,1.578331,2.200000,1.089000,3.300000,5.000000,-0.000000,0.000000
0.020000,1.645331,2.200000,1.156000,3.400000,5.000000,0.000000,0.000000
0.020000,1.714331,2.200000,1.225000,3.500000,5.000000,0.000000,0.000000
0.020000,1.785331,2.200000,1.296000,3.600000,5.000000,0.000000,0.000000
0.020000,1.858331,2.200000,1.369000,3.700000,5.000000,-0.000000,0.000000
0.020000,1.933331,2.200000,1.444000,3.800000,5.000000,0.000000,0.000000
0.020000,2.010331,2.200000,1.521000,3.900000,5.000000,0.000000,0.000000
0.020000,2.089331,2.200000,1.600000,4.000000,5.000000,-0.000000,0.000000
