dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.491254,3.639973,0.001000,0.100000,5.000000,250.000000,0.006074
0.020000,0.491267,3.639974,0.001013,0.000648,-4.967619,-498.380954,0.006065
0.020000,0.491288,3.639974,0.001035,0.001078,0.021536,249.457779,0.006050
0.020000,0.498212,3.640015,0.007959,0.346214,17.256782,861.762296,0.006029
0.020000,0.507251,3.640070,0.016997,0.451935,5.286032,-598.537538,0.006002
0.020000,0.518298,3.640136,0.028045,0.552359,5.021216,-13.240760,0.005969
0.020000,0.531353,3.640214,0.041100,0.652780,5.021049,-0.008349,0.005931
0.020000,0.546417,3.640303,0.056164,0.753197,5.020851,-0.009943,0.005886
0.020000,0.563489,3.640403,0.073236,0.853609,5.020623,-0.011385,0.005836
0.020000,0.582569,3.640514,0.092317,0.954017,5.020364,-0.012971,0.005780
0.020000,0.603657,3.640635,0.113405,1.054418,5.020075,-0.014448,0.005719
0.020000,0.626753,3.640766,0.136501,1.154813,5.019754,-0.016021,0.005652
0.020000,0.651856,3.640907,0.161605,1.255201,5.019404,-0.017496,0.005580
0.020000,0.678968,3.641057,0.188717,1.355582,5.019023,-0.019053,0.005502
0.020000,0.708086,3.641216,0.217836,1.455954,5.018612,-0.020561,0.005420
0.020000,0.739212,3.641384,0.248962,1.556317,5.018170,-0.022088,0.005332
0.020000,0.772345,3.641559,0.282096,1.656671,5.017698,-0.023598,0.005239
0.020000,0.807485,3.641741,0.317236,1.757015,5.017195,-0.025145,0.005142
0.020000,0.844631,3.641930,0.354383,1.857349,5.016662,-0.026658,0.005040
0.020000,0.883784,3.642126,0.393537,1.957671,5.016098,-0.028184,0.004933
0.020000,0.924943,3.642326,0.434696,2.057981,5.015505,-0.029685,0.004822
0.020000,0.968109,3.642532,0.477862,2.158278,5.014880,-0.031252,0.004707
0.020000,1.013279,3.642742,0.523033,2.258563,5.014225,-0.032738,0.004589
0.020000,1.060456,3.642955,0.570210,2.358834,5.013539,-0.034273,0.004466
0.020000,1.109637,3.643172,0.619391,2.459090,5.012823,-0.035806,0.004340
0.020000,1.160823,3.643391,0.670578,2.559332,5.012077,-0.037323,0.004210
0.020000,1.214014,3.643611,0.723769,2.659558,5.011300,-0.038845,0.004077
0.020000,1.269209,3.643832,0.778965,2.759767,5.010493,-0.040364,0.003942
0.020000,1.326407,3.644054,0.836164,2.859960,5.009655,-0.041896,0.003803
0.020000,1.385610,3.644275,0.895367,2.960136,5.008786,-0.043424,0.003662
0.020000,1.446815,3.644495,0.956572,3.060294,5.007888,-0.044932,0.003519
0.020000,1.510023,3.644713,1.019781,3.160433,5.006958,-0.046470,0.003375
0.020000,1.575234,3.644928,1.084992,3.260553,5.005999,-0.047986,0.003228
0.020000,1.642447,3.645140,1.152205,3.360653,5.005008,-0.049514,0.003080
0.020000,1.711661,3.645348,1.221420,3.460733,5.003988,-0.051029,0.002931
0.020000,1.782877,3.645551,1.292636,3.560792,5.002936,-0.052565,0.002781
0.020000,1.856093,3.645749,1.365852,3.660829,5.001855,-0.054080,0.002631
0.020000,1.931310,3.645942,1.441069,3.760844,5.000743,-0.055606,0.002480
0.020000,2.008526,3.646127,1.518286,3.860836,4.999600,-0.057130,0.002330
0.020000,2.087742,3.646306,1.597502,3.960804,4.998427,-0.058652,0.002180
0.020000,2.168957,3.646477,1.678717,4.060749,4.997223,-0.060177,0.002030
0.020000,2.252170,3.646639,1.761930,4.160668,4.995990,-0.061699,0.001882
0.020000,2.337381,3.646793,1.847142,4.260563,4.994725,-0.063222,0.001735
0.020000,2.424590,3.646938,1.934350,4.360432,4.993430,-0.064748,0.001590
0.020000,2.513795,3.647074,2.023556,4.460274,4.992105,-0.066267,0.001448
0.020000,2.604997,3.647200,2.114757,4.560089,4.990749,-0.067793,0.001308
0.020000,2.698194,3.647315,2.207955,4.659876,4.989363,-0.069316,0.001171
0.020000,2.793387,3.647420,2.303148,4.759635,4.987946,-0.070837,0.001037
0.020000,2.890574,3.647514,2.400335,4.859365,4.986498,-0.072367,0.000907
0.020000,2.989755,3.647598,2.499516,4.959065,4.985021,-0.073880,0.000781
0.020000,3.090930,3.647671,2.600691,5.058735,4.983513,-0.075409,0.000659
0.020000,3.194098,3.647733,2.703858,5.158375,4.981974,-0.076930,0.000543
0.020000,3.299257,3.647784,2.809018,5.257983,4.980405,-0.078459,0.000432
0.020000,3.406408,3.647825,2.916169,5.357559,4.978806,-0.079971,0.000327
0.020000,3.515550,3.647855,3.025311,5.457103,4.977175,-0.081503,0.000229
0.020000,3.626683,3.647875,3.136444,5.556613,4.975515,-0.083023,0.000137
0.020000,3.739804,3.647886,3.249565,5.656089,4.973824,-0.084544,0.000052
0.020000,3.854915,3.647887,3.364676,5.755532,4.972103,-0.086072,6.283161
0.020000,3.972014,3.647880,3.481775,5.854939,4.970351,-0.087590,6.283092
0.020000,4.091100,3.647865,3.600861,5.954310,4.968569,-0.089117,6.283032
0.020000,4.212173,3.647844,3.721934,6.053645,4.966756,-0.090639,6.282982
0.020000,4.335232,3.647816,3.844993,6.152943,4.964912,-0.092163,6.282941
0.020000,4.460276,3.647783,3.970037,6.252204,4.963039,-0.093687,6.282910
0.020000,4.587304,3.647747,4.097065,6.351427,4.961135,-0.095210,6.282890
0.020000,4.716317,3.647708,4.226078,6.450611,4.959200,-0.096734,6.282882
0.020000,4.847312,3.647669,4.357073,6.549755,4.957235,-0.098258,6.282885
0.020000,4.980289,3.647630,4.490050,6.648860,4.955239,-0.099783,6.282901
0.020000,5.115247,3.647593,4.625008,6.747924,4.953213,-0.101305,6.282930
0.020000,5.252186,3.647561,4.761947,6.846948,4.951156,-0.102832,6.282972
0.020000,5.391105,3.647535,4.900866,6.945929,4.949069,-0.104354,6.283029
0.020000,5.532002,3.647518,5.041763,7.044868,4.946952,-0.105878,6.283100
0.020000,5.674878,3.647512,5.184639,7.143764,4.944804,-0.107405,0.000001
0.020000,5.819730,3.647519,5.329491,7.242617,4.942625,-0.108927,0.000104
0.020000,5.966558,3.647543,5.476319,7.341425,4.940416,-0.110451,0.000223
0.020000,6.115362,3.647586,5.625123,7.440188,4.938176,-0.111978,0.000359
0.020000,6.266140,3.647651,5.775901,7.538907,4.935906,-0.113499,0.000513
0.020000,6.418892,3.647743,5.928653,7.637579,4.933606,-0.115025,0.000686
0.020000,6.573616,3.647864,6.083377,7.736204,4.931275,-0.116544,0.000877
0.020000,6.730311,3.648017,6.240073,7.834782,4.928914,-0.118070,0.001089
0.020000,6.888978,3.648208,6.398739,7.933313,4.926522,-0.119594,0.001321
0.020000,7.049613,3.648441,6.559375,8.031795,4.924100,-0.121110,0.001573
0.020000,7.212218,3.648718,6.721979,8.130228,4.921647,-0.122635,0.001848
0.020000,7.376790,3.649047,6.886552,8.228611,4.919164,-0.124151,0.002145
0.020000,7.543328,3.649430,7.053090,8.326944,4.916650,-0.125670,0.002465
0.020000,7.711832,3.649875,7.221595,8.425226,4.914107,-0.127187,0.002809
0.020000,7.882300,3.650385,7.392064,8.523457,4.911533,-0.128698,0.003178
0.020000,8.054732,3.650966,7.564497,8.621635,4.908928,-0.130214,0.003572
0.020000,8.229126,3.651625,7.738892,8.719761,4.906294,-0.131722,0.003992
0.020000,8.405481,3.652369,7.915249,8.817834,4.903630,-0.133220,0.004439
0.020000,8.583796,3.653202,8.093566,8.915853,4.900935,-0.134745,0.004913
0.020000,8.762591,3.654125,8.272363,8.939877,1.201222,-184.985634,0.005411
0.020000,8.939875,3.655129,8.449650,8.864315,-3.778128,-248.967507,0.005928
0.020000,9.115134,3.656215,8.624913,8.763150,-5.058215,-64.004321,0.006461
0.020000,9.288371,3.657381,8.798153,8.662040,-5.055530,0.134215,0.007009
0.020000,9.459586,3.658629,8.969373,8.560982,-5.052876,0.132732,0.007572
0.020000,9.619743,3.659897,9.129535,8.008090,-27.644616,-1129.587016,0.009032
0.020000,9.777879,3.661853,9.287682,7.907374,-5.035794,1130.441101,0.015895
0.020000,9.932559,3.664905,9.442393,7.735527,-8.592345,-177.827573,0.023756
0.020000,10.083746,3.669153,9.593639,7.562310,-8.660855,-3.425487,0.032633
0.020000,10.231389,3.674690,9.741386,7.387360,-8.747505,-4.332510,0.042552
0.020000,10.375429,3.681599,9.885592,7.210278,-8.854092,-5.329346,0.053540
0.020000,10.515795,3.689956,10.026206,7.030731,-8.977367,-6.163752,0.065634
0.020000,10.652406,3.699827,10.163174,6.848374,-9.117827,-7.023002,0.078871
0.020000,10.785172,3.711266,10.296432,6.662885,-9.274429,-7.830099,0.093296
0.020000,10.913992,3.724319,10.425911,6.473970,-9.445756,-8.566349,0.108955
0.020000,11.038756,3.739018,10.551538,6.281373,-9.629878,-9.206087,0.125901
0.020000,11.159349,3.755383,10.673236,6.084889,-9.824185,-9.715359,0.144186
0.020000,11.275647,3.773418,10.790924,5.884399,-10.024505,-10.015989,0.163867
0.020000,11.387524,3.793112,10.904522,5.679874,-10.226257,-10.087603,0.184999
0.020000,11.494853,3.814435,11.013948,5.471325,-10.427449,-10.059624,0.207639
0.020000,11.597510,3.837340,11.119130,5.259066,-10.612952,-9.275146,0.231838
0.020000,11.695378,3.861759,11.219998,5.043407,-10.782926,-8.498684,0.257643
0.020000,11.788354,3.887603,11.316499,4.825077,-10.916522,-6.679773,0.285092
0.020000,11.876355,3.914767,11.408596,4.604865,-11.010603,-4.704057,0.314209
0.020000,11.959322,3.943124,11.496277,4.384003,-11.043086,-1.624152,0.345006
0.020000,12.037236,3.972536,11.579556,4.163985,-11.000908,2.108871,0.377469
0.020000,12.110113,4.002853,11.658489,3.946616,-10.868462,6.622296,0.411562
0.020000,12.178023,4.033924,11.733169,3.734026,-10.629502,11.948033,0.447219
0.020000,12.241087,4.065601,11.803741,3.528591,-10.271718,17.889189,0.484340
0.020000,12.299479,4.097749,11.870398,3.332865,-9.786323,24.269740,0.522790
0.020000,12.353430,4.130260,11.933388,3.149475,-9.169468,30.842746,0.562399
0.020000,12.403219,4.163053,11.993005,2.980883,-8.429633,36.991772,0.602960
0.020000,12.449162,4.196087,12.049591,2.829303,-7.578975,42.532914,0.644238
0.020000,12.491602,4.229361,12.103521,2.696466,-6.641884,46.854518,0.685972
0.020000,12.530894,4.262915,12.155190,2.583476,-5.649463,49.621052,0.727887
0.020000,12.567387,4.296822,12.205005,2.490717,-4.637976,50.574342,0.769701
0.020000,12.601409,4.331185,12.253361,2.417801,-3.645768,49.610388,0.811139
0.020000,12.633259,4.366118,12.300633,2.363612,-2.709464,46.815228,0.851940
0.020000,12.663192,4.401739,12.347161,2.326416,-1.859821,42.482131,0.891870
0.020000,12.691423,4.438157,12.393240,2.303959,-1.122852,36.848447,0.930723
0.020000,12.718122,4.475463,12.439115,2.293738,-0.511030,30.591099,0.968329
0.020000,12.743417,4.513718,12.484978,2.293137,-0.030069,24.048071,1.004554
0.020000,12.767406,4.552957,12.530969,2.299540,0.320179,17.512393,1.039303
0.020000,12.790156,4.593179,12.577178,2.310483,0.547150,11.348577,1.072510
0.020000,12.811713,4.634353,12.623655,2.323810,0.666335,5.959239,1.104143
0.020000,12.832112,4.676423,12.670409,2.337704,0.694717,1.419106,1.134195
0.020000,12.851377,4.719306,12.717420,2.350581,0.643824,-2.544670,1.162679
0.020000,12.869527,4.762902,12.764644,2.361164,0.529144,-5.733979,1.189627
0.020000,12.886583,4.807097,12.812015,2.368595,0.371579,-7.878287,1.215083
0.020000,12.902565,4.851767,12.859459,2.372189,0.179699,-9.593970,1.239101
0.020000,12.917497,4.896784,12.906887,2.371400,-0.039476,-10.958779,1.261740
0.020000,12.931404,4.942017,12.954210,2.366129,-0.263542,-11.203282,1.283065
0.020000,12.944318,4.987333,13.001330,2.356024,-0.505242,-12.084994,1.303141
