dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508746,0.760027,0.001000,0.100000,5.000000,250.000000,0.006074
0.020000,0.508733,0.760026,0.001013,0.000648,-4.967619,-498.380954,0.006065
0.020000,0.508712,0.760026,0.001035,0.001078,0.021536,249.457779,0.006050
0.020000,0.515576,0.760068,0.007898,0.343199,17.106027,854.224520,0.006029
0.020000,0.524537,0.760122,0.016860,0.448065,5.243324,-593.135135,0.006002
0.020000,0.535489,0.760187,0.027813,0.547641,4.978783,-13.227051,0.005969
0.020000,0.548434,0.760264,0.040757,0.647220,4.978951,0.008406,0.005931
0.020000,0.563369,0.760353,0.055693,0.746803,4.979148,0.009858,0.005886
0.020000,0.580297,0.760452,0.072621,0.846391,4.979378,0.011462,0.005836
0.020000,0.599216,0.760562,0.091541,0.945983,4.979636,0.012923,0.005780
0.020000,0.620128,0.760682,0.112452,1.045582,4.979926,0.014492,0.005719
0.020000,0.643031,0.760812,0.135356,1.145187,4.980245,0.015966,0.005652
0.020000,0.667926,0.760952,0.160252,1.244799,4.980596,0.017537,0.005580
0.020000,0.694814,0.761101,0.187140,1.344418,4.980977,0.019028,0.005502
0.020000,0.723695,0.761259,0.216021,1.444046,4.981388,0.020566,0.005420
0.020000,0.754568,0.761425,0.246895,1.543683,4.981830,0.022086,0.005332
0.020000,0.787434,0.761598,0.279761,1.643329,4.982302,0.023622,0.005239
0.020000,0.822293,0.761779,0.314621,1.742985,4.982805,0.025122,0.005142
0.020000,0.859146,0.761967,0.351474,1.842651,4.983338,0.026657,0.005040
0.020000,0.897992,0.762161,0.390321,1.942329,4.983901,0.028178,0.004933
0.020000,0.938832,0.762360,0.431161,2.042019,4.984496,0.029723,0.004822
0.020000,0.981666,0.762564,0.473996,2.141722,4.985120,0.031204,0.004707
0.020000,1.026494,0.762772,0.518824,2.241437,4.985775,0.032765,0.004589
0.020000,1.073317,0.762984,0.565648,2.341166,4.986461,0.034277,0.004466
0.020000,1.122135,0.763199,0.614466,2.440910,4.987177,0.035792,0.004340
0.020000,1.172948,0.763416,0.665279,2.540668,4.987923,0.037322,0.004210
0.020000,1.225756,0.763635,0.718088,2.640442,4.988700,0.038847,0.004077
0.020000,1.280560,0.763855,0.772893,2.740233,4.989507,0.040376,0.003942
0.020000,1.337361,0.764075,0.829693,2.840040,4.990345,0.041892,0.003803
0.020000,1.396158,0.764294,0.888491,2.939864,4.991213,0.043410,0.003662
0.020000,1.456951,0.764513,0.949285,3.039706,4.992112,0.044950,0.003519
0.020000,1.519742,0.764729,1.012076,3.139567,4.993042,0.046459,0.003375
0.020000,1.584531,0.764943,1.076865,3.239447,4.994001,0.047990,0.003228
0.020000,1.651317,0.765154,1.143652,3.339347,4.994992,0.049510,0.003080
0.020000,1.720102,0.765360,1.212437,3.439267,4.996012,0.051041,0.002931
