dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.612731,3.525725,0.002000,0.200000,10.000000,500.000000,6.281653
0.020000,1.612116,3.525726,0.002615,0.030741,-8.462944,-923.147205,6.282080
0.020000,1.611092,3.525727,0.003639,0.051215,1.023701,474.332243,6.282791
0.020000,1.618112,3.525729,0.010659,0.351005,14.989484,698.289161,0.000601
0.020000,1.634270,3.525749,0.026817,0.807879,22.843688,392.710177,0.001880
0.020000,1.654019,3.525802,0.046567,0.987499,8.981024,-693.133199,0.003442
0.020000,1.677363,3.525904,0.069910,1.167178,8.983942,0.145916,0.005287
0.020000,1.704300,3.526075,0.096848,1.346883,8.985255,0.065641,0.007414
0.020000,1.734830,3.526338,0.127380,1.526585,8.985089,-0.008303,0.009822
0.020000,1.768958,3.526719,0.161509,1.706489,8.995233,0.507244,0.012510
0.020000,1.806682,3.527247,0.199237,1.886368,8.993909,-0.066223,0.015477
0.020000,1.848004,3.527954,0.240565,2.066396,9.001419,0.375510,0.018722
0.020000,1.892925,3.528874,0.285496,2.246548,9.007584,0.308220,0.022242
0.020000,1.941447,3.530045,0.334032,2.426800,9.012624,0.252006,0.026036
0.020000,1.993571,3.531509,0.386176,2.607212,9.020604,0.398997,0.030103
0.020000,2.049298,3.533308,0.441932,2.787810,9.029885,0.464083,0.034439
0.020000,2.108630,3.535489,0.501304,2.968607,9.039864,0.498944,0.039041
0.020000,2.171567,3.538101,0.564296,3.149580,9.048638,0.438696,0.043908
0.020000,2.238111,3.541196,0.630912,3.330791,9.060567,0.596427,0.049036
0.020000,2.308264,3.544828,0.701158,3.512309,9.075904,0.766850,0.054420
0.020000,2.382024,3.549055,0.775040,3.694095,9.089292,0.669403,0.060058
0.020000,2.459395,3.553936,0.852564,3.876210,9.105725,0.821648,0.065944
0.020000,2.540375,3.559533,0.933737,4.058664,9.122722,0.849882,0.072073
0.020000,2.624965,3.565911,1.018568,4.241531,9.143321,1.029952,0.078441
0.020000,2.713166,3.573138,1.107064,4.424814,9.164155,1.041699,0.085041
0.020000,2.804977,3.581280,1.199235,4.608542,9.186409,1.112674,0.091866
0.020000,2.900398,3.590410,1.295092,4.792851,9.215466,1.452859,0.098910
0.020000,2.999428,3.600601,1.394645,4.977634,9.239166,1.184987,0.106165
0.020000,3.102065,3.611926,1.497905,5.163027,9.269616,1.522527,0.113622
0.020000,3.208309,3.624463,1.604886,5.349059,9.301610,1.599672,0.121274
0.020000,3.318158,3.638288,1.715602,5.535754,9.334748,1.656917,0.129110
0.020000,3.431609,3.653481,1.830066,5.723212,9.372895,1.907358,0.137121
0.020000,3.548660,3.670121,1.948294,5.911389,9.408852,1.797818,0.145296
0.020000,3.669308,3.688290,2.070302,6.100439,9.452522,2.183540,0.153623
0.020000,3.793550,3.708068,2.196109,6.290319,9.493990,2.073402,0.162090
0.020000,3.921383,3.729538,2.325731,6.481127,9.540385,2.319717,0.170686
0.020000,4.052801,3.752781,2.459189,6.672887,9.587999,2.380685,0.179395
0.020000,4.187800,3.777879,2.596502,6.865630,9.637158,2.457975,0.188206
0.020000,4.326377,3.804913,2.737690,7.059440,9.690507,2.667429,0.197102
0.020000,4.468525,3.833965,2.882777,7.254333,9.744658,2.707552,0.206069
0.020000,4.614240,3.865114,3.031784,7.450343,9.800504,2.792294,0.215092
0.020000,4.763516,3.898439,3.184735,7.647531,9.859406,2.945139,0.224153
0.020000,4.916347,3.934016,3.341653,7.845903,9.918556,2.957480,0.233238
0.020000,5.072729,3.971921,3.502563,8.045512,9.980447,3.094532,0.242327
0.020000,5.232656,4.012227,3.667490,8.246377,10.043274,3.141350,0.251405
0.020000,5.394326,4.054526,3.834602,8.355597,5.461008,-229.113255,0.260355
0.020000,5.555941,4.098339,4.002051,8.372428,0.841547,-230.973051,0.269071
0.020000,5.717500,4.143632,4.169839,8.389408,0.849014,0.373312,0.277551
0.020000,5.879004,4.190369,4.337969,8.406514,0.855258,0.312235,0.285793
0.020000,6.040452,4.238515,4.506444,8.423721,0.860362,0.255182,0.293797
0.020000,6.201847,4.288034,4.675264,8.441011,0.864499,0.206859,0.301560
0.020000,6.363189,4.338889,4.844431,8.458364,0.867648,0.157456,0.309083
0.020000,6.524482,4.391044,5.013946,8.475762,0.869905,0.112811,0.316363
0.020000,6.685728,4.444462,5.183810,8.493189,0.871343,0.071905,0.323402
0.020000,6.846930,4.499106,5.354023,8.510629,0.872036,0.034674,0.330199
0.020000,7.008094,4.554939,5.524584,8.528071,0.872057,0.001035,0.336753
0.020000,7.169225,4.611925,5.695494,8.545500,0.871475,-0.029114,0.343065
