dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.610524,2.085727,0.002000,0.200000,10.000000,500.000000,6.281653
0.020000,1.610524,2.085727,0.008000,0.400000,10.000000,0.000000,6.282080
0.020000,1.610524,2.085727,0.018000,0.600000,10.000000,-0.000000,6.282791
0.020000,1.618977,2.085729,0.032000,0.800000,10.000000,0.000000,0.000601
0.020000,1.636977,2.085752,0.050000,1.000000,10.000000,-0.000000,0.001880
0.020000,1.658976,2.085810,0.072000,1.200000,10.000000,0.000000,0.003442
0.020000,1.684976,2.085924,0.098000,1.400000,10.000000,0.000000,0.005287
0.020000,1.714976,2.086114,0.128000,1.600000,10.000000,0.000000,0.007414
0.020000,1.748974,2.086407,0.162000,1.800000,10.000000,-0.000000,0.009822
0.020000,1.786973,2.086832,0.200000,2.000000,10.000000,0.000000,0.012510
0.020000,1.828968,2.087419,0.242000,2.200000,10.000000,-0.000000,0.015477
0.020000,1.874961,2.088206,0.288000,2.400000,10.000000,0.000000,0.018722
0.020000,1.924951,2.089230,0.338000,2.600000,10.000000,-0.000000,0.022242
0.020000,1.978935,2.090534,0.392000,2.800000,10.000000,0.000000,0.026036
0.020000,2.036912,2.092161,0.450000,3.000000,10.000000,0.000000,0.030103
0.020000,2.098880,2.094162,0.512000,3.200000,10.000000,0.000000,0.034439
0.020000,2.164835,2.096586,0.578000,3.400000,10.000000,-0.000000,0.039041
0.020000,2.234775,2.099489,0.648000,3.600000,10.000000,0.000000,0.043908
0.020000,2.308695,2.102926,0.722000,3.800000,10.000000,-0.000000,0.049036
0.020000,2.386590,2.106960,0.800000,4.000000,10.000000,0.000000,0.054420
0.020000,2.468456,2.111651,0.882000,4.200000,10.000000,0.000000,0.060058
0.020000,2.554285,2.117066,0.968000,4.400000,10.000000,-0.000000,0.065944
0.020000,2.644071,2.123272,1.058000,4.600000,10.000000,0.000000,0.072073
0.020000,2.737805,2.130339,1.152000,4.800000,10.000000,0.000000,0.078441
0.020000,2.835477,2.138341,1.250000,5.000000,10.000000,0.000000,0.085041
0.020000,2.937077,2.147352,1.352000,5.200000,10.000000,-0.000000,0.091866
0.020000,3.042596,2.157448,1.458000,5.400000,10.000000,0.000000,0.098910
0.020000,3.152018,2.168708,1.568000,5.600000,10.000000,0.000000,0.106165
0.020000,3.265330,2.181211,1.682000,5.800000,10.000000,0.000000,0.113622
0.020000,3.382516,2.195039,1.800000,6.000000,10.000000,-0.000000,0.121274
0.020000,3.503561,2.210273,1.922000,6.200000,10.000000,0.000000,0.129110
0.020000,3.628446,2.226997,2.048000,6.400000,10.000000,0.000000,0.137121
0.020000,3.757151,2.245294,2.178000,6.600000,10.000000,-0.000000,0.145296
0.020000,3.889657,2.265249,2.312000,6.800000,10.000000,0.000000,0.153623
