dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.808801,-0.190148,0.001000,0.100000,5.000000,250.000000,6.281211
0.020000,1.809171,-0.190148,0.001369,0.018474,-4.076287,-453.814344,6.281467
0.020000,1.809786,-0.190149,0.001985,0.030788,0.615665,234.597580,6.281895
0.020000,1.810648,-0.190150,0.002847,0.043096,0.615447,-0.010882,6.282493
0.020000,1.812664,-0.190150,0.004862,0.100764,2.883371,113.396210,0.000078
0.020000,1.825020,-0.190144,0.017219,0.617815,25.852531,1148.457997,0.001018
0.020000,1.839618,-0.190121,0.031817,0.729915,5.605009,-1012.376093,0.002129
0.020000,1.856467,-0.190074,0.048666,0.842439,5.626216,1.060356,0.003412
0.020000,1.875560,-0.189995,0.067759,0.954668,5.611425,-0.739562,0.004866
0.020000,1.896898,-0.189874,0.089098,1.066939,5.613572,0.107359,0.006491
0.020000,1.920483,-0.189699,0.112683,1.179265,5.616295,0.136135,0.008287
0.020000,1.946315,-0.189460,0.138516,1.291636,5.618575,0.114009,0.010254
0.020000,1.974392,-0.189142,0.166596,1.403977,5.617024,-0.077548,0.012392
0.020000,2.004717,-0.188731,0.196922,1.516346,5.618466,0.072079,0.014702
0.020000,2.037286,-0.188212,0.229496,1.628668,5.616112,-0.117672,0.017183
0.020000,2.072099,-0.187568,0.264315,1.740936,5.613389,-0.136191,0.019835
0.020000,2.109154,-0.186780,0.301378,1.853165,5.611455,-0.096708,0.022658
0.020000,2.148455,-0.185831,0.340691,1.965653,5.624360,0.645288,0.025652
0.020000,2.189995,-0.184699,0.382246,2.077755,5.605118,-0.962128,0.028816
0.020000,2.233778,-0.183364,0.426050,2.190191,5.621823,0.835243,0.032151
0.020000,2.279799,-0.181803,0.472097,2.302383,5.609605,-0.610897,0.035657
0.020000,2.328057,-0.179993,0.520389,2.414568,5.609229,-0.018785,0.039332
0.020000,2.378549,-0.177909,0.570924,2.526767,5.609924,0.034742,0.043176
0.020000,2.431274,-0.175525,0.623703,2.638952,5.609263,-0.033026,0.047189
0.020000,2.486230,-0.172814,0.678725,2.751097,5.607285,-0.098892,0.051371
0.020000,2.543411,-0.169750,0.735989,2.863178,5.604031,-0.162729,0.055720
0.020000,2.602814,-0.166302,0.795492,2.975169,5.599542,-0.224419,0.060237
0.020000,2.664434,-0.162440,0.857233,3.087046,5.593866,-0.283846,0.064919
0.020000,2.728270,-0.158135,0.921213,3.199020,5.598671,0.240263,0.069766
0.020000,2.794312,-0.153354,0.987428,3.310741,5.586085,-0.629272,0.074776
0.020000,2.862557,-0.148064,1.055878,3.422490,5.587446,0.068025,0.079949
0.020000,2.932996,-0.142231,1.126558,3.533990,5.574995,-0.622521,0.085283
0.020000,3.005624,-0.135821,1.199468,3.645528,5.576912,0.095821,0.090777
0.020000,3.080433,-0.128798,1.274606,3.756885,5.567842,-0.453486,0.096428
0.020000,3.157413,-0.121126,1.351967,3.868061,5.558806,-0.451789,0.102234
0.020000,3.236554,-0.112768,1.431549,3.979090,5.551437,-0.368490,0.108194
0.020000,3.317847,-0.103687,1.513348,4.089941,5.542546,-0.444515,0.114305
0.020000,3.401281,-0.093844,1.597361,4.200633,5.534578,-0.398394,0.120564
0.020000,3.486845,-0.083199,1.683584,4.311171,5.526941,-0.381885,0.126968
0.020000,3.574524,-0.071715,1.772011,4.421360,5.509438,-0.875141,0.133516
0.020000,3.664304,-0.059350,1.862640,4.531416,5.502782,-0.332797,0.140202
0.020000,3.756172,-0.046065,1.955462,4.641141,5.486279,-0.825124,0.147024
0.020000,3.850111,-0.031819,2.050476,4.750695,5.477702,-0.428864,0.153978
0.020000,3.946105,-0.016571,2.147673,4.859854,5.457915,-0.989344,0.161059
0.020000,4.044136,-0.000282,2.247048,4.968733,5.443970,-0.697284,0.168264
0.020000,4.144184,0.017091,2.348594,5.077298,5.428244,-0.786274,0.175588
0.020000,4.246232,0.035588,2.452304,5.185515,5.410869,-0.868737,0.183026
0.020000,4.350257,0.055249,2.558171,5.293355,5.391976,-0.944646,0.190573
0.020000,4.456238,0.076116,2.666187,5.400789,5.371696,-1.014012,0.198223
0.020000,4.564152,0.098227,2.776343,5.507792,5.350159,-1.076883,0.205970
0.020000,4.673977,0.121623,2.888632,5.614437,5.332267,-0.894560,0.213810
0.020000,4.785685,0.146343,3.003043,5.720557,5.305966,-1.315068,0.221735
0.020000,4.899254,0.172425,3.119568,5.826258,5.285087,-1.043976,0.229738
0.020000,5.014655,0.199906,3.238196,5.931417,5.257912,-1.358712,0.237814
0.020000,5.131863,0.228824,3.358919,6.036114,5.234858,-1.152726,0.245955
0.020000,5.250849,0.259214,3.481724,6.140278,5.208210,-1.332378,0.254153
0.020000,5.371584,0.291110,3.606602,6.243881,5.180150,-1.403024,0.262402
0.020000,5.494040,0.324547,3.733540,6.346927,5.152321,-1.391449,0.270693
0.020000,5.618186,0.359557,3.862528,6.449397,5.123500,-1.441041,0.279018
0.020000,5.743993,0.396170,3.993554,6.551299,5.095056,-1.422201,0.287370
0.020000,5.871429,0.434415,4.126606,6.652576,5.063875,-1.559055,0.295739
0.020000,6.000463,0.474322,4.261670,6.753227,5.032564,-1.565530,0.304118
0.020000,6.131066,0.515915,4.398736,6.853283,5.002757,-1.490354,0.312497
0.020000,6.263204,0.559220,4.537789,6.952670,4.969387,-1.668521,0.320868
0.020000,6.396847,0.604259,4.678818,7.051433,4.938130,-1.562833,0.329221
0.020000,6.531964,0.651053,4.821809,7.149532,4.904974,-1.657787,0.337548
0.020000,6.668524,0.699622,4.966748,7.246974,4.872063,-1.645542,0.345840
0.020000,6.806496,0.749982,5.113623,7.343752,4.838926,-1.656862,0.354087
0.020000,6.945849,0.802148,5.262421,7.439863,4.805547,-1.668945,0.362280
