dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.272139,11.118988,0.001000,0.100000,5.000000,250.000000,0.000706
0.020000,5.272299,11.118988,0.001160,0.007976,-4.601200,-480.059976,0.000595
0.020000,5.272565,11.118988,0.001425,0.013289,0.265628,243.341379,0.000411
0.020000,5.272936,11.118988,0.001797,0.018594,0.265270,-0.017926,0.000152
0.020000,5.278284,11.118988,0.007145,0.267386,12.439618,608.717419,6.283006
0.020000,5.289868,11.118983,0.018728,0.579172,15.589297,157.483952,6.282601
0.020000,5.303556,11.118972,0.032417,0.684446,5.263669,-516.281416,6.282122
0.020000,5.319350,11.118951,0.048211,0.789688,5.262116,-0.077636,6.281571
0.020000,5.337249,11.118916,0.066109,0.894917,5.261463,-0.032652,6.280947
0.020000,5.357251,11.118865,0.086112,1.000131,5.260669,-0.039709,6.280251
0.020000,5.379357,11.118791,0.108218,1.105310,5.258980,-0.084412,6.279483
0.020000,5.403566,11.118691,0.132428,1.210469,5.257916,-0.053243,6.278643
0.020000,5.429878,11.118560,0.158739,1.315588,5.255965,-0.097510,6.277732
0.020000,5.458291,11.118391,0.187153,1.420666,5.253891,-0.103698,6.276750
0.020000,5.488804,11.118179,0.217667,1.525713,5.252376,-0.075750,6.275699
0.020000,5.521418,11.117916,0.250281,1.630724,5.250550,-0.091307,6.274578
0.020000,5.556130,11.117597,0.284995,1.735686,5.248099,-0.122563,6.273388
0.020000,5.592940,11.117213,0.321807,1.840595,5.245442,-0.132868,6.272129
0.020000,5.631846,11.116757,0.360716,1.945466,5.243534,-0.095377,6.270803
0.020000,5.672848,11.116221,0.401722,2.050283,5.240876,-0.132909,6.269411
0.020000,5.715945,11.115595,0.444823,2.155037,5.237701,-0.158772,6.267952
0.020000,5.761134,11.114873,0.490017,2.259737,5.234972,-0.136449,6.266428
0.020000,5.808414,11.114043,0.537305,2.364379,5.232105,-0.143310,6.264839
0.020000,5.857784,11.113096,0.586684,2.468943,5.228233,-0.193621,6.263187
0.020000,5.909241,11.112023,0.638153,2.573438,5.224739,-0.174717,6.261473
0.020000,5.962785,11.110812,0.691710,2.677879,5.222024,-0.135739,6.259696
0.020000,6.018413,11.109454,0.747355,2.782224,5.217287,-0.236839,6.257860
0.020000,6.076123,11.107938,0.805085,2.886493,5.213435,-0.192614,6.255964
0.020000,6.135913,11.106251,0.864898,2.990696,5.210124,-0.165533,6.254010
0.020000,6.197781,11.104383,0.926794,3.094798,5.205109,-0.250738,6.251999
0.020000,6.261724,11.102322,0.990771,3.198811,5.200675,-0.221713,6.249932
0.020000,6.327740,11.100056,1.056825,3.302731,5.195985,-0.234496,6.247811
0.020000,6.395826,11.097572,1.124957,3.406565,5.191681,-0.215201,6.245636
0.020000,6.465979,11.094859,1.195162,3.510288,5.186161,-0.276013,6.243410
0.020000,6.538196,11.091902,1.267440,3.613899,5.180583,-0.278913,6.241134
0.020000,6.612476,11.088690,1.341789,3.717427,5.176370,-0.210629,6.238808
0.020000,6.688813,11.085209,1.418205,3.820819,5.169608,-0.338120,6.236436
0.020000,6.767205,11.081447,1.496687,3.924106,5.164364,-0.262164,6.234018
0.020000,6.847648,11.077389,1.577233,4.027279,5.158622,-0.287109,6.231556
0.020000,6.930139,11.073023,1.659839,4.130321,5.152134,-0.324398,6.229051
0.020000,7.014674,11.068334,1.744504,4.233239,5.145857,-0.313884,6.226506
0.020000,7.101248,11.063309,1.831225,4.336025,5.139317,-0.326999,6.223922
0.020000,7.189859,11.057935,1.919998,4.438682,5.132845,-0.323600,6.221302
0.020000,7.280502,11.052198,2.010822,4.541199,5.125853,-0.349598,6.218646
0.020000,7.373172,11.046083,2.103694,4.643567,5.118393,-0.372960,6.215958
0.020000,7.467865,11.039578,2.198610,4.745802,5.111787,-0.330334,6.213238
0.020000,7.564576,11.032668,2.295567,4.847876,5.103665,-0.406061,6.210490
0.020000,7.663300,11.025341,2.394563,4.949803,5.096368,-0.364873,6.207715
0.020000,7.764033,11.017582,2.495595,5.051574,5.088537,-0.391533,6.204915
0.020000,7.866770,11.009378,2.598658,5.153181,5.080347,-0.409523,6.202093
0.020000,7.971505,11.000716,2.703751,5.254624,5.072154,-0.409663,6.199251
0.020000,8.078233,10.991583,2.810869,5.355899,5.063735,-0.420915,6.196391
0.020000,8.186948,10.981965,2.920009,5.457004,5.055269,-0.423341,6.193516
0.020000,8.297646,10.971851,3.031167,5.557933,5.046435,-0.441669,6.190628
0.020000,8.410319,10.961227,3.144341,5.658679,5.037309,-0.456291,6.187730
0.020000,8.524964,10.950082,3.259526,5.759249,5.028500,-0.440445,6.184824
0.020000,8.641573,10.938403,3.376719,5.859627,5.018893,-0.480360,6.181912
0.020000,8.760141,10.926179,3.495915,5.959818,5.009544,-0.467468,6.178998
0.020000,8.880662,10.913399,3.617111,6.059816,4.999927,-0.480860,6.176084
0.020000,9.003129,10.900051,3.740304,6.159617,4.990027,-0.494978,6.173173
0.020000,9.127536,10.886126,3.865488,6.259218,4.980050,-0.498870,6.170267
0.020000,9.253877,10.871612,3.992660,6.358616,4.969896,-0.507662,6.167369
0.020000,9.382147,10.856502,4.121816,6.457808,4.959615,-0.514076,6.164483
0.020000,9.512337,10.840784,4.252952,6.556790,4.949098,-0.525844,6.161611
0.020000,9.644443,10.824452,4.386063,6.655559,4.938471,-0.531355,6.158756
0.020000,9.778456,10.807497,4.521146,6.754113,4.927694,-0.538836,6.155921
0.020000,9.914372,10.789910,4.658195,6.852448,4.916755,-0.546971,6.153109
0.020000,10.052184,10.771686,4.797206,6.950562,4.905681,-0.553686,6.150323
0.020000,10.191885,10.752819,4.938175,7.048450,4.894416,-0.563265,6.147567
0.020000,10.333468,10.733302,5.081097,7.146111,4.883063,-0.567643,6.144843
0.020000,10.476928,10.713130,5.225968,7.243542,4.871552,-0.575550,6.142155
0.020000,10.622257,10.692300,5.372783,7.340740,4.859887,-0.583224,6.139506
0.020000,10.769450,10.670808,5.521537,7.437701,4.848053,-0.591748,6.136899
0.020000,10.918501,10.648651,5.672225,7.534425,4.836189,-0.593188,6.134338
0.020000,11.069403,10.625827,5.824843,7.630908,4.824123,-0.603281,6.131825
0.020000,11.222150,10.602335,5.979386,7.727145,4.811852,-0.613577,6.129365
0.020000,11.376736,10.578176,6.135849,7.823136,4.799592,-0.612992,6.126960
0.020000,11.533156,10.553349,6.294227,7.918879,4.787146,-0.622270,6.124614
0.020000,11.691403,10.527857,6.454514,8.014369,4.774495,-0.632587,6.122331
0.020000,11.851472,10.501701,6.616706,8.109605,4.761773,-0.636064,6.120115
0.020000,12.013358,10.474886,6.780798,8.204584,4.748963,-0.640519,6.117968
0.020000,12.177055,10.447416,6.946784,8.299302,4.735924,-0.651963,6.115894
0.020000,12.342559,10.419296,7.114659,8.393759,4.722819,-0.655259,6.113897
0.020000,12.509863,10.390533,7.284418,8.487951,4.709626,-0.659651,6.111981
0.020000,12.678964,10.361135,7.456056,8.581875,4.696199,-0.671335,6.110150
0.020000,12.849857,10.331111,7.629566,8.675528,4.682637,-0.678114,6.108406
0.020000,13.022538,10.300470,7.804944,8.768908,4.669003,-0.681690,6.106755
0.020000,13.197002,10.269224,7.982184,8.862012,4.655223,-0.689008,6.105199
0.020000,13.373246,10.237385,8.161281,8.954837,4.641215,-0.700402,6.103743
0.020000,13.551266,10.204967,8.342229,9.047379,4.627087,-0.706371,6.102390
0.020000,13.730066,10.172168,8.524012,9.089165,2.089320,-126.888354,6.101152
0.020000,13.908655,10.139190,8.705620,9.080388,-0.438825,-126.407257,6.100035
0.020000,14.087036,10.106056,8.887052,9.071617,-0.438559,0.013316,6.099041
0.020000,14.265213,10.072787,9.068309,9.062851,-0.438314,0.012224,6.098168
0.020000,14.443192,10.039406,9.249391,9.054089,-0.438094,0.011006,6.097417
0.020000,14.620975,10.005934,9.430298,9.045331,-0.437901,0.009679,6.096787
0.020000,14.798567,9.972394,9.611029,9.036576,-0.437735,0.008257,6.096279
0.020000,14.975972,9.938807,9.791586,9.027824,-0.437600,0.006757,6.095893
0.020000,15.153194,9.905195,9.971967,9.019074,-0.437496,0.005192,6.095628
0.020000,15.330238,9.871579,10.152174,9.010326,-0.437425,0.003580,6.095484
0.020000,15.507106,9.837981,10.332205,9.001578,-0.437386,0.001935,6.095462
0.020000,15.683805,9.804423,10.512062,8.992831,-0.437381,0.000271,6.095562
0.020000,15.860336,9.770925,10.691743,8.984082,-0.437409,-0.001395,6.095783
0.020000,16.036705,9.737510,10.871250,8.975333,-0.437470,-0.003048,6.096126
0.020000,16.212916,9.704199,11.050582,8.966582,-0.437563,-0.004675,6.096590
0.020000,16.388972,9.671013,11.229738,8.957828,-0.437688,-0.006258,6.097175
0.020000,16.564877,9.637972,11.408720,8.949071,-0.437844,-0.007783,6.097883
0.020000,16.740636,9.605099,11.587526,8.940311,-0.438029,-0.009235,6.098712
0.020000,16.916251,9.572415,11.766157,8.931546,-0.438241,-0.010598,6.099663
0.020000,17.091727,9.539940,11.944612,8.922776,-0.438478,-0.011857,6.100735
0.020000,17.267067,9.507696,12.122892,8.914001,-0.438738,-0.012996,6.101929
0.020000,17.441544,9.475837,12.300254,8.868083,-2.295899,-92.858076,6.103240
0.020000,17.614190,9.444555,12.475711,8.772868,-4.760763,-123.243194,6.104657
0.020000,17.784770,9.413905,12.649024,8.665612,-5.362807,-30.102218,6.106175
0.020000,17.953293,9.383898,12.820196,8.558635,-5.348845,0.698112,6.107790
0.020000,18.119763,9.354542,12.989235,8.451937,-5.334896,0.697450,6.109498
0.020000,18.284187,9.325844,13.156145,8.345511,-5.321301,0.679763,6.111295
0.020000,18.446572,9.297809,13.320933,8.239358,-5.307647,0.682670,6.113177
0.020000,18.606923,9.270443,13.483602,8.133472,-5.294326,0.666071,6.115141
0.020000,18.765246,9.243749,13.644159,8.027852,-5.280999,0.666359,6.117183
0.020000,18.921545,9.217731,13.802609,7.922496,-5.267781,0.660908,6.119300
0.020000,19.075825,9.192390,13.958957,7.817399,-5.254844,0.646846,6.121488
0.020000,19.228092,9.167727,14.113208,7.712561,-5.241932,0.645593,6.123742
0.020000,19.378349,9.143742,14.265368,7.607978,-5.229150,0.639119,6.126061
0.020000,19.526601,9.120433,14.415441,7.503646,-5.216590,0.627997,6.128439
0.020000,19.672852,9.097801,14.563432,7.399563,-5.204131,0.622922,6.130874
0.020000,19.817104,9.075840,14.709346,7.295731,-5.191614,0.625846,6.133363
0.020000,19.959363,9.054550,14.853189,7.192140,-5.179561,0.602659,6.135901
0.020000,20.099630,9.033924,14.994965,7.088792,-5.167371,0.609513,6.138486
0.020000,20.237910,9.013959,15.134679,6.985684,-5.155415,0.597783,6.141114
0.020000,20.374205,8.994648,15.272335,6.882812,-5.143623,0.589595,6.143781
0.020000,20.508518,8.975986,15.407938,6.780173,-5.131926,0.584879,6.146486
0.020000,20.640852,8.957967,15.541494,6.677765,-5.120376,0.577478,6.149224
0.020000,20.771210,8.940581,15.673006,6.575586,-5.108970,0.570319,6.151992
0.020000,20.899593,8.923823,15.802478,6.473632,-5.097682,0.564380,6.154787
0.020000,21.026005,8.907682,15.929916,6.371901,-5.086591,0.554571,6.157607
0.020000,21.150447,8.892151,16.055324,6.270388,-5.075609,0.549102,6.160447
0.020000,21.272922,8.877220,16.178706,6.169093,-5.064788,0.541018,6.163305
0.020000,21.393432,8.862879,16.300066,6.068010,-5.054129,0.532981,6.166179
0.020000,21.511979,8.849117,16.419409,5.967138,-5.043599,0.526468,6.169064
0.020000,21.628564,8.835924,16.536738,5.866473,-5.033250,0.517475,6.171959
0.020000,21.743190,8.823290,16.652058,5.766012,-5.023064,0.509267,6.174860
0.020000,21.855859,8.811202,16.765373,5.665751,-5.013036,0.501424,6.177765
0.020000,21.966572,8.799650,16.876687,5.565688,-5.003156,0.494023,6.180671
0.020000,22.075330,8.788620,16.986004,5.465820,-4.993413,0.487141,6.183574
0.020000,22.182136,8.778102,17.093326,5.366139,-4.984054,0.467955,6.186474
0.020000,22.286991,8.768082,17.198659,5.266649,-4.974488,0.478294,6.189366
0.020000,22.389898,8.758548,17.302006,5.167338,-4.965523,0.448256,6.192249
0.020000,22.490856,8.749488,17.403370,5.068212,-4.956322,0.460044,6.195119
0.020000,22.589868,8.740887,17.502756,4.969261,-4.947563,0.437926,6.197975
0.020000,22.686936,8.732735,17.600165,4.870480,-4.939019,0.427234,6.200815
0.020000,22.782061,8.725016,17.695603,4.771870,-4.930497,0.426057,6.203634
0.020000,22.875244,8.717719,17.789071,4.673424,-4.922310,0.409368,6.206433
0.020000,22.966487,8.710829,17.880574,4.575141,-4.914185,0.406227,6.209207
0.020000,23.055792,8.704333,17.970114,4.477017,-4.906175,0.400515,6.211955
0.020000,23.143159,8.698219,18.057695,4.379048,-4.898434,0.387062,6.214675
0.020000,23.228590,8.692472,18.143320,4.281223,-4.891272,0.358098,6.217365
0.020000,23.312087,8.687079,18.226991,4.183552,-4.883527,0.387261,6.220023
0.020000,23.393652,8.682028,18.308711,4.086023,-4.876459,0.353414,6.222646
0.020000,23.473284,8.677304,18.388484,3.988626,-4.869885,0.328665,6.225233
0.020000,23.550987,8.672895,18.466311,3.891370,-4.862766,0.355950,6.227782
0.020000,23.626760,8.668788,18.542196,3.794246,-4.856231,0.326754,6.230291
