dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.273156,9.678988,0.001000,0.100000,5.000000,250.000000,0.000706
0.020000,5.273156,9.678988,0.004000,0.200000,5.000000,0.000000,0.000595
0.020000,5.273156,9.678988,0.009000,0.300000,5.000000,-0.000000,0.000411
0.020000,5.273156,9.678988,0.016000,0.400000,5.000000,0.000000,0.000152
0.020000,5.278026,9.678988,0.025000,0.500000,5.000000,-0.000000,6.283006
0.020000,5.289026,9.678984,0.036000,0.600000,5.000000,0.000000,6.282601
0.020000,5.302026,9.678973,0.049000,0.700000,5.000000,0.000000,6.282122
0.020000,5.317026,9.678953,0.064000,0.800000,5.000000,0.000000,6.281571
0.020000,5.334025,9.678920,0.081000,0.900000,5.000000,-0.000000,6.280947
0.020000,5.353025,9.678871,0.100000,1.000000,5.000000,0.000000,6.280251
0.020000,5.374025,9.678801,0.121000,1.100000,5.000000,-0.000000,6.279483
0.020000,5.397025,9.678706,0.144000,1.200000,5.000000,0.000000,6.278643
0.020000,5.422025,9.678581,0.169000,1.300000,5.000000,-0.000000,6.277732
0.020000,5.449024,9.678421,0.196000,1.400000,5.000000,0.000000,6.276750
0.020000,5.478024,9.678219,0.225000,1.500000,5.000000,0.000000,6.275699
0.020000,5.509023,9.677970,0.256000,1.600000,5.000000,0.000000,6.274578
0.020000,5.542021,9.677666,0.289000,1.700000,5.000000,-0.000000,6.273388
0.020000,5.577019,9.677301,0.324000,1.800000,5.000000,0.000000,6.272129
0.020000,5.614017,9.676867,0.361000,1.900000,5.000000,-0.000000,6.270803
0.020000,5.653013,9.676357,0.400000,2.000000,5.000000,0.000000,6.269411
0.020000,5.694009,9.675763,0.441000,2.100000,5.000000,0.000000,6.267952
0.020000,5.737004,9.675075,0.484000,2.200000,5.000000,-0.000000,6.266428
0.020000,5.781997,9.674285,0.529000,2.300000,5.000000,0.000000,6.264839
0.020000,5.828988,9.673384,0.576000,2.400000,5.000000,0.000000,6.263187
0.020000,5.877977,9.672362,0.625000,2.500000,5.000000,0.000000,6.261473
0.020000,5.928964,9.671209,0.676000,2.600000,5.000000,-0.000000,6.259696
0.020000,5.981949,9.669916,0.729000,2.700000,5.000000,0.000000,6.257860
0.020000,6.036929,9.668471,0.784000,2.800000,5.000000,0.000000,6.255964
0.020000,6.093907,9.666864,0.841000,2.900000,5.000000,0.000000,6.254010
0.020000,6.152880,9.665083,0.900000,3.000000,5.000000,-0.000000,6.251999
0.020000,6.213848,9.663118,0.961000,3.100000,5.000000,0.000000,6.249932
0.020000,6.276811,9.660957,1.024000,3.200000,5.000000,0.000000,6.247811
0.020000,6.341768,9.658587,1.089000,3.300000,5.000000,-0.000000,6.245636
0.020000,6.408718,9.655998,1.156000,3.400000,5.000000,0.000000,6.243410
0.020000,6.477660,9.653175,1.225000,3.500000,5.000000,0.000000,6.241134
0.020000,6.548594,9.650108,1.296000,3.600000,5.000000,0.000000,6.238808
0.020000,6.621518,9.646783,1.369000,3.700000,5.000000,-0.000000,6.236436
0.020000,6.696432,9.643187,1.444000,3.800000,5.000000,0.000000,6.234018
0.020000,6.773334,9.639308,1.521000,3.900000,5.000000,0.000000,6.231556
0.020000,6.852224,9.635132,1.600000,4.000000,5.000000,-0.000000,6.229051
0.020000,6.933099,9.630646,1.681000,4.100000,5.000000,0.000000,6.226506
0.020000,7.015960,9.625837,1.764000,4.200000,5.000000,0.000000,6.223922
0.020000,7.100804,9.620691,1.849000,4.300000,5.000000,-0.000000,6.221302
0.020000,7.187630,9.615195,1.936000,4.400000,5.000000,0.000000,6.218646
0.020000,7.276437,9.609336,2.025000,4.500000,5.000000,0.000000,6.215958
0.020000,7.367223,9.603099,2.116000,4.600000,5.000000,-0.000000,6.213238
0.020000,7.459986,9.596472,2.209000,4.700000,5.000000,0.000000,6.210490
0.020000,7.554726,9.589440,2.304000,4.800000,5.000000,-0.000000,6.207715
0.020000,7.651439,9.581991,2.401000,4.900000,5.000000,0.000000,6.204915
0.020000,7.750125,9.574110,2.500000,5.000000,5.000000,0.000000,6.202093
0.020000,7.850781,9.565786,2.601000,5.100000,5.000000,-0.000000,6.199251
0.020000,7.953406,9.557003,2.704000,5.200000,5.000000,0.000000,6.196391
0.020000,8.057998,9.547751,2.809000,5.300000,5.000000,0.000000,6.193516
0.020000,8.164554,9.538015,2.916000,5.400000,5.000000,-0.000000,6.190628
0.020000,8.273072,9.527783,3.025000,5.500000,5.000000,0.000000,6.187730
0.020000,8.383552,9.517042,3.136000,5.600000,5.000000,-0.000000,6.184824
0.020000,8.495989,9.505781,3.249000,5.700000,5.000000,0.000000,6.181912
0.020000,8.610383,9.493988,3.364000,5.800000,5.000000,0.000000,6.178998
0.020000,8.726730,9.481650,3.481000,5.900000,5.000000,-0.000000,6.176084
0.020000,8.845030,9.468756,3.600000,6.000000,5.000000,0.000000,6.173173
0.020000,8.965279,9.455296,3.721000,6.100000,5.000000,0.000000,6.170267
0.020000,9.087475,9.441259,3.844000,6.200000,5.000000,-0.000000,6.167369
0.020000,9.211616,9.426635,3.969000,6.300000,5.000000,0.000000,6.164483
0.020000,9.337701,9.411413,4.096000,6.400000,5.000000,0.000000,6.161611
0.020000,9.465726,9.395585,4.225000,6.500000,5.000000,-0.000000,6.158756
0.020000,9.595690,9.379142,4.356000,6.600000,5.000000,0.000000,6.155921
0.020000,9.727590,9.362075,4.489000,6.700000,5.000000,0.000000,6.153109
0.020000,9.861425,9.344377,4.624000,6.800000,5.000000,-0.000000,6.150323
0.020000,9.997193,9.326041,4.761000,6.900000,5.000000,0.000000,6.147567
0.020000,10.134890,9.307059,4.900000,7.000000,5.000000,-0.000000,6.144843
0.020000,10.274517,9.287427,5.041000,7.100000,5.000000,0.000000,6.142155
0.020000,10.416070,9.267138,5.184000,7.200000,5.000000,0.000000,6.139506
0.020000,10.559549,9.246188,5.329000,7.300000,5.000000,-0.000000,6.136899
0.020000,10.704951,9.224573,5.476000,7.400000,5.000000,0.000000,6.134338
0.020000,10.852275,9.202291,5.625000,7.500000,5.000000,0.000000,6.131825
0.020000,11.001521,9.179338,5.776000,7.600000,5.000000,-0.000000,6.129365
0.020000,11.152686,9.155713,5.929000,7.700000,5.000000,0.000000,6.126960
0.020000,11.305769,9.131416,6.084000,7.800000,5.000000,0.000000,6.124614
0.020000,11.460771,9.106446,6.241000,7.900000,5.000000,-0.000000,6.122331
0.020000,11.617690,9.080805,6.400000,8.000000,5.000000,0.000000,6.120115
0.020000,11.776526,9.054495,6.561000,8.100000,5.000000,0.000000,6.117968
0.020000,11.937278,9.027519,6.724000,8.200000,5.000000,0.000000,6.115894
0.020000,12.099946,8.999881,6.889000,8.300000,5.000000,0.000000,6.113897
0.020000,12.264532,8.971585,7.056000,8.400000,5.000000,-0.000000,6.111981
0.020000,12.431034,8.942639,7.225000,8.500000,5.000000,0.000000,6.110150
0.020000,12.599455,8.913049,7.396000,8.600000,5.000000,0.000000,6.108406
0.020000,12.769794,8.882824,7.569000,8.700000,5.000000,0.000000,6.106755
0.020000,12.942053,8.851973,7.744000,8.800000,5.000000,0.000000,6.105199
0.020000,13.116234,8.820506,7.921000,8.900000,5.000000,0.000000,6.103743
0.020000,13.292338,8.788438,8.100000,9.000000,5.000000,-0.000000,6.102390
0.020000,13.469383,8.755960,8.280000,9.000000,0.000000,-250.000000,6.101152
0.020000,13.646391,8.723274,8.460000,9.000000,0.000000,0.000000,6.100035
0.020000,13.823364,8.690401,8.640000,9.000000,0.000000,0.000000,6.099041
0.020000,14.000306,8.657363,8.820000,9.000000,0.000000,0.000000,6.098168
0.020000,14.177221,8.624181,9.000000,9.000000,0.000000,0.000000,6.097417
0.020000,14.354113,8.590878,9.180000,9.000000,0.000000,0.000000,6.096787
0.020000,14.530986,8.557473,9.360000,9.000000,0.000000,0.000000,6.096279
0.020000,14.707844,8.523990,9.540000,9.000000,0.000000,0.000000,6.095893
0.020000,14.884692,8.490448,9.720000,9.000000,0.000000,0.000000,6.095628
0.020000,15.061532,8.456871,9.900000,9.000000,0.000000,0.000000,6.095484
0.020000,15.238370,8.423279,10.080000,9.000000,0.000000,0.000000,6.095462
0.020000,15.415209,8.389694,10.260000,9.000000,0.000000,0.000000,6.095562
0.020000,15.592054,8.356138,10.440000,9.000000,0.000000,0.000000,6.095783
0.020000,15.768907,8.322631,10.620000,9.000000,0.000000,0.000000,6.096126
0.020000,15.945775,8.289195,10.800000,9.000000,0.000000,0.000000,6.096590
0.020000,16.122660,8.255853,10.980000,9.000000,0.000000,0.000000,6.097175
0.020000,16.299566,8.222624,11.160000,9.000000,0.000000,0.000000,6.097883
0.020000,16.476498,8.189532,11.340000,9.000000,0.000000,0.000000,6.098712
0.020000,16.653459,8.156597,11.520000,9.000000,0.000000,0.000000,6.099663
0.020000,16.830454,8.123841,11.700000,9.000000,0.000000,0.000000,6.100735
0.020000,17.007485,8.091286,11.880000,9.000000,0.000000,0.000000,6.101929
0.020000,17.183819,8.059087,12.059249,8.924897,-3.755144,-187.757177,6.103240
0.020000,17.358473,8.027442,12.236747,8.824897,-5.000000,-62.242823,6.104657
0.020000,17.531205,7.996406,12.412245,8.724897,-5.000000,0.000000,6.106175
0.020000,17.702016,7.965991,12.585743,8.624897,-5.000000,-0.000000,6.107790
0.020000,17.870908,7.936208,12.757241,8.524897,-5.000000,0.000000,6.109498
0.020000,18.037882,7.907065,12.926739,8.424897,-5.000000,0.000000,6.111295
0.020000,18.202938,7.878569,13.094237,8.324897,-5.000000,0.000000,6.113177
0.020000,18.366077,7.850727,13.259735,8.224897,-5.000000,0.000000,6.115141
0.020000,18.527299,7.823544,13.423233,8.124897,-5.000000,0.000000,6.117183
0.020000,18.686605,7.797026,13.584730,8.024897,-5.000000,-0.000000,6.119300
0.020000,18.843994,7.771174,13.744228,7.924897,-5.000000,0.000000,6.121488
0.020000,18.999466,7.745992,13.901726,7.824897,-5.000000,0.000000,6.123742
0.020000,19.153020,7.721481,14.057224,7.724897,-5.000000,-0.000000,6.126061
0.020000,19.304655,7.697640,14.210722,7.624897,-5.000000,0.000000,6.128439
0.020000,19.454371,7.674471,14.362220,7.524897,-5.000000,-0.000000,6.130874
0.020000,19.602166,7.651972,14.511718,7.424897,-5.000000,0.000000,6.133363
0.020000,19.748039,7.630140,14.659216,7.324897,-5.000000,0.000000,6.135901
0.020000,19.891989,7.608973,14.804714,7.224897,-5.000000,-0.000000,6.138486
0.020000,20.034014,7.588467,14.948212,7.124897,-5.000000,0.000000,6.141114
0.020000,20.174113,7.568618,15.089710,7.024897,-5.000000,0.000000,6.143781
0.020000,20.312283,7.549420,15.229208,6.924897,-5.000000,-0.000000,6.146486
0.020000,20.448524,7.530868,15.366706,6.824897,-5.000000,0.000000,6.149224
0.020000,20.582833,7.512956,15.502204,6.724897,-5.000000,0.000000,6.151992
0.020000,20.715208,7.495676,15.635702,6.624897,-5.000000,-0.000000,6.154787
0.020000,20.845647,7.479022,15.767200,6.524897,-5.000000,0.000000,6.157607
0.020000,20.974148,7.462984,15.896698,6.424897,-5.000000,0.000000,6.160447
0.020000,21.100708,7.447555,16.024195,6.324897,-5.000000,-0.000000,6.163305
0.020000,21.225327,7.432725,16.149693,6.224897,-5.000000,0.000000,6.166179
0.020000,21.348001,7.418484,16.273191,6.124897,-5.000000,-0.000000,6.169064
0.020000,21.468729,7.404823,16.394689,6.024897,-5.000000,0.000000,6.171959
0.020000,21.587507,7.391730,16.514187,5.924897,-5.000000,0.000000,6.174860
0.020000,21.704335,7.379196,16.631685,5.824897,-5.000000,-0.000000,6.177765
0.020000,21.819209,7.367210,16.747183,5.724897,-5.000000,0.000000,6.180671
0.020000,21.932127,7.355758,16.860681,5.624897,-5.000000,0.000000,6.183574
0.020000,22.043089,7.344831,16.972179,5.524897,-5.000000,-0.000000,6.186474
0.020000,22.152090,7.334415,17.081677,5.424897,-5.000000,0.000000,6.189366
0.020000,22.259129,7.324498,17.189175,5.324897,-5.000000,0.000000,6.192249
0.020000,22.364205,7.315068,17.294673,5.224897,-5.000000,-0.000000,6.195119
0.020000,22.467315,7.306112,17.398171,5.124897,-5.000000,0.000000,6.197975
0.020000,22.568457,7.297617,17.499669,5.024897,-5.000000,0.000000,6.200815
0.020000,22.667628,7.289570,17.599167,4.924897,-5.000000,-0.000000,6.203634
0.020000,22.764829,7.281958,17.696665,4.824897,-5.000000,0.000000,6.206433
0.020000,22.860056,7.274767,17.792163,4.724897,-5.000000,0.000000,6.209207
0.020000,22.953307,7.267985,17.885661,4.624897,-5.000000,-0.000000,6.211955
0.020000,23.044582,7.261597,17.977158,4.524897,-5.000000,0.000000,6.214675
0.020000,23.133878,7.255590,18.066656,4.424897,-5.000000,-0.000000,6.217365
0.020000,23.221194,7.249951,18.154154,4.324897,-5.000000,0.000000,6.220023
0.020000,23.306528,7.244666,18.239652,4.224897,-5.000000,-0.000000,6.222646
0.020000,23.389880,7.239722,18.323150,4.124897,-5.000000,0.000000,6.225233
0.020000,23.471247,7.235105,18.404648,4.024897,-5.000000,-0.000000,6.227782
0.020000,23.550628,7.230802,18.484146,3.924897,-5.000000,0.000000,6.230291
0.020000,23.628023,7.226800,18.561644,3.824897,-5.000000,0.000000,6.232758
0.020000,23.703429,7.223086,18.637142,3.724897,-5.000000,-0.000000,6.235182
0.020000,23.776846,7.219646,18.710640,3.624897,-5.000000,0.000000,6.237561
0.020000,23.848274,7.216468,18.782138,3.524897,-5.000000,0.000000,6.239893
0.020000,23.917710,7.213540,18.851636,3.424897,-5.000000,0.000000,6.242177
0.020000,23.985154,7.210848,18.919134,3.324897,-5.000000,-0.000000,6.244411
0.020000,24.050606,7.208380,18.984632,3.224897,-5.000000,0.000000,6.246594
0.020000,24.114063,7.206125,19.048130,3.124897,-5.000000,0.000000,6.248725
0.020000,24.175527,7.204070,19.109628,3.024897,-5.000000,-0.000000,6.250801
0.020000,24.234996,7.202203,19.169126,2.924897,-5.000000,0.000000,6.252822
0.020000,24.292469,7.200514,19.226623,2.824897,-5.000000,0.000000,6.254786
