dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.272844,8.238988,0.002000,0.200000,10.000000,500.000000,6.282969
0.020000,5.273152,8.238988,0.002309,0.015436,-9.228198,-961.409913,6.283183
0.020000,5.283597,8.238990,0.012753,0.522229,25.339643,1728.392086,0.000353
0.020000,5.298308,8.238999,0.027465,0.735569,10.667010,-733.631655,0.000847
0.020000,5.317214,8.239021,0.046370,0.945268,10.484933,-9.103846,0.001476
0.020000,5.340306,8.239064,0.069462,1.154623,10.467760,-0.858656,0.002235
0.020000,5.367577,8.239137,0.096734,1.363553,10.446518,-1.062103,0.003117
0.020000,5.399016,8.239250,0.128173,1.571986,10.421620,-1.244918,0.004117
0.020000,5.434613,8.239417,0.163770,1.779843,10.392855,-1.438221,0.005226
0.020000,5.474353,8.239649,0.203511,1.987048,10.360259,-1.629834,0.006435
0.020000,5.518223,8.239960,0.247382,2.193529,10.324054,-1.810229,0.007734
0.020000,5.566205,8.240364,0.295366,2.399206,10.283826,-2.011398,0.009112
0.020000,5.618283,8.240876,0.347446,2.604010,10.240210,-2.180827,0.010556
0.020000,5.674436,8.241511,0.403603,2.807861,10.192566,-2.382198,0.012054
0.020000,5.734645,8.242284,0.463817,3.010691,10.141488,-2.553891,0.013592
0.020000,5.798887,8.243208,0.528065,3.212422,10.086563,-2.746241,0.015153
0.020000,5.867138,8.244296,0.596325,3.412984,10.028104,-2.922976,0.016723
0.020000,5.939373,8.245561,0.668571,3.612304,9.965981,-3.106115,0.018282
0.020000,6.015565,8.247013,0.744777,3.810308,9.900212,-3.288451,0.019814
0.020000,6.095687,8.248662,0.824916,4.006927,9.830949,-3.463160,0.021299
0.020000,6.179708,8.250512,0.908958,4.202086,9.757921,-3.651420,0.022717
0.020000,6.267599,8.252569,0.996872,4.395715,9.681473,-3.822379,0.024047
0.020000,6.359325,8.254832,1.088627,4.587742,9.601337,-4.006803,0.025265
0.020000,6.454855,8.257299,1.184189,4.778092,9.517537,-4.189997,0.026350
