dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.997774,11.439998,0.001000,0.100000,5.000000,250.000000,0.001546
0.020000,8.998243,11.439999,0.001469,0.023453,-3.827350,-441.367500,0.001220
0.020000,8.999025,11.440000,0.002251,0.039089,0.781804,230.457699,0.000677
0.020000,9.000883,11.440000,0.004109,0.092906,2.690821,95.450869,6.283102
0.020000,9.011292,11.439994,0.014518,0.520450,21.377205,934.319157,6.282125
0.020000,9.024013,11.439973,0.027239,0.636075,5.781252,-779.797641,6.280929
0.020000,9.039049,11.439928,0.042275,0.751772,5.784855,0.180162,6.279515
0.020000,9.056399,11.439851,0.059626,0.867543,5.788588,0.186640,6.277883
0.020000,9.076066,11.439728,0.079293,0.983357,5.790661,0.103687,6.276031
0.020000,9.098049,11.439548,0.101276,1.099178,5.791088,0.021346,6.273959
0.020000,9.122347,11.439296,0.125576,1.214976,5.789884,-0.060209,6.271667
0.020000,9.148966,11.438956,0.152197,1.331048,5.803614,0.686485,6.269153
0.020000,9.177901,11.438510,0.181135,1.446908,5.792954,-0.533005,6.266418
0.020000,9.209155,11.437940,0.212395,1.562972,5.803214,0.513013,6.263460
0.020000,9.242729,11.437224,0.245976,1.679093,5.806046,0.141602,6.260278
0.020000,9.278622,11.436341,0.281880,1.795201,5.805405,-0.032037,6.256872
0.020000,9.316836,11.435266,0.320109,1.911413,5.810614,0.260451,6.253241
0.020000,9.357369,11.433973,0.360663,2.027717,5.815212,0.229892,6.249385
0.020000,9.400220,11.432437,0.403541,2.143922,5.810237,-0.248751,6.245302
0.020000,9.445391,11.430627,0.448749,2.260377,5.822760,0.626126,6.240992
0.020000,9.492879,11.428514,0.496283,2.376709,5.816591,-0.308414,6.236454
0.020000,9.542682,11.426066,0.546146,2.493150,5.822033,0.272072,6.231688
0.020000,9.594799,11.423250,0.598339,2.609654,5.825204,0.158554,6.226692
0.020000,9.649227,11.420029,0.652863,2.726177,5.826144,0.047018,6.221468
0.020000,9.705962,11.416368,0.709716,2.842675,5.824899,-0.062289,6.216014
0.020000,9.765001,11.412227,0.768900,2.959163,5.824431,-0.023357,6.210331
0.020000,9.826339,11.407568,0.830415,3.075760,5.829831,0.269959,6.204418
0.020000,9.889970,11.402349,0.894260,3.192241,5.824071,-0.287960,6.198275
