dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.002070,8.560001,0.002000,0.200000,10.000000,500.000000,0.001437
0.020000,9.001132,8.560000,0.002938,0.046907,-7.654672,-882.733595,0.000786
0.020000,9.002332,8.560000,0.004139,0.060019,0.655614,415.514301,6.282885
0.020000,9.014141,8.559987,0.015948,0.590469,26.522519,1293.345250,6.281364
0.020000,9.029323,8.559945,0.031130,0.759095,8.431290,-904.561448,6.279407
0.020000,9.047874,8.559852,0.049681,0.927552,8.422863,-0.421354,6.277012
0.020000,9.069792,8.559686,0.071600,1.095944,8.419598,-0.163237,6.274177
0.020000,9.095074,8.559417,0.096883,1.264182,8.411902,-0.384806,6.270902
0.020000,9.123717,8.559012,0.125529,1.432290,8.405396,-0.325314,6.267184
0.020000,9.155717,8.558433,0.157534,1.600243,8.397635,-0.388051,6.263021
0.020000,9.191069,8.557639,0.192895,1.768040,8.389850,-0.389264,6.258411
0.020000,9.229769,8.556582,0.231609,1.935723,8.384138,-0.285573,6.253352
0.020000,9.271812,8.555211,0.273675,2.103266,8.377182,-0.347807,6.247841
0.020000,9.317189,8.553471,0.319085,2.270521,8.362711,-0.723550,6.241877
0.020000,9.365897,8.551301,0.367841,2.437803,8.364132,0.071048,6.235457
0.020000,9.417926,8.548637,0.419938,2.604858,8.352749,-0.569158,6.228580
0.020000,9.473270,8.545408,0.475377,2.771939,8.354023,0.063733,6.221245
0.020000,9.531920,8.541542,0.534154,2.938826,8.344360,-0.483190,6.213452
0.020000,9.593866,8.536958,0.596269,3.105790,8.348190,0.191519,6.205199
0.020000,9.659100,8.531574,0.661725,3.272785,8.349766,0.078775,6.196488
0.020000,9.727610,8.525303,0.730522,3.439829,8.352223,0.122883,6.187319
0.020000,9.799387,8.518053,0.802664,3.607098,8.363428,0.560225,6.177696
0.020000,9.874419,8.509726,0.878157,3.774655,8.377874,0.722304,6.167622
0.020000,9.952694,8.500222,0.957007,3.942502,8.392330,0.722801,6.157101
0.020000,10.034200,8.489436,1.039223,4.110828,8.416320,1.199488,6.146141
0.020000,10.118924,8.477259,1.124818,4.279721,8.444608,1.414407,6.134748
0.020000,10.206852,8.463579,1.213804,4.449294,8.478693,1.704269,6.122934
0.020000,10.297973,8.448278,1.306200,4.619815,8.526036,2.367167,6.110709
0.020000,10.392270,8.431237,1.402025,4.791240,8.571238,2.260086,6.098088
0.020000,10.489730,8.412331,1.501302,4.963842,8.630122,2.944187,6.085086
0.020000,10.590340,8.391434,1.604058,5.137836,8.699670,3.477380,6.071723
0.020000,10.694083,8.368418,1.710324,5.313289,8.772642,3.648626,6.058020
0.020000,10.800945,8.343150,1.820133,5.490444,8.857756,4.255685,6.043999
0.020000,10.910912,8.315497,1.933524,5.669538,8.954736,4.848997,6.029687
0.020000,11.023969,8.285324,2.050537,5.850663,9.056248,5.075607,6.015114
0.020000,11.140099,8.252496,2.171218,6.034077,9.170661,5.720675,6.000310
0.020000,11.259290,8.216877,2.295617,6.219937,9.293028,6.118322,5.985311
0.020000,11.381524,8.178330,2.423786,6.408436,9.424963,6.596774,5.970151
0.020000,11.506790,8.136721,2.555781,6.599750,9.565679,7.035780,5.954870
0.020000,11.635070,8.091916,2.691661,6.793997,9.712368,7.334477,5.939510
0.020000,11.766352,8.043785,2.831488,6.991335,9.866871,7.725119,5.924113
0.020000,11.900621,7.992199,2.975325,7.191888,10.027660,8.039470,5.908724
0.020000,12.037865,7.937036,3.123240,7.395748,10.193024,8.268184,5.893388
0.020000,12.178072,7.878177,3.275301,7.603012,10.363164,8.507029,5.878153
0.020000,12.321230,7.815509,3.431575,7.813710,10.534915,8.587508,5.863067
0.020000,12.465727,7.749671,3.590364,7.939461,6.287543,-212.368591,5.848338
0.020000,12.609962,7.681416,3.749934,7.978493,1.951630,-216.795660,5.834151
0.020000,12.753948,7.610812,3.910298,8.018232,1.986927,1.764852,5.820517
0.020000,12.897696,7.537926,4.071469,8.058527,2.014743,1.390813,5.807441
0.020000,13.041223,7.462831,4.233454,8.099245,2.035892,1.057431,5.794932
0.020000,13.184542,7.385597,4.396259,8.140263,2.050926,0.751724,5.782992
0.020000,13.327673,7.306298,4.559889,8.181473,2.060496,0.478475,5.771624
0.020000,13.470634,7.225011,4.724344,8.222778,2.065260,0.238216,5.760830
