dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.996912,11.439997,0.001000,0.099975,4.998754,249.937703,0.002145
0.020000,8.997547,11.439998,0.001635,0.031768,-3.410332,-420.454286,0.001703
0.020000,8.998607,11.439999,0.002695,0.052988,1.060973,223.565220,0.000968
0.020000,9.000526,11.440000,0.004615,0.095982,2.149681,54.435422,6.283121
0.020000,9.011443,11.439992,0.015531,0.545823,22.492097,1017.120782,6.281791
0.020000,9.024787,11.439963,0.028875,0.667207,6.069168,-821.146450,6.280161
0.020000,9.040567,11.439900,0.044656,0.789021,6.090685,1.075862,6.278227
0.020000,9.058792,11.439789,0.062881,0.911260,6.111958,1.063638,6.275985
0.020000,9.079469,11.439614,0.083558,1.033858,6.129917,0.897935,6.273429
0.020000,9.102602,11.439355,0.106693,1.156749,6.144567,0.732513,6.270555
0.020000,9.128197,11.438990,0.132290,1.279868,6.155927,0.568002,6.267357
0.020000,9.156270,11.438497,0.160367,1.403857,6.199463,2.176811,6.263829
0.020000,9.186820,11.437846,0.190925,1.527889,6.201587,0.106186,6.259962
0.020000,9.219873,11.437009,0.223989,1.653170,6.264054,3.123365,6.255749
0.020000,9.255429,11.435952,0.259560,1.778577,6.270373,0.315962,6.251181
0.020000,9.293501,11.434639,0.297655,1.904750,6.308651,1.913888,6.246248
0.020000,9.334102,11.433031,0.338287,2.031619,6.343451,1.739981,6.240940
0.020000,9.377252,11.431084,0.381481,2.159693,6.403686,3.011787,6.235245
0.020000,9.422956,11.428752,0.427245,2.288179,6.424308,1.031096,6.229153
0.020000,9.471234,11.425984,0.475602,2.417869,6.484471,3.008112,6.222649
0.020000,9.522096,11.422724,0.526568,2.548304,6.521780,1.865475,6.215720
0.020000,9.575560,11.418914,0.580168,2.679982,6.583888,3.105378,6.208351
0.020000,9.631642,11.414489,0.636424,2.812819,6.641828,2.897014,6.200527
0.020000,9.690355,11.409380,0.695359,2.946730,6.695552,2.686202,6.192231
0.020000,9.751708,11.403513,0.756992,3.081636,6.745304,2.487581,6.183447
0.020000,9.815729,11.396807,0.821363,3.218574,6.846887,5.079176,6.174155
0.020000,9.882418,11.389176,0.888487,3.356193,6.880951,1.703195,6.164337
0.020000,9.951789,11.380528,0.958396,3.495446,6.962662,4.085571,6.153974
0.020000,10.023855,11.370764,1.031120,3.636215,7.038476,3.790677,6.143044
0.020000,10.098620,11.359779,1.106688,3.778373,7.107867,3.469530,6.131527
0.020000,10.176091,11.347459,1.185133,3.922241,7.193404,4.276858,6.119402
0.020000,10.256266,11.333685,1.266482,4.067455,7.260735,3.366548,6.106647
0.020000,10.339147,11.318327,1.350773,4.214587,7.356564,4.791460,6.093239
0.020000,10.424718,11.301250,1.438032,4.362950,7.418181,3.080867,6.079158
0.020000,10.512970,11.282311,1.528294,4.513060,7.505461,4.363979,6.064381
0.020000,10.603878,11.261358,1.621585,4.664546,7.574336,3.443742,6.048889
0.020000,10.697408,11.238232,1.717932,4.817353,7.640355,3.300993,6.032662
0.020000,10.793521,11.212768,1.817360,4.971428,7.703757,3.170095,6.015684
0.020000,10.892164,11.184791,1.919893,5.126664,7.761765,2.900365,5.997938
0.020000,10.993268,11.154125,2.025546,5.282644,7.798988,1.861170,5.979414
0.020000,11.096756,11.120586,2.134333,5.439340,7.834823,1.791733,5.960102
0.020000,11.202526,11.083989,2.246256,5.596162,7.841097,0.313704,5.940000
0.020000,11.310468,11.044145,2.361317,5.753024,7.843121,0.101202,5.919109
0.020000,11.420445,11.000868,2.479502,5.909275,7.812532,-1.529452,5.897436
0.020000,11.532299,10.953978,2.600787,6.064244,7.748471,-3.203035,5.874998
0.020000,11.645861,10.903296,2.725146,6.217924,7.683981,-3.224527,5.851815
0.020000,11.760929,10.848659,2.852526,6.369040,7.555816,-6.408229,5.827921
0.020000,11.877285,10.789914,2.982871,6.517221,7.409049,-7.338362,5.803357
0.020000,11.994695,10.726924,3.116110,6.661955,7.236705,-8.617183,5.778172
