dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.000000,10.000000,0.001000,0.099975,4.998754,249.937703,0.002145
0.020000,9.000000,10.000000,0.003999,0.199950,4.998754,0.000000,0.001703
0.020000,9.000000,10.000000,0.008998,0.299925,4.998754,0.000000,0.000968
0.020000,9.000434,10.000000,0.015996,0.399900,4.998754,-0.000000,6.283121
0.020000,9.009436,9.999993,0.024994,0.499875,4.998754,0.000000,6.281791
0.020000,9.020433,9.999969,0.035991,0.599850,4.998754,0.000000,6.280161
0.020000,9.033428,9.999917,0.048988,0.699826,4.998754,0.000000,6.278227
0.020000,9.048423,9.999826,0.063984,0.799801,4.998754,-0.000000,6.275985
0.020000,9.065419,9.999682,0.080980,0.899776,4.998754,0.000000,6.273429
0.020000,9.084415,9.999469,0.099975,0.999751,4.998754,0.000000,6.270555
0.020000,9.105406,9.999171,0.120970,1.099726,4.998754,0.000000,6.267357
0.020000,9.128398,9.998766,0.143964,1.199701,4.998754,-0.000000,6.263829
0.020000,9.153382,9.998234,0.168958,1.299676,4.998754,0.000000,6.259962
0.020000,9.180370,9.997551,0.195951,1.399651,4.998754,-0.000000,6.255749
0.020000,9.209350,9.996689,0.224944,1.499626,4.998754,0.000000,6.251181
0.020000,9.240323,9.995621,0.255936,1.599601,4.998754,0.000000,6.246248
0.020000,9.273287,9.994316,0.288928,1.699576,4.998754,0.000000,6.240940
0.020000,9.308245,9.992738,0.323919,1.799551,4.998754,-0.000000,6.235245
0.020000,9.345187,9.990854,0.360910,1.899527,4.998754,0.000000,6.229153
0.020000,9.384114,9.988621,0.399900,1.999502,4.998754,-0.000000,6.222649
0.020000,9.425019,9.986000,0.440890,2.099477,4.998754,0.000000,6.215720
0.020000,9.467899,9.982945,0.483879,2.199452,4.998754,-0.000000,6.208351
0.020000,9.512749,9.979406,0.528868,2.299427,4.998754,0.000000,6.200527
0.020000,9.559561,9.975333,0.575856,2.399402,4.998754,0.000000,6.192231
0.020000,9.608322,9.970670,0.624844,2.499377,4.998754,0.000000,6.183447
0.020000,9.659035,9.965357,0.675832,2.599352,4.998754,-0.000000,6.174155
0.020000,9.711678,9.959334,0.728818,2.699327,4.998754,0.000000,6.164337
0.020000,9.766242,9.952532,0.783805,2.799302,4.998754,0.000000,6.153974
0.020000,9.822712,9.944882,0.840790,2.899277,4.998754,0.000000,6.143044
0.020000,9.881069,9.936308,0.899776,2.999252,4.998754,0.000000,6.131527
0.020000,9.941297,9.926730,0.960761,3.099228,4.998754,0.000000,6.119402
0.020000,10.003369,9.916066,1.023745,3.199203,4.998754,0.000000,6.106647
0.020000,10.067266,9.904226,1.088729,3.299178,4.998754,0.000000,6.093239
0.020000,10.132953,9.891118,1.155712,3.399153,4.998754,-0.000000,6.079158
0.020000,10.200400,9.876644,1.224695,3.499128,4.998754,0.000000,6.064381
0.020000,10.269569,9.860702,1.295677,3.599103,4.998754,0.000000,6.048889
0.020000,10.340417,9.843185,1.368659,3.699078,4.998754,0.000000,6.032662
0.020000,10.412896,9.823982,1.443640,3.799053,4.998754,-0.000000,6.015684
0.020000,10.486955,9.802979,1.520621,3.899028,4.998754,0.000000,5.997938
