dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.002877,8.560003,0.002000,0.200000,10.000000,500.000000,0.001998
0.020000,9.001605,8.560001,0.003272,0.063583,-6.820844,-841.042196,0.001114
0.020000,9.001922,8.560000,0.003588,0.015839,-2.387226,221.680900,6.282825
0.020000,9.012938,8.559984,0.014605,0.550805,26.748329,1456.777752,6.280754
0.020000,9.027083,8.559931,0.028750,0.707285,7.823980,-946.217460,6.278076
0.020000,9.044339,8.559814,0.046006,0.862791,7.775299,-2.434054,6.274781
0.020000,9.064684,8.559604,0.066352,1.017310,7.725943,-2.467808,6.270855
0.020000,9.088095,8.559261,0.089766,1.170698,7.669408,-2.826717,6.266281
0.020000,9.114546,8.558745,0.116221,1.322762,7.603208,-3.310030,6.261041
0.020000,9.143997,8.558006,0.145682,1.473018,7.512812,-4.519808,6.255114
0.020000,9.176419,8.556988,0.178120,1.621920,7.445108,-3.385153,6.248472
0.020000,9.211762,8.555630,0.213489,1.768429,7.325447,-5.983092,6.241090
0.020000,9.249979,8.553865,0.251747,1.912886,7.222853,-5.129673,6.232935
0.020000,9.291011,8.551618,0.292840,2.054698,7.090573,-6.614028,6.223974
0.020000,9.334799,8.548807,0.336719,2.193929,6.961566,-6.450317,6.214167
0.020000,9.381272,8.545346,0.383321,2.330079,6.807509,-7.702851,6.203474
0.020000,9.430354,8.541140,0.432582,2.463089,6.650463,-7.852296,6.191850
0.020000,9.481957,8.536087,0.484432,2.592496,6.470354,-9.005460,6.179245
0.020000,9.535987,8.530080,0.538795,2.718119,6.281155,-9.459983,6.165610
0.020000,9.592345,8.523004,0.595595,2.840025,6.095303,-9.292592,6.150887
0.020000,9.650915,8.514740,0.654746,2.957524,5.874966,-11.016853,6.135020
0.020000,9.711578,8.505158,0.716161,3.070742,5.660878,-10.704379,6.117948
0.020000,9.774207,8.494127,0.779754,3.179663,5.446053,-10.741259,6.099610
0.020000,9.838663,8.481507,0.845434,3.284009,5.217322,-11.436543,6.079945
0.020000,9.904804,8.467153,0.913114,3.384016,5.000350,-10.848608,6.058891
0.020000,9.972483,8.450916,0.982714,3.479985,4.798452,-10.094881,6.036393
0.020000,10.041552,8.432637,1.054160,3.572326,4.617023,-9.071482,6.012397
0.020000,10.111858,8.412155,1.127389,3.661432,4.455320,-8.085137,5.986864
0.020000,10.183260,8.389299,1.202360,3.748549,4.355833,-4.974348,5.959761
0.020000,10.255621,8.363891,1.279053,3.834627,4.303927,-2.595290,5.931078
0.020000,10.328823,8.335737,1.357482,3.921450,4.341139,1.860610,5.900822
0.020000,10.402761,8.304634,1.437695,4.010680,4.461523,6.019164,5.869030
0.020000,10.477359,8.270356,1.519792,4.104829,4.707433,12.295520,5.835766
0.020000,10.552563,8.232655,1.603917,4.206261,5.071570,18.206846,5.801133
0.020000,10.628349,8.191256,1.690273,4.317788,5.576350,25.239016,5.765273
0.020000,10.704719,8.145852,1.779120,4.442367,6.228973,32.631121,5.728365
0.020000,10.781698,8.096105,1.870775,4.582728,7.018026,39.452686,5.690629
0.020000,10.859327,8.041642,1.965604,4.741449,7.936056,45.901486,5.652320
0.020000,10.937656,7.982062,2.064017,4.920669,8.961015,51.247954,5.613723
0.020000,11.016730,7.916944,2.166453,5.121788,10.055931,54.745804,5.575141
0.020000,11.096586,7.845860,2.273363,5.345514,11.186313,56.519084,5.536889
0.020000,11.177238,7.768385,2.385198,5.591763,12.312465,56.307606,5.499279
0.020000,11.258678,7.684115,2.502391,5.859615,13.392609,54.007183,5.462612
0.020000,11.340875,7.592680,2.625341,6.147498,14.394127,50.075922,5.427165
0.020000,11.423776,7.493758,2.754407,6.453324,15.291286,44.857950,5.393187
0.020000,11.506405,7.388286,2.888392,6.699235,12.295568,-149.785930,5.361237
0.020000,11.587835,7.277496,3.025888,6.874830,8.779771,-175.789846,5.331724
0.020000,11.668083,7.161580,3.166871,7.049134,8.715169,-3.230104,5.304631
