dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.810472,6.036859,0.000991,0.099080,4.953993,247.699659,1.545197
0.020000,21.810482,6.037243,0.001375,0.019226,-3.992677,-447.333487,1.545030
0.020000,21.810620,6.042596,0.006730,0.267745,12.425941,820.930858,1.544751
0.020000,21.810817,6.050088,0.014225,0.374746,5.350031,-353.795484,1.544363
0.020000,21.811074,6.059718,0.023858,0.481649,5.345183,-0.242417,1.543866
0.020000,21.811394,6.071482,0.035627,0.588428,5.338917,-0.313286,1.543262
0.020000,21.811782,6.085378,0.049528,0.695053,5.331273,-0.382210,1.542553
0.020000,21.812241,6.101401,0.065558,0.801498,5.322229,-0.452175,1.541742
0.020000,21.812777,6.119548,0.083712,0.907733,5.311779,-0.522523,1.540832
0.020000,21.813395,6.139813,0.103987,1.013732,5.299949,-0.591485,1.539825
0.020000,21.814100,6.162191,0.126376,1.119466,5.286699,-0.662505,1.538726
0.020000,21.814900,6.186676,0.150874,1.224907,5.272040,-0.732929,1.537539
0.020000,21.815802,6.213262,0.177475,1.330027,5.255984,-0.802819,1.536267
0.020000,21.816812,6.241940,0.206171,1.434797,5.238518,-0.873283,1.534917
0.020000,21.817938,6.272703,0.236955,1.539190,5.219637,-0.944055,1.533493
0.020000,21.819188,6.305543,0.269818,1.643177,5.199340,-1.014869,1.532001
0.020000,21.820570,6.340450,0.304753,1.746729,5.177630,-1.085487,1.530447
0.020000,21.822093,6.377415,0.341749,1.849820,5.154512,-1.155896,1.528837
0.020000,21.823763,6.416428,0.380798,1.952419,5.129971,-1.227056,1.527178
0.020000,21.825590,6.457477,0.421888,2.054499,5.104014,-1.297846,1.525477
0.020000,21.827581,6.500552,0.465008,2.156032,5.076649,-1.368243,1.523742
0.020000,21.829744,6.545640,0.510148,2.256990,5.047868,-1.439054,1.521982
0.020000,21.832087,6.592728,0.557295,2.357343,5.017678,-1.509488,1.520203
0.020000,21.834616,6.641804,0.606436,2.457065,4.986081,-1.579866,1.518416
0.020000,21.837339,6.692854,0.657559,2.556126,4.953079,-1.650125,1.516629
0.020000,21.840260,6.745864,0.710649,2.654500,4.918675,-1.720185,1.514852
0.020000,21.843387,6.800818,0.765692,2.752157,4.882874,-1.790038,1.513094
0.020000,21.846723,6.857702,0.822673,2.849071,4.845678,-1.859831,1.511367
0.020000,21.850271,6.916499,0.881578,2.945213,4.807093,-1.929242,1.509680
0.020000,21.854036,6.977194,0.942389,3.040555,4.767118,-1.998756,1.508045
0.020000,21.858018,7.039769,1.005090,3.135070,4.725760,-2.067856,1.506474
0.020000,21.862217,7.104206,1.069665,3.228731,4.683019,-2.137071,1.504978
0.020000,21.866634,7.170490,1.136095,3.321509,4.638897,-2.206111,1.503569
0.020000,21.871265,7.238600,1.204362,3.413377,4.593395,-2.275068,1.502261
0.020000,21.876107,7.308519,1.274449,3.504307,4.546508,-2.344355,1.501066
0.020000,21.881155,7.380227,1.346334,3.594272,4.498242,-2.413327,1.499997
0.020000,21.886401,7.453704,1.419999,3.683243,4.448587,-2.482750,1.499069
0.020000,21.891837,7.528932,1.495423,3.771194,4.397539,-2.552409,1.498296
0.020000,21.897451,7.605890,1.572585,3.858096,4.345093,-2.622256,1.497691
0.020000,21.903230,7.684556,1.651463,3.943921,4.291242,-2.692585,1.497271
0.020000,21.909159,7.764910,1.732036,4.028640,4.235975,-2.763334,1.497050
0.020000,21.915220,7.846931,1.814280,4.112226,4.179286,-2.834479,1.497044
0.020000,21.921394,7.930597,1.898173,4.194649,4.121162,-2.906159,1.497270
0.020000,21.927575,8.014755,1.982558,4.219250,1.230040,-144.556129,1.497735
0.020000,21.933601,8.097449,2.065471,4.145643,-3.680367,-245.520339,1.498429
0.020000,21.939396,8.177872,2.146103,4.031584,-5.702956,-101.129467,1.499330
0.020000,21.944951,8.256048,2.224476,3.918680,-5.645159,2.889867,1.500424
0.020000,21.950258,8.332001,2.300615,3.806905,-5.588758,2.820075,1.501694
0.020000,21.955310,8.405753,2.374539,3.696230,-5.533744,2.750677,1.503125
0.020000,21.960106,8.477325,2.446272,3.586628,-5.480113,2.681559,1.504702
0.020000,21.964642,8.546738,2.515833,3.478071,-5.427852,2.613054,1.506410
0.020000,21.968918,8.614013,2.583244,3.370532,-5.376964,2.544403,1.508237
0.020000,21.972938,8.679169,2.648523,3.263983,-5.327444,2.475976,1.510167
