dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.250000,6.000000,0.000991,0.099080,4.953993,247.699659,1.545197
0.020000,23.250004,6.000143,0.003963,0.198160,4.953993,0.000000,1.545030
0.020000,23.250132,6.005096,0.008917,0.297240,4.953993,-0.000000,1.544751
0.020000,23.250314,6.012029,0.015853,0.396319,4.953993,0.000000,1.544363
0.020000,23.250552,6.020943,0.024770,0.495399,4.953993,-0.000000,1.543866
0.020000,23.250849,6.031838,0.035669,0.594479,4.953993,0.000000,1.543262
0.020000,23.251208,6.044713,0.048549,0.693559,4.953993,0.000000,1.542553
0.020000,23.251634,6.059569,0.063411,0.792639,4.953993,0.000000,1.541742
0.020000,23.252131,6.076405,0.080255,0.891719,4.953993,0.000000,1.540832
0.020000,23.252704,6.095222,0.099080,0.990799,4.953993,-0.000000,1.539825
0.020000,23.253360,6.116018,0.119887,1.089878,4.953993,0.000000,1.538726
0.020000,23.254104,6.138794,0.142675,1.188958,4.953993,0.000000,1.537539
0.020000,23.254943,6.163550,0.167445,1.288038,4.953993,0.000000,1.536267
0.020000,23.255885,6.190285,0.194197,1.387118,4.953993,0.000000,1.534917
0.020000,23.256936,6.218999,0.222930,1.486198,4.953993,-0.000000,1.533493
0.020000,23.258105,6.249691,0.253644,1.585278,4.953993,0.000000,1.532001
0.020000,23.259398,6.282362,0.286341,1.684358,4.953993,-0.000000,1.530447
0.020000,23.260825,6.317011,0.321019,1.783438,4.953993,0.000000,1.528837
0.020000,23.262394,6.353637,0.357678,1.882517,4.953993,-0.000000,1.527178
0.020000,23.264111,6.392240,0.396319,1.981597,4.953993,0.000000,1.525477
0.020000,23.265987,6.432819,0.436942,2.080677,4.953993,0.000000,1.523742
0.020000,23.268029,6.475374,0.479547,2.179757,4.953993,-0.000000,1.521982
0.020000,23.270244,6.519905,0.524132,2.278837,4.953993,0.000000,1.520203
0.020000,23.272641,6.566411,0.570700,2.377917,4.953993,0.000000,1.518416
0.020000,23.275227,6.614891,0.619249,2.476997,4.953993,0.000000,1.516629
0.020000,23.278008,6.665345,0.669780,2.576076,4.953993,-0.000000,1.514852
0.020000,23.280990,6.717773,0.722292,2.675156,4.953993,0.000000,1.513094
0.020000,23.284180,6.772173,0.776786,2.774236,4.953993,0.000000,1.511367
0.020000,23.287583,6.828546,0.833262,2.873316,4.953993,-0.000000,1.509680
0.020000,23.291202,6.886891,0.891719,2.972396,4.953993,0.000000,1.508045
0.020000,23.295040,6.947208,0.952157,3.071476,4.953993,0.000000,1.506474
0.020000,23.299099,7.009496,1.014578,3.170556,4.953993,0.000000,1.504978
0.020000,23.303381,7.073756,1.078980,3.269635,4.953993,-0.000000,1.503569
0.020000,23.307884,7.139986,1.145363,3.368715,4.953993,0.000000,1.502261
0.020000,23.312608,7.208188,1.213728,3.467795,4.953993,0.000000,1.501066
0.020000,23.317548,7.278361,1.284075,3.566875,4.953993,0.000000,1.499997
0.020000,23.322699,7.350506,1.356403,3.665955,4.953993,-0.000000,1.499069
0.020000,23.328054,7.424622,1.430713,3.765035,4.953993,0.000000,1.498296
0.020000,23.333604,7.500712,1.507005,3.864115,4.953993,0.000000,1.497691
0.020000,23.339339,7.578774,1.585278,3.963195,4.953993,-0.000000,1.497271
0.020000,23.345245,7.658812,1.665533,4.062274,4.953993,0.000000,1.497050
0.020000,23.351306,7.740824,1.747769,4.161354,4.953993,0.000000,1.497044
0.020000,23.357504,7.824814,1.831987,4.260434,4.953993,-0.000000,1.497270
0.020000,23.363734,7.909641,1.917042,4.245115,-0.765936,-285.996465,1.497735
0.020000,23.369832,7.993330,2.000954,4.146036,-4.953993,-209.402852,1.498429
0.020000,23.375720,8.075048,2.082884,4.046956,-4.953993,0.000000,1.499330
0.020000,23.381387,8.154796,2.162832,3.947876,-4.953993,-0.000000,1.500424
0.020000,23.386821,8.232573,2.240799,3.848796,-4.953993,0.000000,1.501694
0.020000,23.392014,8.308380,2.316784,3.749716,-4.953993,0.000000,1.503125
0.020000,23.396961,8.382218,2.390787,3.650636,-4.953993,0.000000,1.504702
0.020000,23.401658,8.454087,2.462809,3.551556,-4.953993,0.000000,1.506410
0.020000,23.406101,8.523986,2.532850,3.452476,-4.953993,0.000000,1.508237
0.020000,23.410292,8.591916,2.600908,3.353397,-4.953993,-0.000000,1.510167
0.020000,23.414230,8.657875,2.666985,3.254317,-4.953993,0.000000,1.512187
0.020000,23.417918,8.721865,2.731081,3.155237,-4.953993,0.000000,1.514284
0.020000,23.421360,8.783883,2.793195,3.056157,-4.953993,-0.000000,1.516447
0.020000,23.424560,8.843930,2.853327,2.957077,-4.953993,0.000000,1.518662
0.020000,23.427526,8.902005,2.911478,2.857997,-4.953993,0.000000,1.520917
0.020000,23.430263,8.958108,2.967647,2.758917,-4.953993,-0.000000,1.523202
0.020000,23.432779,9.012237,3.021835,2.659838,-4.953993,0.000000,1.525505
0.020000,23.435083,9.064392,3.074041,2.560758,-4.953993,0.000000,1.527815
0.020000,23.437183,9.114572,3.124265,2.461678,-4.953993,0.000000,1.530123
0.020000,23.439090,9.162777,3.172508,2.362598,-4.953993,0.000000,1.532418
0.020000,23.440812,9.209006,3.218769,2.263518,-4.953993,-0.000000,1.534690
0.020000,23.442362,9.253259,3.263048,2.164438,-4.953993,0.000000,1.536931
0.020000,23.443747,9.295534,3.305346,2.065358,-4.953993,-0.000000,1.539132
0.020000,23.444981,9.335832,3.345663,1.966279,-4.953993,0.000000,1.541285
0.020000,23.446072,9.374151,3.383998,1.867199,-4.953993,-0.000000,1.543381
0.020000,23.447031,9.410491,3.420351,1.768119,-4.953993,0.000000,1.545414
0.020000,23.447870,9.444853,3.454722,1.669039,-4.953993,-0.000000,1.547375
0.020000,23.448598,9.477234,3.487112,1.569959,-4.953993,0.000000,1.549259
0.020000,23.449226,9.507636,3.517521,1.470879,-4.953993,0.000000,1.551058
0.020000,23.449763,9.536058,3.545947,1.371799,-4.953993,0.000000,1.552768
0.020000,23.450218,9.562499,3.572393,1.272720,-4.953993,-0.000000,1.554382
0.020000,23.450601,9.586960,3.596856,1.173640,-4.953993,0.000000,1.555895
0.020000,23.450920,9.609440,3.619338,1.074560,-4.953993,-0.000000,1.557303
0.020000,23.451184,9.629938,3.639839,0.975480,-4.953993,-0.000000,1.558602
0.020000,23.451399,9.648456,3.658357,0.876400,-4.953993,0.000000,1.559786
0.020000,23.451572,9.664992,3.674895,0.777320,-4.953993,-0.000000,1.560853
0.020000,23.451710,9.679547,3.689450,0.678240,-4.953993,0.000000,1.561800
0.020000,23.451818,9.692121,3.702024,0.579160,-4.953993,0.000000,1.562623
0.020000,23.451901,9.702713,3.712617,0.480081,-4.953993,0.000000,1.563320
0.020000,23.451962,9.711323,3.721227,0.381001,-4.953993,0.000000,1.563890
0.020000,23.452007,9.717952,3.727857,0.281921,-4.953993,0.000000,1.564330
0.020000,23.452036,9.722600,3.732504,0.182841,-4.953993,-0.000000,1.564640
0.020000,23.452052,9.725266,3.735170,0.083761,-4.953993,0.000000,1.564817
0.020000,23.452057,9.726103,3.736008,0.000000,-4.188057,38.296807,1.564873
0.020000,23.452057,9.726103,3.736008,0.000000,0.000000,209.402852,1.564873
