dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.689528,5.963141,0.000991,0.099080,4.953993,247.699659,1.545197
0.020000,24.689526,5.963044,0.001088,0.004884,-4.709807,-483.190014,1.545030
0.020000,24.689644,5.967595,0.005642,0.227654,11.138533,792.416989,1.544751
0.020000,24.689811,5.973969,0.012018,0.318813,4.557940,-329.029652,1.544363
0.020000,24.690030,5.982168,0.020219,0.410069,4.562815,0.243778,1.543866
0.020000,24.690303,5.992193,0.030248,0.501451,4.569061,0.312293,1.543262
0.020000,24.690634,6.004048,0.042108,0.592985,4.576714,0.382628,1.542553
0.020000,24.691026,6.017737,0.055802,0.684700,4.585759,0.452266,1.541742
0.020000,24.691484,6.033262,0.071334,0.776624,4.596195,0.521788,1.540832
0.020000,24.692013,6.050630,0.088710,0.868785,4.608049,0.592718,1.539825
0.020000,24.692619,6.069845,0.107934,0.961211,4.621291,0.662118,1.538726
0.020000,24.693308,6.090912,0.129013,1.053930,4.635936,0.732254,1.537539
0.020000,24.694085,6.113838,0.151952,1.146970,4.651998,0.803067,1.536267
0.020000,24.694958,6.138630,0.176759,1.240359,4.669470,0.873591,1.534917
0.020000,24.695935,6.165295,0.203442,1.334126,4.688350,0.944025,1.533493
0.020000,24.697021,6.193840,0.232008,1.428299,4.708641,1.014565,1.532001
0.020000,24.698226,6.224274,0.262466,1.522906,4.730349,1.085381,1.530447
0.020000,24.699558,6.256606,0.294826,1.617975,4.753478,1.156441,1.528837
0.020000,24.701024,6.290846,0.329096,1.713536,4.778015,1.226858,1.527178
0.020000,24.702633,6.327002,0.365289,1.809615,4.803966,1.297557,1.525477
0.020000,24.704393,6.365086,0.403413,1.906242,4.831336,1.368508,1.523742
0.020000,24.706314,6.405109,0.443482,2.003444,4.860115,1.438950,1.521982
0.020000,24.708402,6.447082,0.485507,2.101250,4.890306,1.509527,1.520203
0.020000,24.710666,6.491018,0.529501,2.199688,4.921904,1.579911,1.518416
0.020000,24.713115,6.536928,0.575477,2.298786,4.954906,1.650118,1.516629
