dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.479863,4.581360,0.000994,0.099370,4.968516,248.425821,2.416411
0.020000,23.479002,4.582125,0.002146,0.057591,-2.088973,-352.874446,2.415612
0.020000,23.475692,4.585067,0.006574,0.221418,8.191364,514.016813,2.414277
0.020000,23.468489,4.591491,0.016226,0.482601,13.059140,243.388797,2.412405
0.020000,23.459237,4.599777,0.028646,0.620990,6.919443,-306.984846,2.409990
0.020000,23.447943,4.609947,0.043844,0.759902,6.945621,1.308893,2.407027
0.020000,23.434618,4.622025,0.061828,0.899201,6.964916,0.964765,2.403509
0.020000,23.419273,4.636039,0.082609,1.039075,6.993709,1.439634,2.399428
0.020000,23.401920,4.652028,0.106205,1.179772,7.034869,2.058011,2.394774
0.020000,23.382578,4.670027,0.132626,1.321082,7.065512,1.532178,2.389537
0.020000,23.361264,4.690081,0.161891,1.463248,7.108303,2.139516,2.383705
0.020000,23.338000,4.712241,0.194020,1.606458,7.160465,2.608102,2.377265
0.020000,23.312813,4.736560,0.229032,1.750554,7.204840,2.218756,2.370204
0.020000,23.285732,4.763096,0.266946,1.895742,7.259358,2.725926,2.362506
0.020000,23.256790,4.791914,0.307789,2.042145,7.320183,3.041233,2.354155
0.020000,23.226027,4.823083,0.351583,2.189673,7.376369,2.809300,2.345135
0.020000,23.193487,4.856675,0.398352,2.338440,7.438354,3.099261,2.335428
0.020000,23.159219,4.892771,0.448123,2.488569,7.506462,3.405368,2.325017
0.020000,23.123281,4.931450,0.500921,2.639901,7.566590,3.006442,2.313884
0.020000,23.085739,4.972801,0.556772,2.792532,7.631579,3.249442,2.302012
0.020000,23.046665,5.016913,0.615701,2.946452,7.695996,3.220852,2.289381
0.020000,23.006141,5.063879,0.677733,3.101619,7.758345,3.117433,2.275976
0.020000,22.964262,5.113794,0.742889,3.257808,7.809433,2.554393,2.261781
0.020000,22.921130,5.166752,0.811190,3.415021,7.860665,2.561594,2.246783
0.020000,22.876860,5.222849,0.882651,3.573066,7.902244,2.078976,2.230971
0.020000,22.831583,5.282179,0.957284,3.731636,7.928509,1.313221,2.214335
0.020000,22.785438,5.344831,1.035095,3.890582,7.947287,0.938896,2.196873
0.020000,22.738583,5.410890,1.116084,4.049420,7.941887,-0.269980,2.178584
0.020000,22.691186,5.480432,1.200242,4.207896,7.923790,-0.904845,2.159474
0.020000,22.643432,5.553522,1.287550,4.365404,7.875449,-2.417064,2.139557
0.020000,22.595518,5.630216,1.377980,4.521510,7.805260,-3.509434,2.118851
0.020000,22.547655,5.710550,1.471491,4.675581,7.703578,-5.084108,2.097386
