dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.434974,5.659026,0.000994,0.099370,4.968516,248.425821,2.416411
0.020000,24.434974,5.659026,0.003975,0.198741,4.968516,0.000000,2.415612
0.020000,24.433101,5.660692,0.008943,0.298111,4.968516,0.000000,2.414277
0.020000,24.427909,5.665322,0.015899,0.397481,4.968516,-0.000000,2.412405
0.020000,24.421248,5.671288,0.024843,0.496852,4.968516,0.000000,2.409990
0.020000,24.413125,5.678603,0.035773,0.596222,4.968516,0.000000,2.407027
0.020000,24.403553,5.687278,0.048691,0.695592,4.968516,-0.000000,2.403509
0.020000,24.392547,5.697330,0.063597,0.794963,4.968516,0.000000,2.399428
0.020000,24.380123,5.708777,0.080490,0.894333,4.968516,-0.000000,2.394774
0.020000,24.366302,5.721639,0.099370,0.993703,4.968516,0.000000,2.389537
0.020000,24.351104,5.735938,0.120238,1.093074,4.968516,-0.000000,2.383705
0.020000,24.334555,5.751702,0.143093,1.192444,4.968516,0.000000,2.377265
0.020000,24.316683,5.768958,0.167936,1.291814,4.968516,-0.000000,2.370204
0.020000,24.297520,5.787735,0.194766,1.391185,4.968516,0.000000,2.362506
0.020000,24.277099,5.808069,0.223583,1.490555,4.968516,0.000000,2.354155
0.020000,24.255460,5.829993,0.254388,1.589925,4.968516,0.000000,2.345135
0.020000,24.232644,5.853546,0.287180,1.689296,4.968516,-0.000000,2.335428
0.020000,24.208698,5.878769,0.321960,1.788666,4.968516,0.000000,2.325017
0.020000,24.183672,5.905704,0.358727,1.888036,4.968516,-0.000000,2.313884
0.020000,24.157622,5.934397,0.397481,1.987407,4.968516,0.000000,2.302012
0.020000,24.130608,5.964894,0.438223,2.086777,4.968516,-0.000000,2.289381
0.020000,24.102694,5.997245,0.480952,2.186147,4.968516,-0.000000,2.275976
0.020000,24.073953,6.031501,0.525669,2.285518,4.968516,0.000000,2.261781
0.020000,24.044459,6.067713,0.572373,2.384888,4.968516,0.000000,2.246783
0.020000,24.014295,6.105936,0.621065,2.484258,4.968516,-0.000000,2.230971
0.020000,23.983550,6.146222,0.671743,2.583629,4.968516,0.000000,2.214335
0.020000,23.952317,6.188628,0.724410,2.682999,4.968516,0.000000,2.196873
0.020000,23.920698,6.233205,0.779063,2.782369,4.968516,-0.000000,2.178584
0.020000,23.888799,6.280009,0.835704,2.881740,4.968516,0.000000,2.159474
0.020000,23.856732,6.329089,0.894333,2.981110,4.968516,-0.000000,2.139557
0.020000,23.824616,6.380496,0.954949,3.080480,4.968516,0.000000,2.118851
0.020000,23.792573,6.434276,1.017552,3.179851,4.968516,0.000000,2.097386
0.020000,23.760733,6.490472,1.082143,3.279221,4.968516,-0.000000,2.075198
0.020000,23.729226,6.549122,1.148721,3.378591,4.968516,0.000000,2.052336
0.020000,23.698187,6.610257,1.217287,3.477961,4.968516,0.000000,2.028857
0.020000,23.667752,6.673906,1.287839,3.577332,4.968516,-0.000000,2.004828
