dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.390084,6.736692,0.000994,0.099370,4.968516,248.425821,2.416411
0.020000,25.390946,6.735928,0.002146,0.057591,-2.088973,-352.874446,2.415612
0.020000,25.390509,6.736317,0.002730,0.029236,-1.417723,33.562453,2.414277
0.020000,25.387330,6.739152,0.006990,0.212995,9.187946,530.283482,2.412405
0.020000,25.383258,6.742799,0.012456,0.273288,3.014617,-308.666467,2.409990
0.020000,25.378306,6.747259,0.019120,0.333223,2.996748,-0.893430,2.407027
0.020000,25.372488,6.752532,0.026973,0.392610,2.969389,-1.367950,2.403509
0.020000,25.365822,6.758620,0.036001,0.451407,2.939805,-1.479202,2.399428
0.020000,25.358326,6.765526,0.046193,0.509592,2.909261,-1.527232,2.394774
0.020000,25.350025,6.773251,0.057532,0.566951,2.867964,-2.064805,2.389537
0.020000,25.340944,6.781795,0.070001,0.623469,2.825910,-2.102725,2.383705
0.020000,25.331109,6.791163,0.083583,0.679110,2.782023,-2.194348,2.377265
0.020000,25.320553,6.801356,0.098257,0.733696,2.729325,-2.634882,2.370204
0.020000,25.309307,6.812375,0.114001,0.787212,2.675814,-2.675546,2.362506
0.020000,25.297408,6.824223,0.130794,0.839618,2.620273,-2.777081,2.354155
0.020000,25.284893,6.836903,0.148610,0.890794,2.558808,-3.073253,2.345135
0.020000,25.271802,6.850417,0.167424,0.940724,2.496518,-3.114500,2.335428
0.020000,25.258177,6.864767,0.187212,0.989412,2.434392,-3.106289,2.325017
0.020000,25.244063,6.879958,0.207948,1.036772,2.367965,-3.321345,2.313884
0.020000,25.229506,6.895992,0.229605,1.082847,2.303788,-3.208832,2.302012
0.020000,25.214551,6.912875,0.252158,1.127674,2.241335,-3.122687,2.289381
0.020000,25.199247,6.930611,0.275584,1.171314,2.181987,-2.967394,2.275976
0.020000,25.183643,6.949208,0.299861,1.213806,2.124622,-2.868246,2.261781
0.020000,25.167788,6.968675,0.324967,1.255331,2.076227,-2.419756,2.246783
0.020000,25.151730,6.989023,0.350888,1.296053,2.036130,-2.004844,2.230971
0.020000,25.135517,7.010266,0.377612,1.336168,2.005734,-1.519792,2.214335
0.020000,25.119196,7.032424,0.405132,1.376001,1.991628,-0.705310,2.196873
0.020000,25.102814,7.055521,0.433448,1.415839,1.991930,0.015089,2.178584
0.020000,25.086412,7.079586,0.462571,1.456140,2.015031,1.155063,2.159474
0.020000,25.070032,7.104655,0.492518,1.497325,2.059255,2.211209,2.139557
0.020000,25.053713,7.130776,0.523317,1.539965,2.131989,3.636703,2.118851
0.020000,25.037491,7.158003,0.555010,1.584648,2.234176,5.109360,2.097386
0.020000,25.021400,7.186401,0.587650,1.632016,2.368400,6.711201,2.075198
0.020000,25.005473,7.216050,0.621306,1.682797,2.539052,8.532581,2.052336
0.020000,24.989740,7.247039,0.656061,1.737720,2.746137,10.354274,2.028857
0.020000,24.974231,7.279473,0.692011,1.797539,2.990942,12.240204,2.004828
0.020000,24.958979,7.313468,0.729272,1.863016,3.273865,14.146167,1.980329
0.020000,24.944015,7.349155,0.767969,1.934858,3.592091,15.911315,1.955447
0.020000,24.929376,7.386675,0.808244,2.013744,3.944318,17.611318,1.930281
0.020000,24.915101,7.426181,0.850249,2.100255,4.325538,19.061045,1.904937
0.020000,24.901237,7.467831,0.894146,2.194873,4.730873,20.266724,1.879526
0.020000,24.887833,7.511793,0.940106,2.297965,5.154606,21.186633,1.854167
0.020000,24.874948,7.558233,0.988300,2.409744,5.588946,21.717000,1.828981
0.020000,24.862643,7.607320,1.038906,2.530289,6.027285,21.916995,1.804088
0.020000,24.850988,7.659218,1.092097,2.659540,6.462532,21.762342,1.779611
0.020000,24.840055,7.714085,1.148043,2.797291,6.887535,21.250149,1.755667
0.020000,24.829918,7.772070,1.206907,2.943224,7.296670,20.456748,1.732369
0.020000,24.820654,7.833312,1.268846,3.096924,7.684998,19.416395,1.709826
0.020000,24.812335,7.897937,1.334004,3.257896,8.048601,18.180146,1.688138
0.020000,24.805032,7.966059,1.402516,3.425614,8.385904,16.865146,1.667400
0.020000,24.798806,8.037780,1.474507,3.599526,8.695570,15.483295,1.647697
0.020000,24.793760,8.112389,1.549287,3.738998,6.973646,-86.096180,1.629294
0.020000,24.789961,8.188369,1.625362,3.803752,3.237669,-186.798888,1.612534
0.020000,24.787353,8.264876,1.701912,3.827535,1.189175,-102.424661,1.597484
0.020000,24.785829,8.341736,1.778788,3.843795,0.812966,-18.810461,1.584040
0.020000,24.785278,8.418789,1.855842,3.852713,0.445926,-18.352025,1.572100
0.020000,24.785592,8.495879,1.932934,3.854573,0.092976,-17.647501,1.561566
0.020000,24.786666,8.572866,2.009928,3.849697,-0.243776,-16.837564,1.552344
0.020000,24.788396,8.649615,2.086696,3.838430,-0.563358,-15.979134,1.544346
0.020000,24.790686,8.726003,2.163119,3.821123,-0.865324,-15.098300,1.537488
0.020000,24.793442,8.801916,2.239081,3.798131,-1.149627,-14.215121,1.531690
0.020000,24.796577,8.877246,2.314477,3.769786,-1.417236,-13.380453,1.526879
0.020000,24.800009,8.951895,2.389205,3.736399,-1.669361,-12.606278,1.522984
0.020000,24.803661,9.025771,2.463171,3.698271,-1.906391,-11.851477,1.519940
0.020000,24.807464,9.098785,2.536284,3.655669,-2.130084,-11.184661,1.517684
0.020000,24.811355,9.170857,2.608461,3.608841,-2.341435,-10.567520,1.516158
0.020000,24.815275,9.241909,2.679621,3.558008,-2.541630,-10.009763,1.515306
0.020000,24.819173,9.311868,2.749688,3.503374,-2.731721,-9.504550,1.515075
0.020000,24.823002,9.380664,2.818591,3.445118,-2.912771,-9.052521,1.515416
0.020000,24.826721,9.448230,2.886259,3.383405,-3.085677,-8.645285,1.516279
0.020000,24.830296,9.514501,2.952626,3.318378,-3.251317,-8.282026,1.517619
0.020000,24.833696,9.579415,3.017630,3.250170,-3.410433,-7.955782,1.519393
0.020000,24.836896,9.642913,3.081208,3.178900,-3.563493,-7.652983,1.521556
0.020000,24.839876,9.704935,3.143301,3.104672,-3.711406,-7.395666,1.524069
0.020000,24.842621,9.765424,3.203853,3.027585,-3.854329,-7.146163,1.526891
0.020000,24.845119,9.824326,3.262808,2.947735,-3.992535,-6.910265,1.529984
0.020000,24.847364,9.881586,3.320112,2.865198,-4.126841,-6.715339,1.533312
0.020000,24.849351,9.937151,3.375713,2.780059,-4.256944,-6.505110,1.536836
0.020000,24.851081,9.990972,3.429561,2.692397,-4.383085,-6.307057,1.540524
0.020000,24.852558,10.042996,3.481607,2.602288,-4.505437,-6.117616,1.544340
0.020000,24.853789,10.093177,3.531803,2.509803,-4.624251,-5.940698,1.548252
0.020000,24.854782,10.141468,3.580103,2.415019,-4.739207,-5.747813,1.552227
0.020000,24.855551,10.187821,3.626463,2.318010,-4.850477,-5.563489,1.556235
0.020000,24.856109,10.232195,3.670841,2.218866,-4.957168,-5.334520,1.560246
