dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,10.000000,0.001975,0.197465,9.873252,493.662594,6.261326
0.020000,10.002955,9.999929,0.007899,0.394930,9.873252,0.000000,6.258547
0.020000,10.012824,9.999663,0.017772,0.592395,9.873252,0.000000,6.253909
0.020000,10.026639,9.999214,0.031594,0.789860,9.873252,-0.000000,6.247395
0.020000,10.044396,9.998503,0.049366,0.987325,9.873252,0.000000,6.238991
0.020000,10.066092,9.997432,0.071087,1.184790,9.873252,-0.000000,6.228674
0.020000,10.091714,9.995876,0.096758,1.382255,9.873252,-0.000000,6.216425
0.020000,10.121253,9.993691,0.126378,1.579720,9.873252,0.000000,6.202224
0.020000,10.154689,9.990706,0.159947,1.777185,9.873252,0.000000,6.186058
0.020000,10.191995,9.986729,0.197465,1.974650,9.873252,-0.000000,6.167920
0.020000,10.233137,9.981546,0.238933,2.172115,9.873252,-0.000000,6.147818
0.020000,10.278067,9.974922,0.284350,2.369580,9.873252,0.000000,6.125778
0.020000,10.326726,9.966600,0.333716,2.567045,9.873252,-0.000000,6.101849
0.020000,10.379038,9.956311,0.387031,2.764511,9.873252,0.000000,6.076110
0.020000,10.434910,9.943769,0.444296,2.961976,9.873252,0.000000,6.048676
0.020000,10.494234,9.928682,0.505510,3.159441,9.873252,-0.000000,6.019700
0.020000,10.556881,9.910756,0.570674,3.356906,9.873252,0.000000,5.989380
0.020000,10.622705,9.889701,0.639787,3.554371,9.873252,0.000000,5.957960
0.020000,10.691547,9.865238,0.712849,3.751836,9.873252,-0.000000,5.925727
0.020000,10.763233,9.837109,0.789860,3.949301,9.873252,0.000000,5.893007
0.020000,10.837585,9.805081,0.870821,4.146766,9.873252,-0.000000,5.860158
0.020000,10.914423,9.768955,0.955731,4.344231,9.873252,0.000000,5.827562
0.020000,10.993571,9.728572,1.044590,4.541696,9.873252,0.000000,5.795611
0.020000,11.074870,9.683815,1.137399,4.739161,9.873252,-0.000000,5.764698
0.020000,11.158181,9.634614,1.234156,4.936626,9.873252,0.000000,5.735205
0.020000,11.243391,9.580943,1.334864,5.134091,9.873252,0.000000,5.707498
0.020000,11.330424,9.522827,1.439520,5.331556,9.873252,0.000000,5.681917
0.020000,11.419246,9.460334,1.548126,5.529021,9.873252,0.000000,5.658783
0.020000,11.509866,9.393579,1.660681,5.726486,9.873252,0.000000,5.638392
0.020000,11.602345,9.322722,1.777185,5.923951,9.873252,-0.000000,5.621026
0.020000,11.696794,9.247968,1.897639,6.121416,9.873252,0.000000,5.606962
0.020000,11.793385,9.169571,2.022042,6.318881,9.873252,0.000000,5.596481
0.020000,11.892347,9.087834,2.150394,6.516346,9.873252,0.000000,5.589881
0.020000,11.993972,9.003123,2.282696,6.713811,9.873252,-0.000000,5.587491
0.020000,12.095690,8.918308,2.415135,6.530081,-9.186499,-952.987546,5.589562
0.020000,12.194825,8.836351,2.543762,6.332616,-9.873252,-34.337643,5.595868
0.020000,12.291571,8.757708,2.668439,6.135151,-9.873252,-0.000000,5.606077
0.020000,12.386160,8.682688,2.789168,5.937686,-9.873252,0.000000,5.619889
0.020000,12.478767,8.611547,2.905947,5.740221,-9.873252,0.000000,5.637022
0.020000,12.569509,8.544496,3.018777,5.542756,-9.873252,-0.000000,5.657200
0.020000,12.658450,8.481695,3.127657,5.345291,-9.873252,0.000000,5.680141
0.020000,12.745604,8.423264,3.232588,5.147826,-9.873252,-0.000000,5.705550
0.020000,12.830937,8.369274,3.333570,4.950361,-9.873252,-0.000000,5.733109
0.020000,12.914377,8.319752,3.430603,4.752896,-9.873252,0.000000,5.762478
0.020000,12.995815,8.274678,3.523686,4.555431,-9.873252,0.000000,5.793294
0.020000,13.075113,8.233983,3.612820,4.357966,-9.873252,0.000000,5.825176
0.020000,13.152111,8.197555,3.698005,4.160501,-9.873252,-0.000000,5.857732
0.020000,13.226637,8.165237,3.779240,3.963036,-9.873252,0.000000,5.890568
0.020000,13.298511,8.136832,3.856526,3.765571,-9.873252,-0.000000,5.923302
0.020000,13.367552,8.112111,3.929863,3.568106,-9.873252,0.000000,5.955574
0.020000,13.433588,8.090817,3.999250,3.370641,-9.873252,-0.000000,5.987056
0.020000,13.496457,8.072671,4.064688,3.173176,-9.873252,0.000000,6.017457
0.020000,13.556014,8.057386,4.126177,2.975711,-9.873252,-0.000000,6.046531
0.020000,13.612128,8.044667,4.183717,2.778246,-9.873252,0.000000,6.074076
0.020000,13.664688,8.034220,4.237307,2.580781,-9.873252,0.000000,6.099936
0.020000,13.713602,8.025762,4.286948,2.383316,-9.873252,-0.000000,6.123994
0.020000,13.758793,8.019020,4.332640,2.185850,-9.873252,0.000000,6.146167
0.020000,13.800199,8.013737,4.374382,1.988385,-9.873252,-0.000000,6.166405
0.020000,13.837772,8.009677,4.412175,1.790920,-9.873252,0.000000,6.184680
0.020000,13.871478,8.006624,4.446019,1.593455,-9.873252,0.000000,6.200984
0.020000,13.901288,8.004383,4.475913,1.395990,-9.873252,-0.000000,6.215322
0.020000,13.927184,8.002784,4.501859,1.198525,-9.873252,0.000000,6.227707
0.020000,13.949151,8.001679,4.523854,1.001060,-9.873252,0.000000,6.238158
0.020000,13.967183,8.000944,4.541901,0.803595,-9.873252,0.000000,6.246696
0.020000,13.981272,8.000477,4.555998,0.606130,-9.873252,0.000000,6.253341
0.020000,13.991416,8.000198,4.566146,0.408665,-9.873252,0.000000,6.258110
0.020000,13.997613,8.000052,4.572345,0.211200,-9.873252,0.000000,6.261017
0.020000,13.999863,8.000003,4.574594,0.013735,-9.873252,0.000000,6.262071
0.020000,14.000000,8.000000,4.574732,0.000000,-0.686753,459.324951,6.262136
0.020000,14.000000,8.000000,4.574732,0.000000,0.000000,34.337643,6.262136
