dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.626786,8.840996,0.001982,0.198237,9.911838,495.591879,0.004388
0.020000,10.656308,8.840859,0.031505,1.476124,63.894381,2699.127154,6.270165
0.020000,10.707140,8.839473,0.082356,2.542534,53.320506,-528.693730,6.241735
0.020000,10.776326,8.835267,0.151670,3.465712,46.158853,-358.082678,6.203233
0.020000,10.861617,8.826400,0.237420,4.287507,41.089797,-253.452772,6.156069
0.020000,10.959954,8.811118,0.336937,4.975859,34.417596,-333.610038,6.102094
0.020000,11.067657,8.788106,0.447071,5.506696,26.541849,-393.787341,6.043497
0.020000,11.180811,8.756754,0.564488,5.870844,18.207402,-416.722363,5.982595
0.020000,11.295751,8.717219,0.686037,6.077478,10.331696,-393.785327,5.921574
0.020000,11.409498,8.670265,0.809095,6.152872,3.769705,-328.099543,5.862262
0.020000,11.519935,8.617013,0.931700,6.130251,-1.131076,-245.039034,5.806017
0.020000,11.625850,8.558655,1.052629,6.046429,-4.191117,-153.002071,5.753693
0.020000,11.726747,8.496270,1.171254,5.931288,-5.757010,-78.294642,5.705722
0.020000,11.822672,8.430712,1.287442,5.809383,-6.095290,-16.913988,5.662200
0.020000,11.913978,8.362607,1.401350,5.695411,-5.698562,19.836380,5.623013
0.020000,12.001203,8.292359,1.513345,5.599748,-4.783147,45.770759,5.587911
0.020000,12.084931,8.220217,1.623866,5.526041,-3.685392,54.887777,5.556587
0.020000,12.165749,8.146305,1.733386,5.475983,-2.502900,59.124593,5.528712
0.020000,12.244204,8.070671,1.842361,5.448751,-1.361596,57.065183,5.503968
0.020000,12.320791,7.993315,1.951216,5.442777,-0.298674,53.146108,5.482062
0.020000,12.395943,7.914213,2.060327,5.455541,0.638182,46.842819,5.462732
0.020000,12.470043,7.833329,2.170021,5.484723,1.459085,41.045104,5.445750
0.020000,12.543419,7.750636,2.280576,5.527709,2.149323,34.511932,5.430925
0.020000,12.616354,7.666115,2.392214,5.581939,2.711499,28.108807,5.418100
0.020000,12.689092,7.579770,2.505114,5.644965,3.151304,21.990209,5.407153
0.020000,12.761844,7.491627,2.619404,5.714517,3.477613,16.315474,5.397994
0.020000,12.834789,7.401742,2.735163,5.787957,3.671986,9.718634,5.390567
0.020000,12.908080,7.310210,2.852422,5.862918,3.748040,3.802712,5.384854
0.020000,12.981839,7.217172,2.971151,5.936459,3.677084,-3.547782,5.380871
0.020000,13.056164,7.122822,3.091260,6.005445,3.449282,-11.390135,5.378685
0.020000,13.131119,7.027430,3.212577,6.065852,3.020330,-21.447594,5.378412
0.020000,13.206724,6.931360,3.334829,6.112631,2.338944,-34.069276,5.380243
0.020000,13.282944,6.835104,3.457608,6.138940,1.315477,-51.173343,5.384462
0.020000,13.359652,6.739335,3.580310,6.135091,-0.192474,-75.397566,5.391488
0.020000,13.436577,6.644982,3.702047,6.086848,-2.412141,-110.983359,5.401937
0.020000,13.513200,6.553363,3.821484,5.971877,-5.748552,-166.820542,5.416735
0.020000,13.588561,6.466391,3.936564,5.753966,-10.895528,-257.348816,5.437313
0.020000,13.660833,6.386958,4.043955,5.369552,-19.220693,-416.258253,5.465981
0.020000,13.726411,6.319610,4.137957,4.700097,-33.472763,-712.603490,5.506699
0.020000,13.777626,6.271823,4.208004,3.502341,-59.887787,-1320.751209,5.566805
0.020000,13.796428,6.256204,4.232446,1.222129,-114.010596,-2706.140418,5.661337
0.020000,13.734989,6.291539,4.303321,3.543751,116.081062,11504.582870,5.824862
0.020000,13.475023,6.371013,4.575164,13.592168,502.420853,19316.989564,6.128789
0.020000,12.944296,6.322177,5.108134,26.648460,652.814598,7519.687268,0.331214
0.020000,12.544557,6.080243,5.575385,23.362549,-164.295524,-40855.506095,0.767363
0.020000,12.413313,5.920308,5.782276,10.344545,-650.900210,-24330.234329,1.017760
0.020000,12.387299,5.872479,5.836722,2.722314,-381.111565,13489.432245,1.159202
0.020000,12.393385,5.889459,5.854760,0.901922,-91.019582,14504.599166,1.247530
0.020000,12.408945,5.941782,5.909348,2.729374,91.372615,9119.609854,1.307713
0.020000,12.426575,6.014000,5.983686,3.716906,49.376597,-2099.800913,1.351434
0.020000,12.443690,6.097672,6.069091,4.270265,27.667927,-1085.433505,1.384714
0.020000,12.459399,6.187903,6.160679,4.579385,15.456007,-610.596012,1.410950
0.020000,12.473457,6.281664,6.255488,4.740452,8.053343,-370.133179,1.432198
0.020000,12.485875,6.376986,6.351616,4.806389,3.296871,-237.823592,1.449772
0.020000,12.496762,6.472552,6.447799,4.809174,0.139228,-157.882151,1.464558
0.020000,12.506260,6.567426,6.543148,4.767451,-2.086143,-111.268532,1.477170
0.020000,12.514518,6.660943,6.637028,4.694006,-3.672269,-79.306307,1.488051
0.020000,12.521674,6.752597,6.728961,4.596654,-4.867606,-59.766877,1.497527
0.020000,12.527858,6.842023,6.818602,4.482013,-5.732050,-43.222178,1.505845
0.020000,12.533185,6.928925,6.905667,4.353253,-6.437965,-35.295754,1.513195
0.020000,12.537759,7.013085,6.989951,4.214199,-6.952729,-25.738203,1.519727
0.020000,12.541670,7.094316,7.071276,4.066268,-7.396523,-22.189731,1.525557
0.020000,12.545002,7.172487,7.149518,3.912100,-7.708390,-15.593310,1.530782
0.020000,12.547826,7.247464,7.224547,3.751466,-8.031730,-16.167009,1.535477
0.020000,12.550206,7.319158,7.296281,3.586697,-8.238441,-10.335573,1.539708
0.020000,12.552199,7.387493,7.364646,3.418220,-8.423827,-9.269266,1.543526
0.020000,12.553857,7.452401,7.429575,3.246452,-8.588400,-8.228688,1.546977
0.020000,12.555224,7.513832,7.491021,3.072322,-8.706529,-5.906441,1.550096
0.020000,12.556340,7.571727,7.548926,2.895246,-8.853781,-7.362589,1.552915
0.020000,12.557242,7.626061,7.603268,2.717112,-8.906725,-2.647205,1.555462
0.020000,12.557962,7.676790,7.654002,2.536681,-9.021517,-5.739579,1.557758
0.020000,12.558527,7.723884,7.701100,2.354881,-9.090041,-3.426200,1.559823
0.020000,12.558963,7.767333,7.744550,2.172544,-9.116836,-1.339745,1.561674
0.020000,12.559293,7.807095,7.784314,1.988195,-9.217448,-5.030626,1.563324
0.020000,12.559536,7.843169,7.820389,1.803708,-9.224360,-0.345611,1.564787
0.020000,12.559710,7.875536,7.852756,1.618393,-9.265738,-2.068863,1.566073
0.020000,12.559829,7.904178,7.881398,1.432095,-9.314882,-2.457227,1.567191
0.020000,12.559907,7.929089,7.906310,1.245566,-9.326457,-0.578743,1.568147
0.020000,12.559954,7.950253,7.927474,1.058214,-9.367614,-2.057839,1.568949
0.020000,12.559981,7.967672,7.944892,0.870927,-9.364327,0.164354,1.569602
0.020000,12.559994,7.981340,7.958561,0.683426,-9.375056,-0.536462,1.570110
0.020000,12.559999,7.991234,7.968455,0.494679,-9.437359,-3.115146,1.570475
0.020000,12.560000,7.997377,7.974598,0.307164,-9.375747,3.080602,1.570700
0.020000,12.560000,7.999754,7.976975,0.118864,-9.415015,-1.963393,1.570787
0.020000,12.560000,8.000000,7.977221,0.012284,-5.328997,204.300866,1.570796
0.020000,12.560000,8.000000,7.977221,0.000000,-0.614192,235.740269,1.570796
