dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.643660,5.961048,0.000985,0.098502,4.925097,246.254869,0.007330
0.020000,10.631599,5.961011,0.013046,0.603048,25.227305,1015.110397,6.281816
0.020000,10.615838,5.961146,0.028808,0.788113,9.253254,-798.702583,6.267450
0.020000,10.594217,5.961700,0.050436,1.081394,14.664019,270.538281,6.247642
0.020000,10.567222,5.962996,0.077462,1.351286,13.494624,-58.469742,6.222717
0.020000,10.535526,5.965386,0.109248,1.589305,11.900973,-79.682579,6.193118
0.020000,10.499980,5.969199,0.144998,1.787490,9.909245,-99.586412,6.159399
0.020000,10.461611,5.974697,0.183758,1.938037,7.527323,-119.096084,6.122219
0.020000,10.421589,5.982014,0.224444,2.034294,4.812846,-135.723864,6.082335
0.020000,10.381147,5.991127,0.265900,2.072784,1.924519,-144.416330,6.040548
0.020000,10.341515,6.001837,0.306953,2.052667,-1.005831,-146.517509,5.997671
0.020000,10.303839,6.013778,0.346477,1.976160,-3.825372,-140.977050,5.954490
0.020000,10.269091,6.026457,0.383466,1.849462,-6.334894,-125.476080,5.911699
0.020000,10.238048,6.039293,0.417058,1.679593,-8.493456,-107.928132,5.869902
0.020000,10.211252,6.051683,0.446580,1.476125,-10.173426,-83.998479,5.829562
0.020000,10.189033,6.063038,0.471532,1.247589,-11.426800,-62.668684,5.791028
0.020000,10.171532,6.072823,0.491582,1.002526,-12.253121,-41.316072,5.754529
0.020000,10.158740,6.080579,0.506543,0.748007,-12.725968,-23.642354,5.720199
0.020000,10.150529,6.085932,0.516344,0.490064,-12.897145,-8.558850,5.688082
0.020000,10.146704,6.088592,0.521003,0.232978,-12.854281,2.143183,5.658168
0.020000,10.147018,6.088344,0.521404,0.020018,-10.648027,110.312710,5.630401
0.020000,10.151208,6.085040,0.526739,0.266781,12.338155,1149.309114,5.604693
0.020000,10.159005,6.078586,0.536861,0.506093,11.965636,-18.625935,5.580939
0.020000,10.170149,6.068931,0.551606,0.737235,11.557051,-20.429258,5.559030
0.020000,10.184397,6.056057,0.570809,0.960155,11.146041,-20.550529,5.538846
0.020000,10.201525,6.039972,0.594306,1.174826,10.733549,-20.624578,5.520278
0.020000,10.221330,6.020699,0.621941,1.381764,10.346888,-19.333030,5.503215
0.020000,10.243635,5.998274,0.653569,1.581422,9.982883,-18.200261,5.487557
0.020000,10.268282,5.972742,0.689057,1.774376,9.647737,-16.757311,5.473210
0.020000,10.295134,5.944152,0.728280,1.961167,9.339535,-15.410087,5.460091
0.020000,10.324077,5.912552,0.771131,2.142558,9.069525,-13.500523,5.448123
0.020000,10.355013,5.877993,0.817514,2.319142,8.829238,-12.014325,5.437238
0.020000,10.387862,5.840524,0.867344,2.491475,8.616621,-10.630864,5.427379
