dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.985196,3.640000,0.002000,0.200000,10.000000,500.000000,0.000000
0.020000,0.986005,3.640000,0.002809,0.040437,-7.978163,-898.908127,0.000000
0.020000,0.996005,3.640000,0.012809,0.500000,22.978163,1547.816255,0.000000
0.020000,1.010005,3.640000,0.026809,0.700000,10.000000,-648.908127,0.000000
0.020000,1.028005,3.640000,0.044809,0.900000,10.000000,-0.000000,0.000000
0.020000,1.050005,3.640000,0.066809,1.100000,10.000000,0.000000,0.000000
0.020000,1.076005,3.640000,0.092809,1.300000,10.000000,-0.000000,0.000000
0.020000,1.106005,3.640000,0.122809,1.500000,10.000000,0.000000,0.000000
0.020000,1.140005,3.640000,0.156809,1.700000,10.000000,0.000000,0.000000
0.020000,1.178005,3.640000,0.194809,1.900000,10.000000,-0.000000,0.000000
0.020000,1.220005,3.640000,0.236809,2.100000,10.000000,0.000000,0.000000
0.020000,1.266005,3.640000,0.282809,2.300000,10.000000,-0.000000,0.000000
0.020000,1.316005,3.640000,0.332809,2.500000,10.000000,0.000000,0.000000
0.020000,1.370005,3.640000,0.386809,2.700000,10.000000,-0.000000,0.000000
0.020000,1.428005,3.640000,0.444809,2.900000,10.000000,-0.000000,0.000000
0.020000,1.490005,3.640000,0.506809,3.100000,10.000000,0.000000,0.000000
0.020000,1.556005,3.640000,0.572809,3.300000,10.000000,-0.000000,0.000000
0.020000,1.626005,3.640000,0.642809,3.500000,10.000000,-0.000000,0.000000
0.020000,1.700005,3.640000,0.716809,3.700000,10.000000,0.000000,0.000000
0.020000,1.778005,3.640000,0.794809,3.900000,10.000000,-0.000000,0.000000
0.020000,1.860005,3.640000,0.876809,4.100000,10.000000,-0.000000,0.000000
0.020000,1.946005,3.640000,0.962809,4.300000,10.000000,0.000000,0.000000
0.020000,2.036005,3.640000,1.052809,4.500000,10.000000,-0.000000,0.000000
0.020000,2.130005,3.640000,1.146809,4.700000,10.000000,0.000000,0.000000
0.020000,2.228005,3.640000,1.244809,4.900000,10.000000,-0.000000,0.000000
0.020000,2.330005,3.640000,1.346809,5.100000,10.000000,0.000000,0.000000
0.020000,2.436005,3.640000,1.452809,5.300000,10.000000,-0.000000,0.000000
0.020000,2.546005,3.640000,1.562809,5.500000,10.000000,0.000000,0.000000
0.020000,2.660005,3.640000,1.676809,5.700000,10.000000,0.000000,0.000000
0.020000,2.778005,3.640000,1.794809,5.900000,10.000000,-0.000000,0.000000
0.020000,2.900005,3.640000,1.916809,6.100000,10.000000,0.000000,0.000000
0.020000,3.026005,3.640000,2.042809,6.300000,10.000000,-0.000000,0.000000
0.020000,3.156005,3.640000,2.172809,6.500000,10.000000,0.000000,0.000000
0.020000,3.290005,3.640000,2.306809,6.700000,10.000000,-0.000000,0.000000
0.020000,3.428005,3.640000,2.444809,6.900000,10.000000,0.000000,0.000000
0.020000,3.570005,3.640000,2.586809,7.100000,10.000000,-0.000000,0.000000
0.020000,3.716005,3.640000,2.732809,7.300000,10.000000,0.000000,0.000000
0.020000,3.866005,3.640000,2.882809,7.500000,10.000000,-0.000000,0.000000
0.020000,4.020005,3.640000,3.036809,7.700000,10.000000,0.000000,0.000000
0.020000,4.178005,3.640000,3.194809,7.900000,10.000000,-0.000000,0.000000
0.020000,4.340005,3.640000,3.356809,8.100000,10.000000,0.000000,0.000000
0.020000,4.506005,3.640000,3.522809,8.300000,10.000000,-0.000000,0.000000
0.020000,4.676005,3.640000,3.692809,8.500000,10.000000,0.000000,0.000000
0.020000,4.850005,3.640000,3.866809,8.700000,10.000000,-0.000000,0.000000
0.020000,5.028005,3.640000,4.044809,8.900000,10.000000,-0.000000,0.000000
0.020000,5.208005,3.640000,4.224809,9.000000,5.000000,-250.000000,0.000000
0.020000,5.388005,3.640000,4.404809,9.000000,0.000000,-250.000000,0.000000
0.020000,5.568005,3.640000,4.584809,9.000000,0.000000,0.000000,0.000000
0.020000,5.748005,3.640000,4.764809,9.000000,-0.000000,-0.000000,0.000000
0.020000,5.928005,3.640000,4.944809,9.000000,0.000000,0.000000,0.000000
0.020000,6.108005,3.640000,5.124809,9.000000,0.000000,0.000000,0.000000
