dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.985196,2.200000,0.002000,0.200000,10.000000,500.000000,0.000000
0.020000,0.986005,2.200000,0.008000,0.400000,10.000000,0.000000,0.000000
0.020000,0.996005,2.200000,0.018000,0.600000,10.000000,-0.000000,0.000000
0.020000,1.010005,2.200000,0.032000,0.800000,10.000000,0.000000,0.000000
0.020000,1.028005,2.200000,0.050000,1.000000,10.000000,-0.000000,0.000000
0.020000,1.050005,2.200000,0.072000,1.200000,10.000000,0.000000,0.000000
0.020000,1.076005,2.200000,0.098000,1.400000,10.000000,0.000000,0.000000
0.020000,1.106005,2.200000,0.128000,1.600000,10.000000,0.000000,0.000000
0.020000,1.140005,2.200000,0.162000,1.800000,10.000000,-0.000000,0.000000
0.020000,1.178005,2.200000,0.200000,2.000000,10.000000,0.000000,0.000000
0.020000,1.220005,2.200000,0.242000,2.200000,10.000000,-0.000000,0.000000
0.020000,1.266005,2.200000,0.288000,2.400000,10.000000,0.000000,0.000000
0.020000,1.316005,2.200000,0.338000,2.600000,10.000000,-0.000000,0.000000
0.020000,1.370005,2.200000,0.392000,2.800000,10.000000,0.000000,0.000000
0.020000,1.428005,2.200000,0.450000,3.000000,10.000000,0.000000,0.000000
0.020000,1.490005,2.200000,0.512000,3.200000,10.000000,0.000000,0.000000
0.020000,1.556005,2.200000,0.578000,3.400000,10.000000,-0.000000,0.000000
0.020000,1.626005,2.200000,0.648000,3.600000,10.000000,0.000000,0.000000
0.020000,1.700005,2.200000,0.722000,3.800000,10.000000,-0.000000,0.000000
0.020000,1.778005,2.200000,0.800000,4.000000,10.000000,0.000000,0.000000
0.020000,1.860005,2.200000,0.882000,4.200000,10.000000,0.000000,0.000000
0.020000,1.946005,2.200000,0.968000,4.400000,10.000000,-0.000000,0.000000
0.020000,2.036005,2.200000,1.058000,4.600000,10.000000,0.000000,0.000000
0.020000,2.130005,2.200000,1.152000,4.800000,10.000000,0.000000,0.000000
0.020000,2.228005,2.200000,1.250000,5.000000,10.000000,0.000000,0.000000
0.020000,2.330005,2.200000,1.352000,5.200000,10.000000,-0.000000,0.000000
0.020000,2.436005,2.200000,1.458000,5.400000,10.000000,0.000000,0.000000
0.020000,2.546005,2.200000,1.568000,5.600000,10.000000,0.000000,0.000000
0.020000,2.660005,2.200000,1.682000,5.800000,10.000000,0.000000,0.000000
