dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.985196,0.760000,0.002000,0.200000,10.000000,500.000000,0.000000
0.020000,0.986005,0.760000,0.002809,0.040437,-7.978163,-898.908127,0.000000
0.020000,0.996005,0.760000,0.012809,0.500000,22.978163,1547.816255,0.000000
0.020000,1.010005,0.760000,0.026809,0.700000,10.000000,-648.908127,0.000000
0.020000,1.028005,0.760000,0.044809,0.900000,10.000000,-0.000000,0.000000
0.020000,1.050005,0.760000,0.066809,1.100000,10.000000,0.000000,0.000000
0.020000,1.076005,0.760000,0.092809,1.300000,10.000000,-0.000000,0.000000
0.020000,1.106005,0.760000,0.122809,1.500000,10.000000,0.000000,0.000000
0.020000,1.140005,0.760000,0.156809,1.700000,10.000000,0.000000,0.000000
0.020000,1.178005,0.760000,0.194809,1.900000,10.000000,-0.000000,0.000000
0.020000,1.220005,0.760000,0.236809,2.100000,10.000000,0.000000,0.000000
0.020000,1.266005,0.760000,0.282809,2.300000,10.000000,-0.000000,0.000000
0.020000,1.316005,0.760000,0.332809,2.500000,10.000000,0.000000,0.000000
0.020000,1.370005,0.760000,0.386809,2.700000,10.000000,-0.000000,0.000000
0.020000,1.428005,0.760000,0.444809,2.900000,10.000000,-0.000000,0.000000
0.020000,1.490005,0.760000,0.506809,3.100000,10.000000,0.000000,0.000000
0.020000,1.556005,0.760000,0.572809,3.300000,10.000000,-0.000000,0.000000
0.020000,1.626005,0.760000,0.642809,3.500000,10.000000,-0.000000,0.000000
0.020000,1.700005,0.760000,0.716809,3.700000,10.000000,0.000000,0.000000
0.020000,1.778005,0.760000,0.794809,3.900000,10.000000,-0.000000,0.000000
0.020000,1.860005,0.760000,0.876809,4.100000,10.000000,-0.000000,0.000000
0.020000,1.946005,0.760000,0.962809,4.300000,10.000000,0.000000,0.000000
0.020000,2.036005,0.760000,1.052809,4.500000,10.000000,-0.000000,0.000000
0.020000,2.130005,0.760000,1.146809,4.700000,10.000000,0.000000,0.000000
0.020000,2.228005,0.760000,1.244809,4.900000,10.000000,-0.000000,0.000000
0.020000,2.330005,0.760000,1.346809,5.100000,10.000000,0.000000,0.000000
