dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.395375,4.469295,0.000989,0.098893,4.944633,247.231667,0.000163
0.020000,3.395609,4.469295,0.001223,0.011698,-4.359713,-465.217303,0.000001
0.020000,3.400921,4.469294,0.006535,0.265606,12.695379,852.754605,6.282918
0.020000,3.408375,4.469291,0.013989,0.372694,5.354410,-367.048470,6.282549
0.020000,3.417943,4.469282,0.023557,0.478428,5.286680,-3.386483,6.282085
0.020000,3.429615,4.469266,0.035230,0.583606,5.258905,-1.388751,6.281534
0.020000,3.443377,4.469239,0.048992,0.688098,5.224628,-1.713857,6.280905
0.020000,3.459213,4.469198,0.064827,0.791790,5.184565,-2.003150,6.280209
0.020000,3.477104,4.469138,0.082718,0.894554,5.138228,-2.316846,6.279460
0.020000,3.497029,4.469055,0.102644,0.996275,5.086049,-2.608951,6.278671
0.020000,3.518966,4.468947,0.124581,1.096833,5.027859,-2.909529,6.277859
0.020000,3.542887,4.468810,0.148503,1.196107,4.963742,-3.205823,6.277042
0.020000,3.568766,4.468640,0.174382,1.293985,4.893867,-3.493743,6.276238
0.020000,3.596573,4.468436,0.202189,1.390344,4.817954,-3.795643,6.275470
0.020000,3.626273,4.468196,0.231891,1.485073,4.736440,-4.075704,6.274760
0.020000,3.657833,4.467920,0.263452,1.578050,4.648854,-4.379322,6.274132
0.020000,3.691215,4.467609,0.296835,1.669160,4.555536,-4.665894,6.273613
0.020000,3.726379,4.467265,0.332001,1.758283,4.456140,-4.969822,6.273228
0.020000,3.763283,4.466893,0.368907,1.845298,4.350728,-5.270560,6.273009
0.020000,3.801882,4.466499,0.407508,1.930079,4.239057,-5.583594,6.272986
0.020000,3.842130,4.466092,0.447758,2.012498,4.120962,-5.904751,6.273191
0.020000,3.883977,4.465683,0.489607,2.092421,3.996161,-6.240005,6.273661
0.020000,3.927369,4.465285,0.533001,2.169709,3.864382,-6.588993,6.274430
0.020000,3.972252,4.464916,0.577885,2.244211,3.725118,-6.963178,6.275538
0.020000,4.018566,4.464594,0.624200,2.315774,3.578138,-7.349001,6.277025
0.020000,4.066250,4.464345,0.671885,2.384226,3.422573,-7.778246,6.278935
0.020000,4.115237,4.464193,0.720873,2.449387,3.258049,-8.226195,6.281314
0.020000,4.165459,4.464170,0.771094,2.511064,3.083880,-8.708469,0.001024
0.020000,4.216839,4.464309,0.822475,2.569042,2.898880,-9.250003,0.004488
0.020000,4.269300,4.464649,0.874937,2.623098,2.702800,-9.803982,0.008575
0.020000,4.322757,4.465232,0.928396,2.672977,2.493951,-10.442439,0.013342
0.020000,4.377118,4.466104,0.982765,2.718418,2.272055,-11.094829,0.018852
0.020000,4.432287,4.467315,1.037947,2.759124,2.035306,-11.837442,0.025170
0.020000,4.488160,4.468919,1.093843,2.794792,1.783418,-12.594407,0.032365
0.020000,4.544624,4.470973,1.150345,2.825082,1.514503,-13.445728,0.040514
0.020000,4.601560,4.473538,1.207338,2.849656,1.228656,-14.292351,0.049695
0.020000,4.658836,4.476678,1.264701,2.868142,0.924333,-15.216149,0.059993
0.020000,4.716316,4.480456,1.322304,2.880172,0.601510,-16.141162,0.071497
0.020000,4.773849,4.484940,1.380012,2.885385,0.260609,-17.045034,0.084302
0.020000,4.831278,4.490197,1.437680,2.883436,-0.097451,-17.903016,0.098507
0.020000,4.888434,4.496292,1.495161,2.874024,-0.470571,-18.655979,0.114217
0.020000,4.945143,4.503287,1.552299,2.856910,-0.855725,-19.257734,0.131538
0.020000,5.001221,4.511240,1.608939,2.831983,-1.246342,-19.530834,0.150578
0.020000,5.056484,4.520206,1.664924,2.799271,-1.635602,-19.462983,0.171446
0.020000,5.110002,4.530082,1.719346,2.721078,-3.909620,-113.700930,0.193917
0.020000,5.160552,4.540619,1.770983,2.581856,-6.961096,-152.573773,0.217464
0.020000,5.207815,4.551658,1.819517,2.426717,-7.756968,-39.793596,0.241792
0.020000,5.251951,4.563121,1.865117,2.280013,-7.335212,21.087760,0.266784
0.020000,5.293134,4.574936,1.907962,2.142249,-6.888184,22.351410,0.292317
0.020000,5.331550,4.587035,1.948239,2.013820,-6.421478,23.335302,0.318259
