dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.395610,3.029295,0.000989,0.098893,4.944633,247.231667,0.000163
0.020000,3.395610,3.029295,0.003956,0.197785,4.944633,0.000000,0.000001
0.020000,3.400536,3.029294,0.008900,0.296678,4.944633,0.000000,6.282918
0.020000,3.407459,3.029291,0.015823,0.395571,4.944633,0.000000,6.282549
0.020000,3.416359,3.029283,0.024723,0.494463,4.944633,-0.000000,6.282085
0.020000,3.427237,3.029268,0.035601,0.593356,4.944633,0.000000,6.281534
0.020000,3.440093,3.029243,0.048457,0.692249,4.944633,0.000000,6.280905
0.020000,3.454927,3.029204,0.063291,0.791141,4.944633,0.000000,6.280209
0.020000,3.471739,3.029148,0.080103,0.890034,4.944633,0.000000,6.279460
0.020000,3.490528,3.029070,0.098893,0.988927,4.944633,-0.000000,6.278671
0.020000,3.511296,3.028968,0.119660,1.087819,4.944633,0.000000,6.277859
0.020000,3.534040,3.028837,0.142405,1.186712,4.944633,-0.000000,6.277042
0.020000,3.558763,3.028675,0.167129,1.285605,4.944633,0.000000,6.276238
0.020000,3.585463,3.028479,0.193830,1.384497,4.944633,0.000000,6.275470
0.020000,3.614141,3.028248,0.222509,1.483390,4.944633,-0.000000,6.274760
0.020000,3.644797,3.027979,0.253165,1.582283,4.944633,0.000000,6.274132
0.020000,3.677430,3.027675,0.285800,1.681175,4.944633,-0.000000,6.273613
0.020000,3.712041,3.027336,0.320412,1.780068,4.944633,0.000000,6.273228
0.020000,3.748629,3.026968,0.357003,1.878961,4.944633,-0.000000,6.273009
0.020000,3.787195,3.026574,0.395571,1.977853,4.944633,0.000000,6.272986
0.020000,3.827739,3.026164,0.436117,2.076746,4.944633,0.000000,6.273191
0.020000,3.870261,3.025748,0.478641,2.175639,4.944633,-0.000000,6.273661
0.020000,3.914761,3.025340,0.523142,2.274531,4.944633,0.000000,6.274430
0.020000,3.961239,3.024958,0.569622,2.373424,4.944633,0.000000,6.275538
0.020000,4.009695,3.024622,0.618079,2.472317,4.944633,0.000000,6.277025
0.020000,4.060130,3.024358,0.668514,2.571209,4.944633,-0.000000,6.278935
0.020000,4.112543,3.024195,0.720928,2.670102,4.944633,0.000000,6.281314
0.020000,4.166934,3.024170,0.775319,2.768995,4.944633,-0.000000,0.001024
0.020000,4.223302,3.024324,0.831687,2.867887,4.944633,0.000000,0.004488
0.020000,4.281648,3.024702,0.890034,2.966780,4.944633,-0.000000,0.008575
0.020000,4.341968,3.025360,0.950359,3.065673,4.944633,0.000000,0.013342
0.020000,4.404263,3.026360,1.012661,3.164565,4.944633,-0.000000,0.018852
0.020000,4.468527,3.027771,1.076941,3.263458,4.944633,0.000000,0.025170
0.020000,4.534758,3.029673,1.143199,3.362351,4.944633,0.000000,0.032365
0.020000,4.602949,3.032155,1.211435,3.461243,4.944633,0.000000,0.040514
0.020000,4.673091,3.035316,1.281649,3.560136,4.944633,-0.000000,0.049695
0.020000,4.745174,3.039268,1.353841,3.659029,4.944633,0.000000,0.059993
0.020000,4.819183,3.044135,1.428010,3.757921,4.944633,0.000000,0.071497
0.020000,4.895100,3.050054,1.504157,3.856814,4.944633,0.000000,0.084302
0.020000,4.972899,3.057178,1.582283,3.955707,4.944633,-0.000000,0.098507
0.020000,5.052549,3.065674,1.662386,4.054599,4.944633,0.000000,0.114217
0.020000,5.134011,3.075726,1.744467,4.153492,4.944633,0.000000,0.131538
0.020000,5.217235,3.087535,1.828525,4.252385,4.944633,-0.000000,0.150578
0.020000,5.302159,3.101318,1.914562,4.351277,4.944633,0.000000,0.171446
0.020000,5.387495,3.117072,2.001342,4.326747,-1.226515,-308.557404,0.193917
0.020000,5.471238,3.134534,2.086888,4.227854,-4.944633,-185.905931,0.217464
0.020000,5.552613,3.153547,2.170456,4.128962,-4.944633,0.000000,0.241792
0.020000,5.631579,3.174063,2.252047,4.030069,-4.944633,0.000000,0.266784
0.020000,5.708101,3.196022,2.331659,3.931176,-4.944633,0.000000,0.292317
0.020000,5.782146,3.219350,2.409294,3.832284,-4.944633,-0.000000,0.318259
0.020000,5.853686,3.243957,2.484951,3.733391,-4.944633,0.000000,0.344479
0.020000,5.922702,3.269746,2.558629,3.634498,-4.944633,0.000000,0.370841
0.020000,5.989181,3.296605,2.630330,3.535606,-4.944633,0.000000,0.397213
0.020000,6.053115,3.324415,2.700054,3.436713,-4.944633,-0.000000,0.423465
0.020000,6.114509,3.353051,2.767799,3.337820,-4.944633,0.000000,0.449474
0.020000,6.173372,3.382381,2.833566,3.238928,-4.944633,0.000000,0.475123
0.020000,6.229723,3.412271,2.897356,3.140035,-4.944633,0.000000,0.500306
0.020000,6.283589,3.442586,2.959168,3.041142,-4.944633,-0.000000,0.524928
0.020000,6.335003,3.473189,3.019002,2.942250,-4.944633,0.000000,0.548905
0.020000,6.384004,3.503946,3.076858,2.843357,-4.944633,-0.000000,0.572164
0.020000,6.430638,3.534727,3.132736,2.744464,-4.944633,0.000000,0.594646
0.020000,6.474956,3.565405,3.186636,2.645572,-4.944633,-0.000000,0.616303
0.020000,6.517011,3.595856,3.238559,2.546679,-4.944633,0.000000,0.637096
0.020000,6.556859,3.625964,3.288504,2.447786,-4.944633,-0.000000,0.656999
0.020000,6.594560,3.655618,3.336470,2.348894,-4.944633,0.000000,0.675992
0.020000,6.630173,3.684715,3.382459,2.250001,-4.944633,0.000000,0.694067
0.020000,6.663758,3.713157,3.426470,2.151108,-4.944633,0.000000,0.711218
0.020000,6.695377,3.740852,3.468504,2.052216,-4.944633,-0.000000,0.727448
0.020000,6.725088,3.767716,3.508559,1.953323,-4.944633,0.000000,0.742765
0.020000,6.752949,3.793670,3.546637,1.854430,-4.944633,0.000000,0.757178
0.020000,6.779016,3.818643,3.582736,1.755538,-4.944633,-0.000000,0.770701
0.020000,6.803345,3.842568,3.616858,1.656645,-4.944633,0.000000,0.783351
0.020000,6.825986,3.865385,3.649002,1.557752,-4.944633,-0.000000,0.795144
0.020000,6.846989,3.887038,3.679168,1.458860,-4.944633,0.000000,0.806098
0.020000,6.866401,3.907477,3.707356,1.359967,-4.944633,-0.000000,0.816232
0.020000,6.884265,3.926657,3.733567,1.261074,-4.944633,0.000000,0.825565
0.020000,6.900621,3.944536,3.757799,1.162182,-4.944633,0.000000,0.834114
0.020000,6.915508,3.961078,3.780054,1.063289,-4.944633,-0.000000,0.841897
0.020000,6.928961,3.976250,3.800331,0.964396,-4.944633,0.000000,0.848931
0.020000,6.941009,3.990023,3.818630,0.865504,-4.944633,0.000000,0.855231
0.020000,6.951682,4.002371,3.834951,0.766611,-4.944633,-0.000000,0.860811
0.020000,6.961005,4.013271,3.849294,0.667718,-4.944633,0.000000,0.865685
0.020000,6.968999,4.022705,3.861660,0.568826,-4.944633,-0.000000,0.869864
0.020000,6.975685,4.030655,3.872048,0.469933,-4.944633,0.000000,0.873358
0.020000,6.981076,4.037109,3.880457,0.371040,-4.944633,0.000000,0.876176
0.020000,6.985188,4.042055,3.886889,0.272148,-4.944633,-0.000000,0.878324
0.020000,6.988029,4.045485,3.891343,0.173255,-4.944633,0.000000,0.879809
0.020000,6.989606,4.047394,3.893819,0.074362,-4.944633,0.000000,0.880633
0.020000,6.990080,4.047967,3.894563,0.000000,-3.718119,61.325737,0.880880
0.020000,6.990080,4.047967,3.894563,0.000000,0.000000,185.905931,0.880880
0.020000,6.990080,4.047967,3.894563,0.000000,0.000000,0.000000,0.880880
