dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.395845,1.589295,0.000989,0.098893,4.944633,247.231667,0.000163
0.020000,3.395611,1.589295,0.001223,0.011698,-4.359713,-465.217303,0.000001
0.020000,3.400152,1.589294,0.005763,0.227027,10.766421,756.306702,6.282918
0.020000,3.406543,1.589291,0.012155,0.319557,4.626487,-306.996722,6.282549
0.020000,3.414775,1.589284,0.020387,0.411604,4.602390,-1.204848,6.282085
0.020000,3.424859,1.589270,0.030471,0.504215,4.630534,1.407217,6.281534
0.020000,3.436810,1.589247,0.042421,0.597505,4.664496,1.698092,6.280905
0.020000,3.450642,1.589210,0.056253,0.691601,4.704811,2.015765,6.280209
0.020000,3.466374,1.589158,0.071985,0.786621,4.750968,2.307819,6.279460
0.020000,3.484027,1.589085,0.089639,0.882686,4.803250,2.614098,6.278671
0.020000,3.503625,1.588988,0.109237,0.979914,4.861420,2.908531,6.277859
0.020000,3.525194,1.588864,0.130806,1.078423,4.925473,3.202644,6.277042
0.020000,3.548760,1.588710,0.154373,1.178333,4.995494,3.501042,6.276238
0.020000,3.574354,1.588522,0.179968,1.279757,5.071186,3.784588,6.275470
0.020000,3.602010,1.588299,0.207624,1.382816,5.152936,4.087482,6.274760
0.020000,3.631761,1.588038,0.237377,1.487623,5.240338,4.370134,6.274132
0.020000,3.663645,1.587741,0.269262,1.594298,5.333789,4.672545,6.273613
0.020000,3.697703,1.587408,0.303322,1.702960,5.433103,4.965714,6.273228
0.020000,3.733976,1.587042,0.339596,1.813731,5.538555,5.272602,6.273009
0.020000,3.772509,1.586649,0.378131,1.926736,5.650210,5.582717,6.272986
0.020000,3.813348,1.586236,0.418973,2.042102,5.768308,5.904923,6.273191
0.020000,3.856546,1.585813,0.462172,2.159964,5.893086,6.238904,6.273661
0.020000,3.902153,1.585395,0.507782,2.280462,6.024913,6.591335,6.274430
0.020000,3.950226,1.585000,0.555856,2.403743,6.164058,6.957225,6.275538
0.020000,4.000824,1.584649,0.606456,2.529968,6.311230,7.358628,6.277025
0.020000,4.054010,1.584371,0.659642,2.659300,6.466625,7.769729,6.278935
0.020000,4.109848,1.584198,0.715480,2.791923,6.631139,8.225741,6.281314
0.020000,4.168408,1.584171,0.774041,2.928033,6.805529,8.719482,0.001024
0.020000,4.229765,1.584338,0.835398,3.067836,6.990143,9.230717,0.004488
0.020000,4.293995,1.584755,0.899629,3.211569,7.186612,9.823429,0.008575
0.020000,4.361180,1.585489,0.966818,3.359469,7.395021,10.420440,0.013342
0.020000,4.431408,1.586616,1.037055,3.511815,7.617301,11.114028,0.018852
0.020000,4.504768,1.588227,1.110432,3.668887,7.853577,11.813788,0.025170
0.020000,4.581356,1.590427,1.187053,3.831005,8.105920,12.617129,0.032365
0.020000,4.661273,1.593337,1.267022,3.998489,8.374179,13.412985,0.040514
0.020000,4.744622,1.597094,1.350456,4.171701,8.660616,14.321850,0.049695
0.020000,4.831512,1.601859,1.437476,4.350995,8.964695,15.203952,0.059993
0.020000,4.922051,1.607814,1.528211,4.536737,9.287108,16.120627,0.071497
0.020000,5.016350,1.615168,1.622797,4.729296,9.627935,17.041343,0.084302
0.020000,5.114520,1.624159,1.721377,4.929017,9.986058,17.906165,0.098507
0.020000,5.216664,1.635057,1.824101,5.136205,10.359422,18.668217,0.114217
0.020000,5.322880,1.648166,1.931123,5.351075,10.743479,19.202833,0.131538
0.020000,5.433249,1.663829,2.042598,5.573769,11.134730,19.562563,0.150578
0.020000,5.547834,1.682430,2.158683,5.804233,11.523190,19.422974,0.171446
0.020000,5.664989,1.704062,2.277818,5.956763,7.626485,-194.835222,0.193917
0.020000,5.781924,1.728450,2.397269,5.972546,0.789166,-341.865949,0.217464
0.020000,5.897411,1.755436,2.515867,5.929891,-2.132774,-146.097002,0.241792
0.020000,6.011208,1.785005,2.633443,5.878805,-2.554282,-21.075430,0.266784
0.020000,6.123068,1.817108,2.749818,5.818778,-3.001375,-22.354636,0.292317
0.020000,6.232741,1.851664,2.864807,5.749421,-3.467843,-23.323420,0.318259
0.020000,6.339983,1.888555,2.978217,5.670482,-3.946939,-23.954792,0.344479
0.020000,6.444558,1.927633,3.089854,5.581878,-4.430186,-24.162347,0.370841
0.020000,6.546244,1.968719,3.199528,5.483681,-4.909859,-23.983632,0.397213
0.020000,6.644843,2.011609,3.307051,5.376167,-5.375716,-23.292859,0.423465
0.020000,6.740177,2.056077,3.412246,5.259733,-5.821695,-22.298945,0.449474
0.020000,6.832097,2.101880,3.514945,5.134968,-6.238259,-20.828223,0.475123
0.020000,6.920483,2.148764,3.614996,5.002551,-6.620828,-19.128437,0.500306
0.020000,7.005246,2.196467,3.712261,4.863236,-6.965748,-17.245998,0.524928
0.020000,7.086327,2.244730,3.806619,4.717906,-7.266501,-15.037668,0.548905
0.020000,7.163696,2.293294,3.897966,4.567358,-7.527417,-13.045758,0.572164
0.020000,7.237349,2.341908,3.986217,4.412527,-7.741564,-10.707388,0.594646
0.020000,7.307308,2.390334,4.071301,4.254209,-7.915861,-8.714847,0.616303
